COUNTRY,mean,std,n
afghanistan,,,0
angola,-163.625,15.21218966,8
argentina,-190.1291667,23.07384137,24
australia,-174.4765351,27.24203198,78
austria,-186.4571429,28.35939813,35
azerbaijan,,,0
bangladesh,,,0
barbados,,,0
brazil,-172.8333333,24.82715247,9
canada,-274.005914,49.24846457,186
china,-199.1216931,40.46802001,189
colombia,-191.125,14.96498294,8
denmark,-183.1845455,17.12386718,11
egypt,-168.1177011,11.9724307,87
france,-143.6594444,43.5585227,18
germany,-168.8685263,38.00150246,95
hungary,,,0
india,-178.3211538,24.67207151,52
indonesia,-170.7777778,25.74592325,27
iran,-151.3926829,9.671462926,41
israel,,,0
italy,-176.1931034,24.16703369,116
japan,-182.0416667,23.3842741,24
kazakhstan,,,0
kuwait,,,0
lithuania,-274.8,8.899438185,5
mauritania,,,0
mexico,,,0
mozambique,-153.7272727,22.08261863,33
namibia,-144.9666667,5.915967095,6
netherlands,-150.6252874,20.66919525,87
new zealand,-176,13.4706889,38
nigeria,-186.5777778,12.4999798,45
norway,-213.6666667,29.04486472,33
oman,,,0
pakistan,,,0
poland,-181.4880723,36.52906329,83
romania,-192.5116058,34.95066534,137
russia,-212.5765152,26.9671184,132
saudi arabia,,,0
taiwan,-176.2777778,18.2468958,36
thailand,-235.2857143,22.68290735,21
the netherlands,-118.285,34.82584877,8
trinidad,-163.0411765,15.36168231,34
tunisia,,,0
turkey,-152.3363636,17.01477433,11
ukraine,-184.8888889,11.47218859,9
united kingdom,-156.4956667,20.09184818,30
united states,-190.1531148,41.29060577,732
uzbekistan,,,0
venezuela,-207.3636364,1.911686547,11
