COUNTRY,mean,std,n
australia,-55.4375,7.116540327,180
botswana,-60.6695122,3.896016524,41
brazil,-53.22,1.374793491,8
canada,-54.73073587,6.432588747,92
china,-40.67827982,10.31391757,436
germany,-45.18962264,12.13472796,106
india,-40.05941176,13.19064937,17
indonesia,-56.1,4.075757598,4
japan,-34.26190476,4.219179564,21
new zealand,-64.06,2.936014305,11
poland,-48.75105882,13.78536198,170
russia,-37.9,5.939696962,2
slovenia,-56.6,10.88492042,68
south africa,-52.2,3.839270764,5
turkey,-49.34137931,11.3691788,29
united kingdom,-44.63142857,7.136186633,35
united states,-52.29450288,8.821333021,763
venezuela,-49.6,,1
