# x_interp smoothed_curve trend
2011.050994 -85.999928 -84.611031
2011.173969 -85.994483 -84.795794
2011.215265 -85.687173 -84.880626
2011.248005 -85.603670 -84.956723
2011.284452 -85.594139 -85.048660
2011.323011 -85.456033 -85.154326
2011.362310 -84.890656 -85.270374
2011.478840 -81.340293 -85.654805
2011.520877 -80.908335 -85.803967
2011.556355 -81.322968 -85.932049
2011.590407 -82.281613 -86.055848
2011.631817 -83.833740 -86.205885
2011.706481 -86.250374 -86.468816
2011.819930 -87.743175 -86.823647
2011.856948 -87.743444 -86.921886
2011.973136 -87.669490 -87.153774
2012.010040 -88.178691 -87.199148
2012.053617 -89.100880 -87.232466
2012.085274 -89.777723 -87.243683
2012.123604 -90.346795 -87.240119
2012.171003 -90.474851 -87.208537
2012.209218 -90.288508 -87.163658
2012.284338 -89.636260 -87.022742
2012.322668 -89.018503 -86.923281
2012.356720 -88.063906 -86.819974
2012.400526 -86.375121 -86.670509
2012.437201 -84.814544 -86.529806
2012.475531 -83.548053 -86.370107
2012.510154 -83.040095 -86.215739
2012.547913 -83.227453 -86.038131
2012.584703 -83.959564 -85.857259
2012.703743 -85.774087 -85.238988
2012.736483 -85.625674 -85.065677
2012.814455 -84.747799 -84.660103
2012.851359 -84.302730 -84.475607
2012.889574 -83.870522 -84.291896
2012.934692 -83.482975 -84.086511
2012.967432 -83.379445 -83.948052
2013.013120 -83.443421 -83.769150
2013.045290 -83.535625 -83.655915
2013.120752 -83.289336 -83.431878
2013.159424 -82.888365 -83.341926
2013.201119 -82.593215 -83.265106
2013.359458 -84.498300 -83.164414
2013.392312 -84.273489 -83.179854
2013.429102 -83.314191 -83.213472
2013.467318 -82.042007 -83.263119
2013.512435 -80.801232 -83.339340
2013.545404 -80.476515 -83.408067
2013.620295 -81.304647 -83.594757
2013.658739 -82.237955 -83.705419
2013.698495 -83.301957 -83.828576
2013.733859 -84.249704 -83.944180
2013.773501 -85.245414 -84.079387
2013.817307 -86.116866 -84.233794
2013.854211 -86.557799 -84.366305
2013.889803 -86.695103 -84.495196
2013.926364 -86.624016 -84.627658
2013.965037 -86.582957 -84.766525
2014.004678 -86.768548 -84.906456
2014.059207 -87.283076 -85.092922
2014.081567 -87.462607 -85.166892
2014.101473 -87.538824 -85.231407
2014.153720 -87.305297 -85.393512
2014.198267 -86.787829 -85.523195
2014.236711 -86.356418 -85.628053
2014.273387 -86.044196 -85.721803
2014.314569 -85.680753 -85.819460
2014.351359 -85.116044 -85.899958
2014.392541 -84.047907 -85.982256
2014.426707 -82.934715 -86.044821
2014.470626 -81.706290 -86.116711
2014.507302 -81.279097 -86.170580
2014.542666 -81.655831 -86.217025
2014.583505 -82.950056 -86.264127
2014.623033 -84.598158 -86.303607
2014.655887 -85.889181 -86.331947
2014.695415 -87.144659 -86.361777
2014.734202 -87.972274 -86.386466
2014.773273 -88.419611 -86.407187
