# x_interp smoothed_curve trend
2005.198021 -92.519835 -87.485442
2005.217380 -91.175163 -87.735741
2005.236558 -89.843046 -87.983703
2005.255537 -88.649315 -88.223820
2005.274734 -87.607363 -88.459708
2005.293997 -86.561797 -88.696415
2005.313099 -86.573130 -88.920076
2005.332382 -86.755301 -89.144053
2005.351560 -87.151216 -89.362937
2005.370634 -88.063618 -89.571266
2005.389916 -88.986032 -89.781880
2005.409132 -89.584597 -89.981994
2005.428282 -90.057306 -90.177643
2005.447527 -90.408960 -90.372180
2005.466572 -90.076966 -90.553217
2005.600875 -89.707495 -91.706712
2005.619977 -90.306297 -91.847515
2005.639136 -90.906888 -91.988739
2005.696642 -90.669108 -92.369826
2005.735017 -89.050816 -92.598083
2005.754224 -88.358652 -92.702431
2005.888470 -90.714043 -93.294960
2005.907648 -91.477413 -93.351982
2005.926855 -92.241918 -93.409090
2005.946024 -92.782392 -93.459460
2005.965126 -93.029151 -93.500968
2005.984437 -93.278614 -93.542931
2006.003501 -93.713682 -93.570685
2006.022660 -94.181227 -93.596384
2006.061035 -96.073257 -93.626503
2006.156821 -100.699073 -93.587554
2006.233733 -96.251173 -93.435148
2006.252797 -94.233802 -93.371939
2006.272108 -92.190258 -93.307911
2006.291220 -90.657737 -93.236225
2006.310350 -89.766984 -93.153544
2006.329509 -88.874902 -93.070739
2006.348744 -89.098756 -92.970911
2006.367922 -89.508831 -92.868593
2006.406164 -90.642068 -92.639797
2006.425419 -91.300917 -92.517672
2006.463756 -91.638195 -92.242057
2006.482905 -91.687534 -92.099118
2006.559561 -91.575569 -91.437068
2006.578843 -91.789241 -91.259957
2006.598145 -92.268903 -91.066573
2006.617085 -92.739582 -90.876811
2006.636358 -92.980064 -90.677571
2006.655556 -92.898849 -90.470856
2006.693978 -92.006844 -90.046405
2006.770634 -88.233278 -89.147803
2006.789821 -87.947484 -88.912913
2007.077454 -87.022987 -85.309899
2007.135008 -88.047431 -84.642963
2007.192418 -86.506279 -84.020379
2007.422574 -77.951157 -82.109900
2007.537881 -76.878180 -81.577237
2007.557040 -77.086069 -81.513010
2007.576446 -77.745608 -81.459447
2007.595396 -78.704037 -81.415193
2007.614422 -79.666316 -81.370761
2008.170272 -88.753212 -82.055378
2008.189492 -88.052482 -82.035162
2008.227715 -86.658977 -81.994959
