# x_interp smoothed_curve trend
2006.938552 -73.403679 -74.507202
2006.938636 -73.402532 -74.507612
2006.938716 -73.401440 -74.508001
2006.938796 -73.400348 -74.508391
2006.938876 -73.399257 -74.508781
2006.938956 -73.398165 -74.509170
2006.939034 -73.397100 -74.509550
2006.939110 -73.396063 -74.509920
2006.939186 -73.395026 -74.510291
2006.939268 -73.393906 -74.510690
2006.939348 -73.392815 -74.511080
2006.939431 -73.391682 -74.511484
2007.062948 -72.521566 -75.111260
2007.063026 -72.522234 -75.111636
2007.063102 -72.522885 -75.112003
2007.063180 -72.523553 -75.112378
2007.063256 -72.524203 -75.112745
2007.063336 -72.524888 -75.113130
2007.063414 -72.525556 -75.113506
2007.063494 -72.526241 -75.113892
2007.063572 -72.526909 -75.114268
2007.063654 -72.527611 -75.114663
2007.063734 -72.528296 -75.115049
2007.063817 -72.529007 -75.115449
2007.094249 -72.789575 -75.262119
2007.094327 -72.790243 -75.262495
2007.094407 -72.790928 -75.262881
2007.094485 -72.791596 -75.263257
2007.094561 -72.792246 -75.263623
2007.094637 -72.792897 -75.263989
2007.094715 -72.793565 -75.264365
2007.094789 -72.794199 -75.264722
2007.094863 -72.794832 -75.265078
2007.094943 -72.795517 -75.265464
2007.095023 -72.796202 -75.265850
2007.095105 -72.796904 -75.266245
2007.191260 -74.904069 -75.716007
2007.191334 -74.905930 -75.716350
2007.191414 -74.907943 -75.716722
2007.191492 -74.909905 -75.717084
2007.191570 -74.911867 -75.717446
2007.191648 -74.913830 -75.717808
2007.191724 -74.915742 -75.718161
2007.191802 -74.917704 -75.718523
2007.191876 -74.919566 -75.718867
2007.191958 -74.921628 -75.719248
2007.192040 -74.923691 -75.719628
2007.192129 -74.925930 -75.720042
2007.280082 -75.881268 -76.105659
2007.280160 -75.881981 -76.105998
2007.280236 -75.882676 -76.106329
2007.280320 -75.883444 -76.106695
2007.280400 -75.884175 -76.107043
2007.280480 -75.884907 -76.107391
2007.280558 -75.885620 -76.107731
2007.280636 -75.886333 -76.108070
2007.280712 -75.887028 -76.108401
2007.280792 -75.887760 -76.108749
2007.280874 -75.888510 -76.109106
2007.280955 -75.889250 -76.109459
2007.357951 -77.339178 -76.418569
2007.358037 -77.340898 -76.418911
2007.358122 -77.342598 -76.419249
2007.358206 -77.344278 -76.419583
2007.358288 -77.345918 -76.419909
2007.358372 -77.347598 -76.420242
2007.358452 -77.349198 -76.420560
2007.358528 -77.350717 -76.420862
2007.358604 -77.352237 -76.421164
2007.358684 -77.353837 -76.421482
2007.358764 -77.355437 -76.421800
2007.358843 -77.357017 -76.422114
2007.455008 -78.184304 -76.770093
2007.455094 -78.184817 -76.770397
2007.455177 -78.185312 -76.770690
2007.455259 -78.185802 -76.770980
2007.455339 -78.186279 -76.771263
2007.455417 -78.186744 -76.771539
2007.455495 -78.187210 -76.771815
2007.455573 -78.187675 -76.772091
2007.455653 -78.188153 -76.772374
2007.455739 -78.188666 -76.772678
2007.455820 -78.189149 -76.772964
2007.455904 -78.189650 -76.773261
2007.586014 -77.404839 -77.163141
2007.586094 -77.405896 -77.163353
2007.586172 -77.406926 -77.163559
2007.586250 -77.407957 -77.163765
2007.586328 -77.408987 -77.163971
2007.586406 -77.410018 -77.164177
2007.586486 -77.411075 -77.164389
2007.586566 -77.412132 -77.164600
2007.586644 -77.413163 -77.164806
2007.586724 -77.414220 -77.165018
2007.586806 -77.415303 -77.165234
2007.586887 -77.416373 -77.165449
2007.677595 -78.444642 -77.391043
2007.677690 -78.445468 -77.391259
2007.677768 -78.446146 -77.391435
2007.677843 -78.446798 -77.391606
2007.677921 -78.447476 -77.391782
2007.678000 -78.448163 -77.391961
2007.678078 -78.448841 -77.392138
2007.678160 -78.449554 -77.392324
2007.678240 -78.450250 -77.392506
2007.678322 -78.450963 -77.392692
2007.678406 -78.451693 -77.392882
2007.678488 -78.452406 -77.393068
2007.777434 -78.696075 -77.603330
2007.777510 -78.695796 -77.603481
2007.777588 -78.695509 -77.603635
2007.777742 -78.694943 -77.603941
2007.777820 -78.694656 -77.604096
2007.777900 -78.694362 -77.604255
2007.777978 -78.694075 -77.604409
2007.778058 -78.693781 -77.604568
2007.778136 -78.693494 -77.604723
2007.778216 -78.693200 -77.604882
2007.846975 -79.088087 -77.736107
2007.847059 -79.089494 -77.736260
2007.847141 -79.090868 -77.736409
2007.847219 -79.092174 -77.736551
2007.847297 -79.093480 -77.736693
2007.847376 -79.094803 -77.736836
2007.847454 -79.096110 -77.736978
2007.847531 -79.097399 -77.737118
2007.847610 -79.098723 -77.737262
2007.847688 -79.100029 -77.737404
2007.847768 -79.101369 -77.737550
2007.847848 -79.102709 -77.737695
2007.930398 -79.892613 -77.886819
2007.930474 -79.892246 -77.886954
2007.930552 -79.891869 -77.887093
2007.930632 -79.891482 -77.887236
2007.930708 -79.891115 -77.887371
2007.930784 -79.890747 -77.887506
2007.930860 -79.890380 -77.887642
2007.930938 -79.890003 -77.887781
2007.931014 -79.889636 -77.887916
2007.931092 -79.889259 -77.888055
2007.931170 -79.888882 -77.888194
2007.931250 -79.888495 -77.888336
2008.035567 -78.755542 -78.077900
2008.035647 -78.754036 -78.078049
2008.035727 -78.752531 -78.078198
2008.035805 -78.751063 -78.078344
2008.035883 -78.749595 -78.078489
2008.035959 -78.748165 -78.078631
2008.036039 -78.746659 -78.078780
2008.036115 -78.745229 -78.078922
2008.036191 -78.743799 -78.079064
2008.036269 -78.742331 -78.079209
2008.036349 -78.740825 -78.079358
2008.036435 -78.739207 -78.079519
2008.124401 -77.984845 -78.252229
2008.124481 -77.984902 -78.252393
2008.124561 -77.984959 -78.252558
2008.124641 -77.985017 -78.252722
2008.124717 -77.985071 -78.252878
2008.124793 -77.985126 -78.253034
2008.124873 -77.985183 -78.253198
2008.124949 -77.985238 -78.253354
2008.125029 -77.985295 -78.253518
2008.125107 -77.985351 -78.253678
2008.125185 -77.985407 -78.253838
2008.125267 -77.985466 -78.254007
2008.199527 -77.556867 -78.415042
2008.199606 -77.555790 -78.415225
2008.199686 -77.554700 -78.415409
2008.199766 -77.553609 -78.415594
2008.199842 -77.552573 -78.415770
2008.199922 -77.551482 -78.415954
2008.200002 -77.550392 -78.416139
2008.200082 -77.549301 -78.416324
2008.200158 -77.548265 -78.416499
2008.200234 -77.547229 -78.416675
2008.200312 -77.546165 -78.416855
2008.200396 -77.545020 -78.417049
2008.279960 -76.651976 -78.608201
2008.280044 -76.651442 -78.608419
2008.280130 -76.650896 -78.608642
2008.280210 -76.650387 -78.608849
2008.280289 -76.649885 -78.609054
2008.280368 -76.649383 -78.609258
2008.280444 -76.648900 -78.609455
2008.280524 -76.648391 -78.609663
2008.280605 -76.647876 -78.609872
2008.280693 -76.647317 -78.610101
2008.280780 -76.646764 -78.610326
2008.280822 -76.646497 -78.610435
2008.382453 -77.006333 -78.884311
2008.382542 -77.007943 -78.884564
2008.382630 -77.009534 -78.884815
2008.382714 -77.011052 -78.885054
2008.382793 -77.012481 -78.885279
2008.382871 -77.013891 -78.885501
2008.382951 -77.015338 -78.885729
2008.383031 -77.016784 -78.885957
2008.383113 -77.018267 -78.886190
2008.383197 -77.019785 -78.886429
2008.383282 -77.021322 -78.886671
2008.383322 -77.022045 -78.886785
2008.438579 -77.885880 -79.045829
2008.438661 -77.886210 -79.046077
2008.438739 -77.886523 -79.046313
2008.438819 -77.886844 -79.046555
2008.438895 -77.887149 -79.046785
2008.438977 -77.887479 -79.047033
2008.439057 -77.887800 -79.047275
2008.439138 -77.888125 -79.047520
2008.439220 -77.888455 -79.047768
2008.439262 -77.888623 -79.047895
2008.532700 -78.311793 -79.331482
2008.532776 -78.312325 -79.331716
2008.532852 -78.312857 -79.331950
2008.532930 -78.313403 -79.332191
2008.533006 -78.313935 -79.332425
2008.533084 -78.314481 -79.332665
2008.533164 -78.315041 -79.332911
2008.533242 -78.315587 -79.333151
2008.533322 -78.316147 -79.333398
2008.533404 -78.316721 -79.333650
2008.533484 -78.317281 -79.333897
2008.533566 -78.317855 -79.334149
2008.621553 -78.784973 -79.603248
2008.621640 -78.784831 -79.603507
2008.621718 -78.784705 -79.603739
