# x_interp smoothed_curve trend
2018.001598 -71.658712 -72.699178
2018.036734 -70.939339 -72.661449
2018.098507 -69.800914 -72.598923
2018.131703 -69.565324 -72.567296
2018.158853 -69.640383 -72.542254
2018.189711 -69.992307 -72.514592
2018.214694 -70.411166 -72.492743
2018.239449 -70.858796 -72.471503
2018.262093 -71.232232 -72.452371
2018.286619 -71.554866 -72.431900
2018.316736 -71.817930 -72.407018
2018.342574 -71.948200 -72.385812
2018.364477 -72.030141 -72.367871
2018.389917 -72.137622 -72.347004
2018.414557 -72.283595 -72.326700
2018.436745 -72.457234 -72.308277
2018.462527 -72.692482 -72.286655
2018.486825 -72.922018 -72.265996
2018.511979 -73.140307 -72.244271
2018.536619 -73.321376 -72.222597
2018.561260 -73.475674 -72.200489
2018.585388 -73.621110 -72.178376
2018.609001 -73.781594 -72.156252
2018.633756 -73.984833 -72.132520
2018.658283 -74.218928 -72.108430
2018.682182 -74.452780 -72.084382
2018.709104 -74.671980 -72.056606
2018.730550 -74.764783 -72.033922
2018.756617 -74.744556 -72.005716
2018.781144 -74.570449 -71.978523
2018.805899 -74.256265 -71.950443
2018.830996 -73.836639 -71.921338
2018.853412 -73.421309 -71.894808
2018.878166 -72.963833 -71.864960
2018.902807 -72.538955 -71.834698
2018.928531 -72.131189 -71.802557
2018.953971 -71.739666 -71.770264
2018.977927 -71.346785 -71.739434
2019.001370 -70.913452 -71.708919
2019.025554 -70.409088 -71.677132
2019.050309 -69.853681 -71.644328
2019.077687 -69.253268 -71.607812
2019.103526 -68.779663 -71.573198
2019.130904 -68.452332 -71.536454
2019.158397 -68.350907 -71.499580
2019.192335 -68.541256 -71.454273
2019.220398 -68.854857 -71.417107
2019.273159 -69.494868 -71.348392
2019.300537 -69.745125 -71.313541
2019.327687 -69.934759 -71.279662
2019.411249 -70.653664 -71.180860
2019.437087 -71.020329 -71.152317
2019.464580 -71.455228 -71.123155
2019.491959 -71.878593 -71.095422
2019.520421 -72.256559 -71.068065
2019.547799 -72.536747 -71.043253
2019.575178 -72.744962 -71.019995
2019.601016 -72.905092 -70.999565
2019.628395 -73.071939 -70.979533
2019.655773 -73.253470 -70.961373
2019.681612 -73.421875 -70.945893
2019.708990 -73.550780 -70.931323
2019.736369 -73.574339 -70.918637
2019.764945 -73.443327 -70.907439
2019.792438 -73.162564 -70.898645
2019.819702 -72.767983 -70.891870
2019.845655 -72.340745 -70.887253
2019.872919 -71.900008 -70.884285
2019.897560 -71.546293 -70.883340
2019.928874 -71.158641 -70.884467
2019.956252 -70.835134 -70.887553
2019.983745 -70.467666 -70.892560
2020.111739 -68.212476 -70.940051
2020.136380 -68.030207 -70.953523
2020.161135 -68.038796 -70.968365
2020.189825 -68.266094 -70.987111
2020.214352 -68.594753 -71.004455
2020.238878 -68.971179 -71.022931
2020.262093 -69.312367 -71.041428
2020.311374 -69.856652 -71.083665
2020.337213 -70.052543 -71.107316
2020.361853 -70.227865 -71.130770
2020.386266 -70.431195 -71.154809
2020.410906 -70.691305 -71.179822
2020.434235 -70.990466 -71.204154
2020.458762 -71.339267 -71.230349
2020.483402 -71.691348 -71.257252
2020.509127 -72.023465 -71.285903
2020.534110 -72.288014 -71.314226
2020.558408 -72.490556 -71.342188
2020.583163 -72.661773 -71.371041
2020.603297 -72.795891 -71.394750
2020.630904 -72.997457 -71.427542
2020.655545 -73.205839 -71.457048
2020.678645 -73.413832 -71.484867
2020.703400 -73.619888 -71.514806
2020.727927 -73.767037 -71.544555
2020.753765 -73.823586 -71.575943
2020.778406 -73.766789 -71.605882
2020.802932 -73.615070 -71.635648
2020.850902 -73.184119 -71.693645
2020.875771 -72.973355 -71.723531
2020.900183 -72.805912 -71.752712
2020.926022 -72.660601 -71.783402
2020.950548 -72.516260 -71.812318
2020.975303 -72.315463 -71.841271
2020.999830 -72.021195 -71.869708
2021.022816 -71.644859 -71.896118
2021.047457 -71.151483 -71.924157
2021.095312 -70.136979 -71.977755
2021.120067 -69.727850 -72.005020
2021.144708 -69.481086 -72.031840
2021.173170 -69.423624 -72.062419
2021.192335 -69.511010 -72.082760
2021.211500 -69.670104 -72.102921
2021.230665 -69.881672 -72.122889
2021.249944 -70.110407 -72.142735
2021.267569 -70.307187 -72.160722
2021.286734 -70.501189 -72.180118
2021.305784 -70.666317 -72.199229
2021.324949 -70.800624 -72.218221
2021.345312 -70.937912 -72.238225
2021.364477 -71.076685 -72.256886
2021.383642 -71.236505 -72.275394
2021.402921 -71.433290 -72.293851
2021.420432 -71.654133 -72.310452
2021.439711 -71.921771 -72.328614
2021.458876 -72.206793 -72.346545
2021.478155 -72.500891 -72.364464
2021.497206 -72.773222 -72.382025
2021.517455 -73.033452 -72.400592
2021.536619 -73.248697 -72.418076
2021.555899 -73.436394 -72.435588
2021.574949 -73.596243 -72.452816
2021.592688 -73.735339 -72.468799
2021.611968 -73.888419 -72.486135
2021.631018 -74.045317 -72.503235
2021.650297 -74.212891 -72.520517
2021.667694 -74.363940 -72.536108
2021.687316 -74.517437 -72.553702
2021.706138 -74.634922 -72.570596
2021.725303 -74.710560 -72.587828
2021.744468 -74.699391 -72.605119
2021.764374 -74.611930 -72.623149
2021.783996 -74.457641 -72.641001
2021.803047 -74.256311 -72.658420
2021.822326 -74.016139 -72.676153
2021.840065 -73.796517 -72.692607
2021.859230 -73.585688 -72.710502
2021.878280 -73.415556 -72.728425
2021.897445 -73.295196 -72.746607
2021.918037 -73.240077 -72.766386
2021.936973 -73.220625 -72.784773
2021.956138 -73.206614 -72.803572
2021.983745 -73.147055 -72.831044
2021.999830 -73.070234 -72.847251
2022.012093 -72.968816 -72.859767
2022.031600 -72.754975 -72.879858
2022.050309 -72.491919 -72.899359
2022.069474 -72.171411 -72.919603
2022.087099 -71.856970 -72.938546
2022.106149 -71.536206 -72.959263
2022.144593 -71.025518 -73.001918
2022.170660 -70.873352 -73.031618
2022.190282 -70.861751 -73.054372
2022.209561 -70.923317 -73.077091
2022.228041 -71.023075 -73.099162
2022.247092 -71.154497 -73.122214
2022.267455 -71.311677 -73.147212
2022.284110 -71.441893 -73.168043
2022.303503 -71.594557 -73.192562
2022.322668 -71.751366 -73.217108
2022.345655 -71.961609 -73.247007
2022.367215 -72.196013 -73.275477
2022.381703 -72.389872 -73.294914
2022.402921 -72.704981 -73.323647
2022.418151 -72.951502 -73.344472
2022.439711 -73.325332 -73.374325
2022.456024 -73.600939 -73.397245
2022.475531 -73.903207 -73.424875
2022.494354 -74.153906 -73.451796
2022.517455 -74.378395 -73.485219
2022.539700 -74.506571 -73.517760
2022.572326 -74.564260 -73.566154
2022.609116 -74.585956 -73.621443
2022.647674 -74.717899 -73.680211
2022.684235 -74.983859 -73.736517
2022.722451 -75.325021 -73.795922
2022.761979 -75.575457 -73.857740
2022.800309 -75.587958 -73.917947
2022.837099 -75.442901 -73.975814
2022.875543 -75.222836 -74.036235
2022.913873 -75.016841 -74.096295
2022.939939 -74.865896 -74.136962
2022.953286 -74.773636 -74.157723
2022.972451 -74.595280 -74.187422
2022.991616 -74.364284 -74.217007
2023.009812 -74.093853 -74.244988
2023.028863 -73.743665 -74.274124
2023.050423 -73.297215 -74.306895
2023.066850 -72.950618 -74.331721
2023.084475 -72.588980 -74.358242
2023.103526 -72.245509 -74.386721
2023.122805 -71.998465 -74.415324
2023.144593 -71.840828 -74.447430
2023.186859 -71.930495 -74.508999
2023.206481 -72.115962 -74.537270
2023.225303 -72.354562 -74.564165
2023.244925 -72.618543 -74.591997
2023.261979 -72.842164 -74.616039
2023.281258 -73.078821 -74.643060
2023.300309 -73.281954 -74.669570
2023.319702 -73.464284 -74.696366
2023.339836 -73.648296 -74.724031
2023.358887 -73.831544 -74.750073
2023.378280 -74.040597 -74.776457
2023.416610 -74.589302 -74.828228
2023.434349 -74.888384 -74.852081
2023.475417 -75.627197 -74.907125
2023.491959 -75.899190 -74.929255
2023.512093 -76.194463 -74.956200
2023.531258 -76.430193 -74.981873
2023.550309 -76.618830 -75.007434
2023.587555 -76.863152 -75.057682
2023.606492 -76.964647 -75.083391
2023.625657 -77.064240 -75.109545
2023.645621 -77.175477 -75.137001
2023.663873 -77.281711 -75.162327
2023.681612 -77.378987 -75.187123
2023.700662 -77.468665 -75.213975
2023.719827 -77.521346 -75.241294
2023.739791 -77.508299 -75.270129
2023.760497 -77.422188 -75.300416
2023.778520 -77.288780 -75.327109
2023.798598 -77.080823 -75.357234
2023.816850 -76.846412 -75.385073
2023.834589 -76.608728 -75.412552
2023.853868 -76.359031 -75.442821
2023.872805 -76.135934 -75.472995
2023.891741 -75.957280 -75.503724
2023.911135 -75.821590 -75.535790
2023.931497 -75.709846 -75.570029
2023.953172 -75.605388 -75.607166
2023.970284 -75.519285 -75.636837
2023.989449 -75.397419 -75.669620
