# x_interp smoothed_curve trend
2018.001598 -71.405975 -72.886167
2018.036734 -70.701979 -72.837974
2018.098507 -69.751384 -72.756366
2018.131703 -69.599260 -72.714165
2018.158853 -69.704690 -72.680364
2018.189711 -70.055108 -72.642665
2018.214694 -70.459598 -72.612655
2018.239449 -70.894806 -72.583327
2018.262093 -71.264666 -72.556817
2018.286619 -71.591332 -72.528400
2018.316736 -71.861878 -72.493861
2018.342574 -71.989221 -72.464497
2018.364477 -72.055946 -72.439761
2018.389917 -72.133714 -72.411153
2018.414557 -72.245930 -72.383538
2018.436745 -72.395671 -72.358713
2018.462527 -72.621242 -72.329877
2018.486825 -72.865693 -72.302672
2018.511979 -73.120264 -72.274442
2018.536619 -73.345402 -72.246689
2018.561260 -73.535120 -72.218803
2018.585388 -73.691790 -72.191339
2018.609001 -73.833617 -72.164285
2018.633756 -73.989382 -72.135714
2018.658283 -74.162229 -72.107172
2018.682182 -74.343295 -72.079119
2018.709104 -74.534867 -72.047221
2018.730550 -74.643299 -72.021563
2018.756617 -74.684941 -71.990091
2018.781144 -74.599515 -71.960179
2018.805899 -74.379458 -71.929696
2018.830996 -74.031136 -71.898492
2018.853412 -73.638942 -71.870372
2018.878166 -73.154694 -71.839062
2018.902807 -72.653864 -71.807638
2018.928531 -72.136144 -71.774582
2018.953971 -71.636172 -71.741662
2018.977927 -71.169008 -71.710481
2019.001370 -70.705273 -71.679827
2019.025554 -70.216913 -71.648091
2019.050309 -69.718172 -71.615523
2019.077687 -69.203690 -71.579458
2019.103526 -68.806065 -71.545432
2019.130904 -68.531356 -71.509452
2019.158397 -68.444754 -71.473464
2019.192335 -68.611294 -71.429385
2019.220398 -68.896254 -71.393302
2019.273159 -69.516269 -71.326700
2019.300537 -69.775429 -71.292943
2019.327687 -69.973431 -71.260123
2019.411249 -70.629378 -71.164259
2019.437087 -70.968233 -71.136489
2019.464580 -71.393821 -71.108066
2019.491959 -71.835417 -71.080983
2019.520421 -72.255195 -71.054209
2019.547799 -72.579550 -71.029872
2019.575178 -72.813590 -71.007007
2019.601016 -72.965575 -70.986878
2019.628395 -73.088143 -70.967100
2019.655773 -73.202393 -70.949135
2019.681612 -73.313806 -70.933797
2019.708990 -73.417995 -70.919348
2019.736369 -73.469328 -70.906766
2019.764945 -73.419622 -70.895674
2019.792438 -73.242473 -70.886999
2019.819702 -72.938902 -70.880370
2019.845655 -72.554394 -70.875936
2019.872919 -72.093478 -70.873219
2019.897560 -71.662315 -70.872567
2019.928874 -71.129532 -70.874175
2019.956252 -70.679795 -70.877792
2019.983745 -70.226599 -70.883448
2020.111739 -68.209520 -70.935672
2020.136380 -68.073232 -70.950394
2020.161135 -68.098319 -70.966596
2020.189825 -68.316559 -70.987041
2020.214352 -68.627552 -71.005936
2020.238878 -68.990754 -71.026043
2020.262093 -69.329755 -71.046147
2020.311374 -69.892139 -71.091945
2020.337213 -70.092159 -71.117510
2020.361853 -70.257099 -71.142796
2020.386266 -70.435907 -71.168638
2020.410906 -70.663863 -71.195436
2020.434235 -70.936588 -71.221406
2020.458762 -71.272879 -71.249251
2020.483402 -71.635043 -71.277711
2020.509127 -72.000111 -71.307859
2020.534110 -72.307502 -71.337481
2020.558408 -72.545416 -71.366538
2020.583163 -72.730611 -71.396312
2020.603297 -72.852565 -71.420606
2020.630904 -73.006816 -71.453951
2020.655545 -73.155246 -71.483675
2020.678645 -73.311408 -71.511444
2020.703400 -73.487015 -71.541043
2020.727927 -73.644683 -71.570142
2020.753765 -73.758905 -71.600496
2020.778406 -73.789474 -71.629097
2020.802932 -73.732060 -71.657181
2020.850902 -73.405311 -71.710844
2020.875771 -73.172762 -71.737932
2020.900183 -72.933916 -71.763996
2020.926022 -72.679696 -71.790993
2020.950548 -72.429084 -71.816029
2020.975303 -72.146619 -71.840704
2020.999830 -71.816054 -71.864557
2021.022816 -71.450950 -71.886366
2021.047457 -71.009554 -71.909166
2021.095312 -70.139514 -71.951745
2021.120067 -69.786029 -71.972916
2021.144708 -69.564937 -71.993437
2021.173170 -69.501945 -72.016487
2021.192335 -69.572335 -72.031629
2021.211500 -69.711113 -72.046509
2021.230665 -69.904844 -72.061122
2021.249944 -70.125932 -72.075515
2021.267569 -70.323149 -72.088489
2021.286734 -70.523834 -72.102416
2021.305784 -70.700062 -72.116081
2021.324949 -70.843103 -72.129613
2021.345312 -70.981514 -72.143852
2021.364477 -71.111711 -72.157137
2021.383642 -71.253646 -72.170333
2021.402921 -71.423668 -72.183530
2021.420432 -71.617881 -72.195472
2021.439711 -71.860154 -72.208608
2021.458876 -72.127499 -72.221671
2021.478155 -72.415132 -72.234838
2021.497206 -72.698584 -72.247925
2021.517455 -72.980770 -72.261929
2021.536619 -73.222205 -72.275297
2021.555899 -73.436754 -72.288875
2021.574949 -73.617239 -72.302460
2021.592688 -73.763576 -72.315319
2021.611968 -73.914866 -72.329485
2021.631018 -74.061381 -72.343703
2021.650297 -74.212941 -72.358345
2021.667694 -74.354215 -72.371891
2021.687316 -74.507852 -72.387437
