# x_interp smoothed_curve trend
2014.762207 -87.791666 -86.302705
2014.781372 -87.992533 -86.326960
2014.816736 -88.289302 -86.372627
2014.837213 -88.410378 -86.399694
2014.856492 -88.398392 -86.426134
2014.876228 -88.373599 -86.453295
2014.894936 -88.255018 -86.479968
2014.914215 -88.127006 -86.507511
2014.954199 -87.850047 -86.566562
2014.969827 -87.805239 -86.590404
2015.009583 -87.768824 -86.651816
2015.032285 -87.807362 -86.687517
2015.056469 -87.869368 -86.726468
2015.067078 -87.896569 -86.743555
2015.090521 -87.884229 -86.782110
2015.122919 -87.782364 -86.836014
2015.142541 -87.670803 -86.869005
2015.168493 -87.460871 -86.913307
2015.300537 -86.564499 -87.144349
2015.317421 -86.422069 -87.174448
2015.343145 -86.190010 -87.220335
2015.408739 -85.496078 -87.337623
2015.690053 -87.073870 -87.820362
2015.701347 -87.181041 -87.838168
2015.720969 -87.367238 -87.869104
2015.739906 -87.714875 -87.897950
2015.838012 -89.792817 -88.039972
2015.857405 -90.022637 -88.065746
2015.914786 -90.296165 -88.138838
2015.935034 -90.220912 -88.162622
2015.954199 -90.148140 -88.184887
2015.976216 -90.054788 -88.208914
2016.029776 -89.898726 -88.263710
2016.051564 -89.846461 -88.283639
2016.087669 -89.690542 -88.314695
2016.161477 -88.922719 -88.368340
2016.223250 -87.968326 -88.403231
2016.242758 -87.647644 -88.411919
2016.259469 -87.370854 -88.419235
2016.351587 -85.599390 -88.445216
2016.448610 -84.753229 -88.452674
2016.467660 -85.112541 -88.451483
2016.501598 -85.984416 -88.448245
2016.526467 -86.838490 -88.444807
2016.545632 -87.582334 -88.440925
2016.560006 -88.140644 -88.438008
2016.659310 -90.652552 -88.408550
2016.695301 -91.001856 -88.395004
2016.715037 -91.132657 -88.387136
2016.734316 -91.222618 -88.378939
2016.754564 -91.308797 -88.370218
2016.929102 -89.063747 -88.286869
2016.951462 -88.569379 -88.275924
2016.970398 -88.283608 -88.266759
2017.115390 -88.410554 -88.201000
2017.159310 -88.527869 -88.183533
2017.276810 -87.464730 -88.144551
2017.301222 -86.945892 -88.137984
2017.338468 -85.930832 -88.129189
2017.362881 -85.183252 -88.124215
2017.659424 -88.783716 -88.114838
2017.677049 -89.243794 -88.117084
2017.693590 -89.676815 -88.119858
2017.712641 -90.175563 -88.123063
2017.733402 -90.737858 -88.127260
2017.755021 -91.323445 -88.131793
2017.771334 -91.716659 -88.135818
2017.791753 -92.208845 -88.140855
2017.809778 -92.460157 -88.145951
2017.828715 -92.717662 -88.151329
2017.848392 -92.703478 -88.157553
2017.865619 -92.663382 -88.163065
2017.886608 -92.348295 -88.170368
2017.906915 -91.993002 -88.177545
2017.924425 -91.546944 -88.184271
2017.945301 -91.010268 -88.192308
2017.962870 -90.573203 -88.199553
2017.983973 -90.048703 -88.208270
2018.000515 -89.752922 -88.215513
2018.018710 -89.428758 -88.223484
2018.037076 -89.218689 -88.231835
2018.058294 -89.010965 -88.241573
2018.077573 -88.910248 -88.250691
2018.093830 -88.836597 -88.258414
2018.113109 -88.776273 -88.267721
2018.132274 -88.726657 -88.277030
2018.153264 -88.672438 -88.287301
2018.196328 -88.537368 -88.308378
2018.217090 -88.450021 -88.318488
2018.252397 -88.199649 -88.335380
2018.273044 -87.915630 -88.344896
2018.349192 -86.202878 -88.377710
2018.369839 -85.591766 -88.385828
2018.388889 -85.040025 -88.392536
2018.406801 -84.529308 -88.398801
2018.424425 -84.206280 -88.404021
2018.443705 -83.852900 -88.409731
2018.464123 -83.821408 -88.414468
2018.481920 -83.804467 -88.418557
2018.502397 -84.114711 -88.421755
2018.521448 -84.419535 -88.424642
2018.598050 -86.344378 -88.425955
2018.615733 -86.689518 -88.423536
2018.634669 -87.059114 -88.420945
2018.656915 -87.392330 -88.415528
2018.671688 -87.608725 -88.411815
2018.690853 -87.884316 -88.405007
2018.709903 -88.157363 -88.397894
2018.730665 -88.509556 -88.387860
2018.748233 -88.815339 -88.379045
2018.768710 -89.205679 -88.366448
2018.809207 -89.934270 -88.338073
2018.843944 -90.396346 -88.309102
2018.864363 -90.590279 -88.290561
2018.881932 -90.646112 -88.272474
2018.901325 -90.692409 -88.252215
2018.921688 -90.691691 -88.228675
2018.940624 -90.681997 -88.206370
2018.959903 -90.707176 -88.181504
2019.035137 -91.034959 -88.075129
2019.054302 -91.149220 -88.045701
2019.092688 -91.218606 -87.983416
2019.110257 -91.127960 -87.953609
2019.148701 -90.746908 -87.886821
2019.175908 -90.318730 -87.838321
2019.193590 -89.951223 -87.806092
2019.212755 -89.548812 -87.771132
2019.233174 -89.056849 -87.733451
2019.250971 -88.624827 -87.700608
2019.268596 -88.148062 -87.668097
2020.107519 -87.928014 -87.799445
2020.128052 -88.285560 -87.865955
2020.147217 -88.552348 -87.931657
2020.170432 -88.853974 -88.012408
2020.189483 -88.996753 -88.082752
2020.208648 -89.140386 -88.153516
2020.246978 -89.183784 -88.302155
2020.263349 -89.068650 -88.368183
2020.282171 -88.934761 -88.444126
2020.301222 -88.649733 -88.522957
2020.322097 -88.302794 -88.609792
2020.342574 -87.827599 -88.696697
2020.361625 -87.373743 -88.777701
2020.381247 -86.909490 -88.862258
2020.399841 -86.469652 -88.942418
2020.417580 -86.225719 -89.019331
2020.436745 -85.970232 -89.102447
2020.456138 -86.022887 -89.186424
2020.475189 -86.113215 -89.268904
2020.494354 -86.526409 -89.351205
2020.533767 -87.679920 -89.519010
2020.553047 -88.372062 -89.600363
2020.572097 -89.099876 -89.678942
2020.589836 -89.779728 -89.752025
2020.628166 -91.067173 -89.905389
2020.647217 -91.582116 -89.978950
2020.666496 -92.084801 -90.053002
2020.684007 -92.460132 -90.117667
2020.722109 -93.186909 -90.254570
2020.741388 -93.506601 -90.321558
2020.781030 -93.950932 -90.451943
2020.800309 -93.985613 -90.511331
2020.819474 -93.988051 -90.569689
2020.839722 -93.766175 -90.627375
