# x_interp smoothed_curve trend
2022.756164 -86.246221 -85.532551
2022.756164 -86.246221 -85.532551
2023.309589 -84.974649 -85.600314
2023.309589 -84.974649 -85.600314
2023.331507 -84.663126 -85.573002
2023.331507 -84.663126 -85.573002
2023.389041 -84.858879 -85.493659
2023.389041 -84.858879 -85.493659
2023.408219 -85.231240 -85.464892
2023.408219 -85.231240 -85.464892
2023.465753 -86.337463 -85.365373
2023.484932 -86.066444 -85.327562
2023.484932 -86.066444 -85.327562
2023.564384 -83.473735 -85.157632
2023.564384 -83.473735 -85.157632
2023.643836 -82.169202 -84.958611
2023.643836 -82.169202 -84.958611
2023.643836 -82.169202 -84.958611
2023.643836 -82.169202 -84.958611
2023.643836 -82.169202 -84.958611
2023.643836 -82.169202 -84.958611
2023.676712 -83.103232 -84.867685
2023.676712 -83.103232 -84.867685
2023.715068 -84.495092 -84.754729
2023.715068 -84.495092 -84.754729
2023.734247 -85.251489 -84.696873
2023.734247 -85.251489 -84.696873
2023.753425 -85.676758 -84.636282
2023.753425 -85.676758 -84.636282
2023.772603 -85.853751 -84.573636
2023.772603 -85.853751 -84.573636
2023.791781 -86.030745 -84.510991
2023.791781 -86.030745 -84.510991
2023.830137 -85.473693 -84.377520
2023.830137 -85.473693 -84.377520
2023.849315 -85.119256 -84.310102
2023.849315 -85.119256 -84.310102
2023.906849 -84.135903 -84.094285
2023.906849 -84.135903 -84.094285
2023.926027 -84.043640 -84.017394
2023.926027 -84.043640 -84.017394
2023.983562 -83.799251 -83.781339
2023.983562 -83.799251 -83.781339
2024.002732 -83.735369 -83.699776
2024.002732 -83.735369 -83.699776
2024.027322 -83.649362 -83.592494
2024.027322 -83.649362 -83.592494
2024.027322 -83.649362 -83.592494
2024.040984 -83.598734 -83.531027
2024.040984 -83.598734 -83.531027
2024.040984 -83.598734 -83.531027
2024.065574 -83.507610 -83.420395
2024.117486 -83.770504 -83.175578
2024.174863 -84.314826 -82.891605
2024.174863 -84.314826 -82.891605
2024.213115 -84.047806 -82.693076
2024.267760 -82.830241 -82.401252
2024.267760 -82.830241 -82.401252
