# x_interp smoothed_curve trend
2005.112749 -64.595548 -65.649244
2005.125828 -64.915215 -65.662454
2005.131338 -65.049890 -65.668019
2005.150401 -65.515857 -65.687274
2005.161899 -65.562964 -65.699072
2005.161908 -65.562990 -65.699082
2005.170059 -65.585569 -65.707454
2005.189307 -65.638891 -65.727226
2005.200373 -65.456654 -65.738691
2005.247399 -64.671499 -65.787449
2005.287473 -64.459957 -65.828886
2005.331872 -65.385956 -65.874243
2005.342732 -65.721708 -65.885275
2005.364382 -66.593165 -65.906776
2005.370320 -66.832583 -65.912673
2005.370339 -66.833351 -65.912691
2005.381227 -67.272374 -65.923504
2005.413957 -68.052474 -65.954999
2005.413963 -68.052610 -65.955004
2005.419612 -68.186785 -65.960439
2005.454591 -67.929157 -65.992770
2005.460674 -67.821834 -65.998269
2005.506904 -66.436554 -66.038360
2005.534494 -65.646789 -66.061186
2005.585989 -65.752756 -66.100016
2005.621709 -66.667719 -66.124568
2005.621720 -66.668099 -66.124575
2005.649692 -67.599330 -66.142463
2005.690360 -68.460966 -66.165422
2005.704359 -68.478132 -66.172354
2005.704368 -68.478144 -66.172359
2005.753103 -68.157594 -66.194488
2005.753113 -68.157470 -66.194492
2005.764699 -68.006362 -66.199359
2005.822194 -67.424406 -66.217730
2005.835303 -67.360730 -66.221257
2005.835308 -67.360703 -66.221259
2005.847013 -67.313604 -66.224003
2005.860822 -67.271040 -66.226702
2005.904463 -66.871791 -66.233489
2005.915095 -66.724567 -66.234813
2005.936374 -66.143935 -66.236251
2005.956651 -65.543167 -66.237417
2005.973113 -64.961641 -66.237346
2005.989387 -64.386703 -66.237275
2006.003798 -63.991144 -66.236717
2006.020067 -63.624921 -66.235736
2006.038489 -63.337074 -66.234373
2006.085403 -63.680268 -66.228709
2006.085411 -63.680423 -66.228708
2006.142715 -64.803839 -66.219120
2006.161676 -64.920578 -66.215407
2006.180883 -64.933590 -66.211523
2006.200135 -64.703857 -66.207488
2006.219338 -64.369300 -66.203402
2006.254481 -63.763260 -66.195944
2006.271191 -63.644205 -66.192498
2006.284945 -63.706335 -66.189757
2006.284952 -63.706370 -66.189756
2006.298326 -63.766781 -66.187091
2006.317565 -64.298812 -66.183654
2006.331185 -64.744690 -66.181283
2006.331199 -64.745125 -66.181281
2006.347972 -65.398807 -66.178658
2006.389073 -67.171424 -66.173603
2006.413834 -68.026525 -66.171493
2006.413843 -68.026853 -66.171492
2006.452304 -68.406728 -66.170474
2006.496025 -67.931964 -66.172884
2006.515173 -67.745083 -66.175654
2006.534724 -67.616886 -66.178765
2006.548232 -67.787500 -66.182086
2006.581301 -68.453699 -66.191459
2006.603236 -69.225528 -66.199330
2006.619214 -69.809526 -66.206372
2006.619315 -69.813282 -66.206421
2006.666003 -71.097868 -66.231497
2006.685162 -71.353467 -66.243308
2006.705752 -70.884122 -66.258911
2006.715204 -70.665477 -66.266086
2006.715215 -70.665213 -66.266094
2006.733274 -69.979833 -66.281246
2006.749576 -69.146693 -66.296078
2006.768666 -68.125526 -66.314487
2006.793514 -66.684432 -66.341005
2006.793520 -66.684101 -66.341011
2006.812529 -65.710849 -66.363266
2006.865270 -63.608936 -66.432537
2006.871490 -63.407121 -66.441221
2007.181393 -68.640846 -67.098415
2007.201436 -68.371588 -67.154326
2007.225137 -67.929621 -67.221160
2007.273995 -66.847993 -67.365364
2007.413952 -69.970667 -67.806889
2007.581185 -67.931987 -68.356766
2007.690780 -70.674151 -68.702685
2007.748193 -70.470685 -68.872059
2007.786663 -69.928737 -68.979423
2007.811435 -69.662669 -69.045446
2007.879138 -69.333597 -69.212934
2007.920459 -68.914688 -69.303785
2007.920468 -68.914512 -69.303805
2007.953906 -68.292225 -69.371201
2008.038384 -67.610763 -69.510919
2008.038392 -67.610918 -69.510929
2008.062982 -68.115172 -69.544054
2008.286919 -67.536060 -69.650520
2008.415437 -69.086397 -69.551973
2008.458026 -69.128249 -69.493300
2008.497744 -68.666276 -69.427817
2008.497753 -68.666182 -69.427799
2008.620590 -70.923069 -69.161677
2008.644820 -71.891233 -69.099314
2008.667149 -72.450614 -69.037734
2008.685927 -72.739264 -68.984727
2008.710179 -72.618634 -68.912965
2008.748668 -71.725380 -68.793364
2008.789754 -70.444293 -68.658298
2008.811492 -69.935198 -68.583455
2008.833369 -69.482048 -68.507289
2008.852709 -69.300869 -68.437145
2008.876738 -69.075622 -68.349331
2008.896313 -68.891678 -68.275768
2008.917835 -68.612828 -68.193981
2008.917851 -68.612537 -68.193922
2008.934561 -68.291927 -68.129183
2008.954146 -67.873486 -68.052722
2008.954155 -67.873233 -68.052684
2008.978178 -67.234943 -67.957180
2009.000594 -66.710660 -67.866861
2009.000603 -66.710456 -67.866823
2009.022289 -66.245727 -67.778727
2009.044439 -66.063997 -67.687347
2009.044456 -66.063889 -67.687277
2009.065765 -65.956106 -67.599037
2009.285303 -62.736842 -66.663541
2009.285316 -62.736810 -66.663484
2009.329153 -64.037789 -66.475960
2009.394549 -67.776577 -66.198703
2009.500145 -68.059028 -65.760154
2009.500156 -68.058628 -65.760107
2009.515350 -67.525934 -65.698112
2009.586573 -66.172287 -65.412503
2009.728938 -66.349291 -64.884978
