year  FF  Mic  Pyro  total  
1997  -195.822  -299.560  -224.749  -295.772  
1998  -196.017  -299.935  -236.154  -297.228  
1999  -194.653  -299.651  -224.141  -297.124  
2000  -195.240  -299.360  -222.947  -296.997  
2001  -196.428  -299.271  -223.165  -296.904  
2002  -196.318  -299.195  -233.726  -296.568  
2003  -196.219  -299.419  -236.219  -297.012  
2004  -196.686  -299.273  -229.621  -296.858  
2005  -198.428  -299.516  -224.278  -297.033  
2006  -198.559  -299.291  -227.337  -296.520  
2007  -198.902  -299.640  -219.973  -297.093  
2008  -197.852  -299.271  -230.169  -296.957  
2009  -197.542  -299.248  -226.721  -296.663  
2010  -197.132  -299.390  -225.908  -296.923  
2011  -196.824  -299.422  -225.516  -297.093  
2012  -196.592  -299.459  -237.447  -297.116  
2013  -198.252  -299.410  -232.196  -297.292  
2014  -198.942  -299.370  -233.457  -296.856  
2015  -198.572  -299.622  -229.466  -296.822  
2016  -198.094  -299.955  -229.886  -297.795  
2017  -197.994  -299.824  -236.142  -297.661  
2018  -197.504  -299.582  -236.669  -297.402  
2019  -197.429  -299.741  -239.319  -297.337  
2020  -198.759  -300.303  -235.127  -298.224  
2021  -197.446  -299.845  -260.185  -298.006  
2022  -196.884  -299.938  -258.156  -298.108  
2023  -196.884  -299.938  -258.156  -298.108  
