Year,China d13C ONG,China dD ONG,Canada d13C ONG
1970,-40.2,-196.9,-49.90891521
1971,-40.2,-196.9,-49.90891521
1972,-40.2,-196.9,-49.90891521
1973,-40.2,-196.9,-49.90891521
1974,-40.2,-196.9,-49.90891521
1975,-40.2,-196.9,-49.90891521
1976,-40.2,-196.9,-49.90891521
1977,-40.2,-196.9,-49.90891521
1978,-40.2,-196.9,-49.90891521
1979,-40.2,-196.9,-49.90891521
1980,-40.2,-196.9,-49.90891521
1981,-40.2,-196.9,-49.90891521
1982,-40.2,-196.9,-49.90891521
1983,-40.2,-196.9,-49.90891521
1984,-40.2,-196.9,-49.90891521
1985,-40.2,-196.9,-49.90891521
1986,-40.2,-196.9,-49.90891521
1987,-40.2,-196.9,-49.90891521
1988,-40.2,-196.9,-49.90891521
1989,-40.2,-196.9,-49.90891521
1990,-40.2,-196.9,-49.90891521
1991,-40.2,-196.9,-49.90891521
1992,-40.2,-196.9,-49.90891521
1993,-40.2,-196.9,-49.90891521
1994,-40.2,-196.9,-49.90891521
1995,-40.2,-196.9,-49.90891521
1996,-40.2,-196.9,-49.90891521
1997,-40.2,-196.9,-49.90891521
1998,-40.2,-196.9,-49.90891521
1999,-40.2,-196.9,-49.90891521
2000,-40.2,-196.9,-49.90891521
2001,-40.2,-196.9,-49.90891521
2002,-40.2,-196.9,-49.90891521
2003,-40.2,-196.9,-49.90891521
2004,-40.2,-196.9,-49.90891521
2005,-40.2,-196.9,-49.90891521
2006,-40.2,-196.9,-49.90891521
2007,-40.2,-196.9,-49.90891521
2008,-40.2,-196.9,-49.75835263
2009,-40.2,-196.9,-49.48136315
2010,-40.2,-196.9,-49.00544588
2011,-40.2,-196.9,-48.15524173
2012,-40.19815232,-196.8875974,-47.58387597
2013,-40.18609552,-196.8066662,-47.06302148
2014,-40.11679286,-196.3414721,-47.18588313
2015,-39.94788736,-195.2076939,-47.25024493
2016,-39.78475238,-194.1126503,-47.23002614
2017,-39.76520363,-193.9814294,-47.27368286
2018,-39.71484099,-193.6433702,-47.38593061
2019,-39.57167226,-192.6823501,-47.20628873
2020,-39.44502455,-191.8322273,-47.15566443
2021,-39.34127705,-191.1358222,-47.26400258
2022,-39.34832873,-191.1831566,-47.44232951
