COUNTRY,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Kazakhstan,2787.881906,2731.708463,2674.616965,2620.522002,2563.381233,2509.532471,2478.010988,2355.147816,2250.113054,2127.622391,1929.561585,1738.070735,1674.605196,1531.851146,1665.536938,1382.773713,1370.636168,1320.321259,1291.15934,1340.340517,1305.147512,1201.764775,1241.645684,1103.563568,800.5885545,613.8532043,560.6057958,526.7321962,497.2225983,414.8204123,525.1182572,526.0268886,494.5681135,559.3374521,571.8240102,569.2615536,633.3672974,638.2418748,719.5066204,662.86533,719.1822271,751.1239637,780.9566942,780.4664842,767.5547709,567.6560438,597.9924857,652.4614136,668.4920001,637.6486516,629.2957592,540.8313464,549.8528062
Kyrgyzstan,27.27319807,27.27319807,27.82704519,28.26065681,28.95491276,29.46609934,29.7974023,30.30165016,30.31658707,29.95953801,29.46504859,28.64113685,29.02989485,28.29189024,27.86681505,28.04518121,29.10776039,29.30130667,30.01820676,28.58365339,24.07971219,23.161776,14.59593747,11.46354152,5.710309623,3.050526009,2.621824318,3.349228193,2.708409725,2.596024597,2.657303061,2.961710452,2.860242543,2.51663607,2.773409951,2.007552889,1.923201109,2.367780229,2.908123055,3.639991536,3.448465802,4.985140631,6.983512549,8.594616912,10.9534664,12.32925518,11.11571826,11.2233934,14.39148273,15.60455765,16.44481903,12.79317951,13.12867176
Tajikistan,8.639187247,8.639187247,8.847743801,9.03791168,9.271867944,9.455775371,9.623981415,9.752795872,9.784646137,9.661935635,9.455168254,9.118433244,9.203737792,9.009518724,8.856790685,8.913410556,9.248728257,9.267679616,9.356825496,8.899461345,7.285156864,4.803819806,3.279557888,2.701961149,1.095432566,0.331888378,0.163165402,0.176386933,0.205265213,0.205265213,0.236016444,0.2586172,0.463301233,0.584449919,1.248689222,1.33533193,1.371710898,2.46914785,2.729067909,2.759824765,2.712094858,3.219374415,5.786465338,7.287618409,11.92264915,14.27730738,19.28566924,24.9220981,26.66840929,28.42853122,29.6252271,30.27005997,32.46693811
Turkmenistan,,,,,,,,,0.440734796,0.448160867,0.448518073,0.442087938,0.435646977,0.429211456,0.422781295,0.422781295,0.42470818,0.422781295,0.422781295,0.422781295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,9.872202305,9.872202305,10.05870822,10.19338125,10.43876035,10.61452256,10.70775519,10.90332285,11.32642439,11.20846694,11.05097291,10.77843633,10.92885065,10.63875698,10.4862575,10.55077097,10.93780951,11.02386322,11.34156259,10.82353474,8.86322131,9.194703814,8.040198978,6.539999053,7.205811062,3.929101841,3.723582688,3.617621182,4.028623737,4.045472878,3.657518782,3.842399593,3.641934568,2.722386589,3.368733938,3.865836839,4.483820818,4.290614734,4.223957535,4.175139971,3.704117751,3.907742429,3.834618458,4.153788646,5.663346228,5.082623792,5.90387135,5.55508263,6.489227195,7.222586458,7.608322293,7.59200455,7.59200455
Brazil,21.71294177,21.647107,21.71167993,20.51342225,26.54971292,22.8485237,27.27945197,31.76493235,52.16106575,58.85353043,63.38434971,68.83056058,75.57652878,80.35595323,91.88956255,91.78098661,87.30460497,79.41353801,86.32459863,75.64315457,51.74363258,57.23106994,52.33100377,52.62162401,55.49082688,56.38313498,52.427782,59.11244423,57.02352762,57.645692,70.85300272,61.17390574,55.63005291,51.82485699,59.81201275,65.99929795,62.09598323,65.18484916,73.31690977,62.5074805,61.02616794,62.4776723,68.87367338,88.07334977,82.39210942,81.73014005,70.50031084,59.40887968,60.42713722,64.37823362,59.29867538,78.53046727,73.26044168
Canada,55.41064649,56.46794748,58.85294156,58.2614182,54.83152937,62.74790097,66.36195529,68.92067067,83.27651863,77.69384141,80.85081759,81.37260172,100.86813,87.1604709,103.2024628,93.56802333,99.53010876,99.24198285,119.7222635,127.5601933,122.32043,151.01121,139.7097892,136.2278012,134.7040584,129.8318828,133.0699838,137.468274,117.004478,113.0636774,106.4430334,107.6281017,98.4615604,91.21480911,97.94059838,106.1978264,106.2321019,115.2739293,103.7584543,93.20859712,104.9550501,105.7382034,106.0969691,112.1924303,105.4557809,93.89503933,88.64327765,95.59704174,94.21606018,92.82703643,82.01049124,85.35309134,83.27585884
Albania,2.592796751,2.592796751,2.848207573,3.120264666,3.276049029,3.448479081,3.467637607,3.65922644,4.617171627,5.383527981,5.460164127,5.921246855,6.53560002,7.111635944,7.725990127,8.263708998,8.330118674,8.20366939,8.396526628,8.431013354,5.377257509,2.843386652,0.942004135,0.55078904,0.434969071,0.205902858,0.290836959,0.100377043,0.126115319,0.126115319,0.077213703,0.054049263,0.038606301,0.149279768,0.149279768,0.115820009,0.115820009,0.115820009,0.157001242,0.025738276,0.025738276,0.012869125,0.012869125,0.00772148,,0.897915712,0.054417936,2.009127554,4.281490001,1.380757517,1.844996528,3.485139719,4.171284076
Bulgaria,86.82085269,85.01131626,84.15398531,81.03173246,72.08874958,80.576619,72.2298912,69.74855002,69.69245839,74.0730804,77.19999377,72.85394613,77.80235347,76.02534118,76.57635548,67.98607903,75.0952345,76.12820811,68.55419699,66.64895265,56.63881393,42.74897542,47.46652038,44.0358413,41.87681163,42.51470677,41.83369295,41.61029255,39.69097745,31.71131696,30.36123449,30.80658061,29.52669819,30.27632907,28.68852234,25.6526415,25.59717812,27.21154764,26.53765218,23.78047313,24.75808917,31.15708744,28.15481481,24.01715574,25.67155567,29.30344842,25.53638608,28.48425627,25.54486569,23.63268835,18.84533928,23.8080337,29.76004213
Bosnia and Herzegovina,48.68603731,48.68603731,48.92305552,51.39323216,53.17976101,56.12719716,56.41743315,58.7779616,62.91696638,67.11078479,65.9675993,78.57904087,86.17804891,96.40518643,102.9743564,107.5131093,108.7224521,109.9128435,104.9707216,105.5112188,118.0841246,105.0570489,90.04889902,78.04237915,8.404563381,9.845347295,9.087362792,29.69439165,38.4887274,36.87386668,38.33755278,39.1207988,40.3730618,46.32002408,46.37347311,48.02800917,52.46445385,51.46340824,59.19744753,60.4456402,58.65848535,66.9604187,64.103337,62.07077248,88.0278684,90.62503817,100.6306058,103.1797593,104.6220542,97.33415082,95.08299171,89.87161904,87.71965372
