COUNTRY,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Kazakhstan,64.66046308,64.70277077,68.16999888,72.93212955,78.76890767,85.33896405,91.84639527,97.23789602,102.78229,107.9333341,113.4020691,116.9064516,121.1346132,125.2533908,130.2132421,134.4228568,140.9065996,146.3125498,151.9242877,153.8130242,155.5928763,167.1509535,168.2451066,143.8686823,109.7179657,126.097543,137.7536849,163.1710482,161.4240384,198.4964725,201.0148804,204.8185054,252.67502,287.129874,358.9630941,392.3341372,416.4640846,451.0560415,499.8818329,545.0377763,567.2075063,578.6522336,625.7944784,663.1085093,620.0956643,545.2400753,590.2436472,676.9132251,723.3514224,651.9733223,608.6159577,595.4401472,581.2981856
Kyrgyzstan,0.888462855,0.891921088,0.940023453,1.006771099,1.085852816,1.173301676,1.256045183,1.322285207,1.387543042,1.449274575,1.517156924,1.558877707,1.611668389,1.664313528,1.72466908,1.771768407,1.854901677,1.920376291,2.144422074,2.306665606,2.307854685,2.246003707,1.955558488,1.475873951,1.36286736,1.376519138,1.226724056,1.366969134,1.055306187,1.124507758,1.297339498,1.28069473,1.182717806,1.112441863,1.149833664,1.213966212,1.130777019,0.910270733,0.953475474,1.000946398,1.16837078,1.268058649,1.368722493,1.443242719,6.670372997,6.757220529,6.89009627,6.984880334,7.124567936,7.221993328,7.22227196,7.153472762,7.207546992
Tajikistan,1.005481425,1.013571837,1.069663729,1.146460053,1.240134502,1.337478371,1.431610504,1.502945226,1.570587428,1.640348673,1.71268084,1.76302176,1.832306815,1.904708468,1.993768146,2.072640263,2.178982735,2.266764324,2.765897438,2.996818575,3.004348952,2.483775169,2.05848939,1.640825825,1.398185069,1.454379951,1.532333594,1.454879745,1.318233667,1.363536993,5.110382442,5.237558363,5.001705344,5.00919011,5.019634634,4.949228059,4.837505765,4.796989741,4.806308351,4.846389461,4.879108507,4.825256974,4.737733812,4.637168953,4.622087941,4.631376582,4.618368884,4.586343482,4.58675333,4.581713897,4.581347224,4.581862031,4.575066627
Turkmenistan,347.6504166,347.7335674,364.5872816,389.7859572,427.0825837,469.3063371,516.3923044,553.8223642,592.9206941,640.4541511,681.7370706,717.0837999,762.0725872,805.5500992,866.6155851,930.600363,990.2746325,1044.623456,1099.350349,1128.760343,1137.049769,1174.427094,790.9020837,903.2260052,543.9538896,523.2815557,567.4451334,305.7673905,360.0962655,574.7184919,834.5111485,845.7977916,928.7974453,1082.654427,1109.495717,1108.532747,1125.853233,1169.466627,1234.665901,788.0089509,849.4226194,1129.711228,1192.245013,1330.035859,1356.945301,1410.39585,1333.535829,1319.764898,1349.442555,1370.028399,1316.985613,1399.401968,1385.831646
Uzbekistan,199.3957927,199.4780292,209.0300436,223.3061186,243.7056429,267.0734664,291.8424523,311.752592,332.5069389,356.3273821,378.026688,395.4943953,417.4733675,438.6800072,468.1183149,498.7387338,528.0530155,554.5798819,581.019195,594.38173,599.3144409,614.2977401,646.330911,708.0549884,821.6818347,832.5315038,900.9032486,894.9686587,943.9524604,867.4936572,956.3678182,1113.295903,1332.548954,1174.608338,1108.509843,1325.213818,1395.454518,1260.672501,1414.839033,1155.467774,1216.276103,1226.298397,1277.20496,1212.27248,1114.345007,1094.40729,1090.806946,1122.730739,1273.691674,1282.458444,1110.765804,1133.400061,1108.901837
Brazil,59.74193419,59.76380287,60.27711768,63.49657136,69.60189207,70.07490074,70.55639233,70.70849076,74.50710812,77.69576903,84.14420117,92.4313106,111.7529429,141.5330086,189.4668739,222.5098202,235.213398,237.0105658,237.3427698,253.5320495,265.136531,230.5495949,258.9997736,243.037807,255.7618174,262.9871315,316.3951156,357.1163068,418.9386093,448.0444671,475.5928067,461.3703725,481.6850482,486.7279539,487.8739735,599.7880583,557.428418,526.520968,613.9664666,649.3309757,630.1279366,667.2189265,696.0292208,716.3348829,779.0154086,818.1938583,835.2464408,896.1870345,861.9465447,911.9530678,916.5506728,909.8860744,912.6218615
Canada,937.8616288,951.3856229,1083.699823,1234.406938,1175.525154,1124.151204,1053.634413,1065.770018,1051.852104,1166.487565,1122.715751,1097.210239,1038.795167,1041.886199,1111.82538,1163.19066,1177.216873,1210.849908,1276.521844,1315.651637,1292.211622,1338.846777,1464.794215,1550.487404,1640.576166,1741.486158,1816.403697,1932.441624,1942.578294,1947.070803,2040.302761,2063.081457,2081.717249,2085.102989,2106.777624,2075.716963,2169.875134,2157.985362,2160.958918,2060.51168,2098.594668,2162.564482,2257.364,2277.314276,2429.807181,2414.489959,2278.769496,2336.682714,2364.507413,2335.690864,1870.545813,1984.237957,2059.215427
Albania,30.52694774,30.52759202,39.24178355,39.04808928,33.45675154,36.03447232,38.38561939,39.25039661,42.74952355,39.65422281,39.67547927,37.79383707,51.11153866,58.80495451,45.6930121,45.21833363,45.26578514,44.53539892,38.05244933,39.27407281,26.45358026,34.75220812,13.14937604,13.54602371,9.477061523,5.558709218,5.407921683,5.046373091,5.036946306,4.941326613,4.846844731,4.789997958,5.01291534,5.010945734,5.221234002,5.169895415,5.35478881,5.579239395,5.476294276,5.496261962,5.873461994,4.455606141,4.889931095,5.614521371,6.478492402,6.132393123,5.320836298,5.015341369,4.702322567,5.466101356,4.187907009,4.035955477,3.777039375
Bulgaria,3.748039553,3.741482862,3.530312713,3.885464684,4.144985629,4.137629077,4.360399606,4.72335268,5.554127704,6.12258355,6.321553942,6.117921718,5.936344312,5.60074473,5.557152659,5.55806176,5.380072731,5.233466445,5.419138902,5.652850772,4.425591784,3.635793794,3.164665303,4.288457774,4.788055606,5.22756277,5.131303492,5.068476103,5.023964989,5.262954359,6.312806742,6.426817457,6.387634122,6.370291503,7.462303356,8.109055241,8.299258542,7.828101617,7.554792001,6.83369197,6.88841359,7.920508429,7.841488354,7.549553003,7.135633711,7.102216692,7.210777261,7.211284306,6.807376176,7.014205486,7.186421443,7.02545188,7.055886868
Bosnia and Herzegovina,0.293349246,0.293354658,0.29302814,0.331974597,0.375327296,0.382878089,0.420165529,0.487789437,0.530887368,0.600423733,0.608185746,0.589461361,0.603930293,0.666448732,0.693515905,0.672160581,0.747034499,0.770783628,0.826391193,0.80305035,0.770766879,0.717121183,0.190457134,0.153437033,0.131649695,0.100840145,0.104249385,0.104888247,0.120398041,0.125476787,0.285903699,0.232433686,0.251027093,0.226023146,0.258610923,0.248711577,0.215072829,0.214329461,0.241218129,0.499800737,0.530344248,0.557376909,0.508312772,0.474282281,0.481326383,0.460333855,0.442152306,0.448900125,0.404207301,0.237072337,0.241045012,0.241658648,0.242306655
Cyprus,,,0.162655014,0.176530257,0.127299134,0.089858837,0.101697703,0.113373399,0.11698071,0.142274799,0.156230945,0.135835548,0.133971186,0.14842046,0.149312046,0.119200731,0.151868443,0.166072617,0.192623162,0.175254765,0.169764178,0.202985368,0.193144731,0.206918617,0.240434071,0.21919041,0.201692673,0.276709044,0.286907909,0.312772581,0.31094293,0.306513009,0.288280398,0.25806566,0.073865755,,,,,,,,,,,,,,,,,,
Czech Republic,3.192275678,3.217778558,3.42384628,3.643152387,4.014785674,5.980786048,6.483567714,6.398967457,6.904797774,7.268982938,6.880525806,7.058167537,6.918762989,6.879503724,7.074462895,7.374886605,7.674556636,7.931154081,7.952579559,7.986045754,7.510447875,6.902685132,7.066471238,7.574651679,8.135507533,8.670787549,26.3541827,26.49102051,26.20221366,27.57079022,29.45729236,29.40505822,34.40085099,36.74277209,38.13345374,38.33264329,37.50143793,37.29327309,37.27129472,36.37623192,35.84695502,35.31990336,35.21812318,34.99697486,35.17920543,34.81524291,34.1511869,34.72074466,34.72259164,34.47106475,34.17305652,34.08921041,34.01044236
Estonia,0.202583392,0.20535701,0.21080568,0.228982667,0.239562968,0.249184683,0.257942569,0.265682538,0.276456674,0.29982797,0.323032081,0.346667812,0.371291152,0.385902584,0.396092525,0.405831074,0.415060427,0.42089728,0.519672541,0.632136048,0.683640911,0.710126641,0.735688702,0.66558759,0.568377477,0.521722407,0.506078551,0.475429438,0.470443471,0.481791292,0.562201479,0.591634798,0.613436432,0.623969092,0.632237649,0.635233628,0.632957028,0.625407849,0.612586092,0.594491755,0.571115734,0.542477513,0.508566713,0.473292172,0.432260421,0.383709628,0.326615166,0.262258381,0.2618484,0.263128246,0.262708773,0.263396562,0.264121798
Croatia,18.48219589,18.48222893,22.16419322,23.75774849,25.75680855,24.61769339,28.24824176,30.72713145,31.43931268,30.49228405,31.35001696,29.79144602,31.09472482,30.12556324,28.42478682,34.91435972,35.21790512,36.89442165,42.22597173,40.75296915,38.63842156,35.38721141,34.87102784,39.13537509,34.55340395,37.44021681,34.23502983,33.35259077,31.08205591,30.3558956,31.97993061,37.49411249,39.3199907,40.52956724,40.62213469,41.87343217,48.79852922,51.91474022,48.44183555,48.65191985,48.88920243,44.64993254,37.3840748,34.74824599,33.36883865,34.12665863,32.30062627,29.61451615,25.41973013,21.83158693,18.79659939,17.13323783,14.12358414
Hungary,34.35095951,36.93998231,40.4399395,46.03368731,49.78000858,51.27345808,56.19357779,59.78691234,64.73628476,60.98460447,60.48033889,60.11595636,62.7077024,62.50663066,63.82524544,65.87691954,63.26940212,62.65128862,58.95012225,59.17551431,66.55661103,66.93182529,64.81895067,69.84739604,71.4121981,73.61427935,74.24761701,73.52220217,72.44019975,71.68439137,71.06847088,72.73419257,73.48710077,74.70613686,75.73712306,76.65375338,76.07043636,73.28648827,73.39438596,72.76729522,73.11927707,71.86742169,69.74840909,68.20612953,66.73483013,66.66335266,67.60467756,67.9754388,68.75422605,68.07495725,67.43147699,67.47730019,67.47733894
Lithuania,2.075332503,2.079165551,2.219787032,2.38888651,2.541069371,2.628073191,2.738356523,2.838817202,3.00402374,3.111796711,3.250428757,3.335076839,3.414613079,3.453196996,3.451220116,3.457812949,3.486107047,3.569482213,4.592299876,5.630225002,5.607903093,6.257257923,4.269631549,4.738846304,4.545305993,4.705826526,5.047502987,5.52139561,6.205032395,5.449876668,5.775589835,6.687222685,6.434401232,6.420900076,6.556504014,6.408644833,5.988185478,5.160090059,6.054842598,5.796685576,6.199490394,6.154857762,5.920398707,6.073160999,5.543486365,5.798196435,5.917664524,5.854907617,5.763434088,5.687511111,5.203181682,5.153013439,5.094043526
Latvia,0.695583983,0.710080858,0.733730703,0.796922629,0.836073469,0.866543462,0.889634404,0.902816981,0.917139142,0.969667199,1.022132582,1.0802645,1.147621974,1.191450934,1.222268257,1.250449206,1.27574086,1.288770214,2.002959338,2.647654013,3.227041246,3.235037707,3.151125798,2.933128264,2.409397702,1.957763324,1.941315901,1.924417186,1.87889502,1.876266094,1.8801328,1.89053686,1.916343302,1.941636945,1.954048253,1.958088356,1.952699238,1.941041971,1.918382694,1.8881986,2.284234881,2.238191144,2.179507802,2.121228581,2.049760383,1.900504534,1.801695488,1.68908993,1.724627234,1.721285535,1.719268587,1.721334319,1.727418042
"Macedonia, the former Yugoslav Republic of",3.800462708,3.459746163,3.05278195,2.621348823,2.186463509,1.706237484,1.287202424,0.946301478,0.679276882,0.528415016,0.405407044,0.31655065,0.290328163,0.304567926,0.295283894,0.270881978,0.313933286,0.327168044,0.360428001,0.346105484,0.326163378,0.257812717,0.26858425,0.265118606,0.043890669,0.031792776,0.200765549,0.168096065,0.386677741,0.413631285,0.558717515,0.565641035,0.544687501,0.640589522,0.648407079,0.69244626,0.666302313,0.667230317,0.670409912,0.64508394,0.609318845,0.568051189,0.44382654,0.395006998,0.374732481,0.373760034,0.373719019,0.373726683,0.37376544,0.373738245,0.373767431,0.373783011,0.373798199
Poland,79.08021753,80.43848661,77.97989876,84.50469179,101.3189801,104.5108372,98.8391918,93.11845169,96.76435318,92.4789756,90.48705283,88.11280045,87.01890675,77.86177249,75.50899324,77.3978132,77.62407885,78.93151191,75.34600806,74.61013553,67.61041305,68.61717238,70.14365112,76.03214224,77.02884917,78.34746351,80.28522037,78.54061049,81.73126009,83.64451307,96.22877902,102.5979538,99.73662815,100.724999,108.4573332,105.7739711,103.1478252,98.66039668,98.45958257,93.84495237,93.40427689,89.77334607,92.32430359,104.4618439,101.816008,99.40221859,100.4512,97.97107853,99.03242218,96.92425226,94.49307916,91.44239235,90.15003869
Romania,499.3308611,500.5257834,513.1927114,533.600053,547.4284579,576.0469472,608.7630658,629.5920358,618.688646,579.9118451,579.3663801,599.0218523,605.4582194,603.4011175,599.0819467,578.4434878,570.89473,552.5436021,541.9434965,489.6883431,410.9697965,357.4503549,328.448999,319.0784035,296.08276,291.4705636,281.2418066,256.6659858,244.8390782,242.2474792,223.5198405,220.9010618,240.4632547,235.3202357,209.2813238,203.1217009,202.5338377,186.1069918,179.4465079,174.7889457,167.8432343,167.4587711,164.2217404,164.4564544,165.8335302,165.462898,151.4634032,158.5468458,157.3773006,154.3647211,142.0247972,141.2868265,141.6346732
Serbia and Montenegro,10.36276711,10.36304333,11.61188307,12.2571159,13.0016902,13.09054466,14.30424188,15.10365404,15.49784435,15.28759945,15.73706477,15.55439462,15.80428548,15.31102809,14.69500721,16.36462003,16.56573669,16.58759302,17.62124637,16.73142133,16.1657448,17.16272546,18.32676916,17.99099632,16.75555548,17.42774625,14.00772335,14.51897739,14.99836607,15.40138931,16.09059568,13.56429407,11.90859215,10.74046242,9.575519863,9.074570217,9.005207669,8.541249291,8.704084097,8.784583861,11.47114952,12.91305225,13.11170249,13.49420846,15.23783188,15.08711655,14.12525499,13.60526478,13.14167143,12.77472028,12.35678922,11.71468987,11.23533216
Slovakia,102.7408419,102.8238012,98.07478124,83.56961883,69.92741204,67.63597442,58.06957247,53.86123921,53.67129599,44.40287956,37.65397552,38.10301792,38.51108459,38.92398194,38.45706398,38.71057359,38.76513167,39.08082795,41.08709627,42.1085875,42.47037688,39.15796419,37.95497896,37.79955605,38.18226001,39.0973654,38.77179644,37.41636898,39.24544702,39.36994461,36.46173875,35.96470401,35.47568884,35.94705962,36.50339425,35.60899398,34.0384053,32.86275194,32.47431678,29.93645899,30.33844375,29.59848757,23.99134576,24.14281008,17.17499262,15.33916255,16.09072687,16.89540996,16.87782598,17.61454265,18.02167827,19.66758513,19.67284168
Slovenia,0.445318829,0.451165839,0.486438686,0.52100787,0.561594787,0.594515234,0.640229132,0.718314111,0.831397054,0.905863543,1.024288518,1.19815124,1.364795796,1.467048666,1.591142022,1.830972948,1.941354741,1.975190736,2.077791957,2.183674799,2.228525249,2.262636558,2.351499282,2.417174001,2.488081458,2.741921785,2.918080932,3.239672223,3.3750793,3.795794761,4.037179644,3.961651307,4.558474266,4.624407626,4.867161715,5.107515528,5.350927428,5.591893656,5.835305556,6.077976856,6.329530691,7.020973364,7.263221464,7.575236446,7.901959746,8.246916046,8.544794778,9.090427475,9.420200843,9.737691116,10.08279135,10.39293803,10.77390717
China,260.4397655,261.0622358,308.6482219,366.0099634,446.3310996,527.9984786,598.5009179,659.4584175,735.2490532,757.8657843,757.1895569,712.3993029,709.5079316,734.1423855,785.5028496,844.6482803,887.0587011,908.8412547,927.904867,944.885772,948.0858458,976.7101006,981.9517925,1011.186991,1033.13343,1050.450227,1342.983239,1366.896513,1204.081859,1274.998896,1357.288265,1408.847212,1410.900645,1550.456508,1658.530313,1826.343977,1949.386243,2016.909365,2130.345548,2190.089111,2282.269389,2409.089792,2494.875546,2651.407042,2798.396439,2890.588329,2870.959738,2988.773178,3148.290737,3372.668391,3608.529227,3752.659831,3948.976493
Hong Kong,0.073660242,0.076610478,0.08264044,0.09129024,0.103267681,0.115331056,0.132721076,0.152628968,0.177244382,0.211220335,0.24871491,0.295310315,0.347721774,0.408177867,0.473817993,0.552451405,0.636304053,0.721535988,0.815588825,0.891484012,0.988822954,1.086148011,1.161665148,1.248483893,1.30705864,1.379208927,1.427785704,1.498874832,1.524578341,1.55419832,1.579220605,1.6002744,1.6140884,1.66581,1.7008674,1.72014315,1.7146185,1.7481747,1.756593,1.8261696,1.824955478,1.848781824,1.86314502,1.901620545,1.940870745,1.980947265,2.018451864,2.056666525,2.095604691,2.13528006,2.175706589,2.2168985,2.258870283
Macao,1.66919E-05,1.66919E-05,1.66923E-06,2.00306E-06,1.33532E-06,2.00306E-06,1.33532E-06,1.66923E-06,2.00306E-06,2.00306E-06,,,,,,,,,,,,,,,,,,,,,,,,,0.000127257,0.000880518,0.000930039,0.00065264,0.000599563,0.000468958,0.000460483,0.000476882,0.000585222,0.000724905,0.000647031,0.000539745,0.001116325,0.001099813,0.000911846,0.000932411,0.00100392,0.001096755,0.001198174
Mongolia,6.25947E-05,6.25947E-05,6.25962E-06,7.51148E-06,5.00746E-06,7.51148E-06,5.00746E-06,6.25962E-06,7.51148E-06,7.51148E-06,,,,,,,,,,,,,,,,,,,,0.057607186,0.052220973,0.05850804,0.110729562,0.145635856,0.172545193,0.158922877,0.300548339,0.676011136,0.932992311,1.490963727,1.737448943,2.031227627,2.891962008,4.085114068,5.883345448,6.968057825,6.560959153,6.065342473,5.081027497,5.467196784,3.266759859,3.09048293,2.400389034
Taiwan_Province of China,15.69907632,15.71218659,18.47230582,21.49713943,22.42871379,22.34247986,27.41778614,29.18695527,29.71944632,28.76487889,30.02442962,25.76990243,22.41460495,23.43238719,23.38423562,21.31113067,19.52760575,20.29173159,22.42465547,23.47900466,22.56611749,18.85121872,17.27836055,17.539863,18.2832664,20.14759053,20.29167993,19.98100688,20.78816934,21.11911614,20.22062729,21.98840161,23.43204468,24.12673146,25.25649977,22.80639081,21.19591854,20.55254122,18.70404169,19.58242907,17.84629816,17.28504708,19.85553171,18.45640073,21.95202581,21.74179655,21.50332341,20.61715445,20.37131451,20.01148825,17.03936667,16.7943132,15.99829821
Burundi,4.33224E-05,4.33224E-05,4.90022E-05,3.60835E-05,4.34895E-05,3.97586E-05,3.98143E-05,8.96518E-06,3.90904E-05,4.62737E-05,6.05846E-05,5.53323E-05,2.88411E-05,4.08226E-05,4.22995E-05,4.00017E-05,8.90065E-05,0.000129862,0.000190919,0.000183495,8.7812E-05,0.000123208,6.12403E-05,6.55122E-05,6.47572E-05,6.10035E-05,6.07548E-05,5.63992E-05,5.4373E-05,5.24379E-05,6.77627E-05,5.23066E-05,6.24798E-05,5.91064E-05,7.70787E-05,7.45006E-05,7.96622E-05,6.3252E-05,6.3252E-05,4.7439E-05,4.7439E-05,4.99358E-05,4.99358E-05,4.99358E-05,3.32905E-05,4.99358E-05,4.99358E-05,5.65939E-05,5.99229E-05,5.99229E-05,6.01079E-05,6.01079E-05,6.21423E-05
Comoros,1.85668E-05,1.85668E-05,2.1001E-05,1.54643E-05,1.86383E-05,1.70394E-05,1.70633E-05,3.84222E-06,1.6753E-05,1.98316E-05,2.59648E-05,2.07496E-05,1.23605E-05,1.53085E-05,1.26899E-05,1.20005E-05,1.43771E-05,4.27305E-05,3.97623E-05,3.31306E-05,1.7946E-05,2.11867E-05,1.1497E-05,1.08081E-05,1.02668E-05,1.00571E-05,9.62603E-06,8.9417E-06,4.87574E-05,4.83895E-05,6.46995E-05,4.95577E-05,5.46527E-05,5.63927E-05,7.27791E-05,7.23494E-05,7.56589E-05,6.3252E-05,6.3252E-05,4.7439E-05,4.7439E-05,4.99358E-05,4.99358E-05,4.99358E-05,3.32905E-05,4.99358E-05,4.99358E-05,5.65939E-05,5.99229E-05,5.99229E-05,6.01079E-05,6.01079E-05,6.21423E-05
Djibouti,0.000618892,0.000618892,0.000700032,0.000515478,0.000621278,0.00056798,0.000568776,0.000128074,0.000558434,0.000661053,0.000865494,0.000553323,0.000329612,0.000306169,0.000211498,0.000200008,0.000395627,0.000555271,0.000506067,0.000973356,0.000455331,0.000557778,0.000305726,0.000289862,0.000282922,0.000274865,0.000263084,0.000246407,7.6596E-05,6.84592E-05,7.51793E-05,6.41087E-05,0.000104358,0.000104687,0.000117471,0.000114246,0.000119152,6.3252E-05,6.3252E-05,4.7439E-05,4.7439E-05,4.99358E-05,4.99358E-05,4.99358E-05,3.32905E-05,4.99358E-05,4.99358E-05,5.65939E-05,5.99229E-05,5.99229E-05,6.01079E-05,6.01079E-05,6.21423E-05
Eritrea,0.106202689,0.106202689,0.09417222,0.09755273,0.08980095,0.082779552,0.08847244,0.087034647,0.092919428,0.0963539,0.094634248,0.107836217,0.112457228,0.117448199,0.113441886,0.112794373,0.117531092,0.128514409,0.112388931,0.114042491,0.113526886,0.113748738,0.182322403,0.161268088,0.197479924,0.166694847,0.17882205,0.107431645,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,0.07366064,0.07366064,0.065313576,0.067657242,0.062277247,0.057411204,0.061357359,0.060360373,0.064440694,0.066823061,0.065630536,0.074784975,0.077990488,0.081453625,0.078674489,0.078226622,0.081507177,0.089125301,0.077943706,0.079091462,0.078731331,0.078880425,0.126179998,0.177542976,0.189648922,0.18826161,0.191392282,0.09679225,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,0.675685999,0.675685999,0.666522966,0.699427714,0.746928929,0.745493796,0.677243642,0.676465793,0.679468661,0.718672728,0.80001005,0.712532865,0.597219621,0.523078787,0.531307113,0.522600128,0.535277945,0.588088909,0.561781243,0.594004975,0.607145595,0.566989909,0.613049228,0.577379421,0.544281367,0.482644413,0.46292563,0.435905706,0.457829896,0.451425941,0.534472603,0.44945821,0.416821497,0.392698601,0.451810481,0.433931604,0.432826661,0.436552862,0.41689887,0.420329902,0.419834708,0.456475201,0.260351617,0.164097988,,,,,,,,,
Madagascar,0.138262566,0.138262566,0.167974031,0.172169855,0.160907253,0.206013751,0.146168129,0.123163328,0.103623245,0.094464047,0.133495028,0.095885821,0.093555156,0.057018086,0.025529125,0.077950797,0.05468796,0.07776556,0.096399455,0.051090139,0.043408207,0.048961305,0.048990123,0.051671099,0.064375496,0.066177378,0.070055583,0.084861745,0.08215326,0.102944332,0.115072105,0.081485604,0.043643594,0.101206674,0.073380678,,,,,,,,,,,,,0.000149109,,,,,
Reunion,0.000266123,0.000266123,0.000301014,0.000221656,0.00026715,0.000244231,0.000244574,5.50718E-05,0.000240127,0.000284253,0.000372162,0.000297411,0.000193647,0.000275552,0.000253797,0.00023601,0.000501658,0.000773279,0.000845086,0.000748735,0.000363707,0.000518617,0.000294403,0.000345707,0.000341023,0.000329343,0.000315227,0.000292608,9.19555E-05,7.95323E-05,9.3648E-05,8.99628E-05,0.000196064,0.000193852,0.000221668,0.000212928,0.000226787,6.3252E-05,6.3252E-05,4.7439E-05,4.7439E-05,,,,,,,,,,,,
