COUNTRY,mean,std,n
afghanistan,-29.11166667,2.106631593,6
angola,-37.30875,2.946840621,8
argentina,-37.58214286,6.364778869,28
australia,-40.14721696,4.095780402,401
austria,-49.03428571,13.17401504,35
azerbaijan,-46.11548387,6.011046963,31
bangladesh,-42.80294118,3.337707914,34
barbados,-45.15235294,2.829687548,17
brazil,-41.51761062,6.179081687,113
canada,-54.62226506,11.39741772,415
china,-41.54212398,11.74303009,984
colombia,-49.00551923,10.52483215,52
denmark,-35.87636364,4.317314611,11
egypt,-50.17963366,7.837138357,101
france,-44.2521875,4.411679833,64
germany,-39.73844037,14.64781761,218
hungary,-37.68383234,7.174136255,167
india,-46.50686441,9.014598862,118
indonesia,-45.39818182,11.98452534,55
iran,-39.36782609,3.515407534,138
israel,-51.655,0.302158899,4
italy,-56.64347826,15.01285351,207
japan,-46.64588235,11.89055801,85
kazakhstan,-52.21842105,12.67926721,114
kuwait,-50.16666667,1.357694124,3
lithuania,-49.36,0.976217189,5
mauritania,-65,,1
mexico,-55.01375,11.42772099,24
mozambique,-40.09189189,2.23574228,37
namibia,-37.16666667,0.488535226,6
netherlands,-32.79168279,5.276666771,122
new zealand,-41.605,3.001533796,40
nigeria,-43.1,3.810732452,45
norway,-42.02290909,4.100936511,55
oman,-39.2,1.285496013,9
pakistan,-39.50933333,6.109811158,15
poland,-44.90488095,9.706349492,84
romania,-48.31867133,9.777816891,143
russia,-45.27350706,9.065750944,921
saudi arabia,-41.046,8.80747331,54
taiwan,-41.94137931,8.223906838,58
thailand,-40.63333333,4.22864627,24
the netherlands,-34.46090909,4.023601507,11
trinidad,-50.63130435,9.20190309,46
tunisia,-43.925,0.176776695,2
turkey,-39.72,8.032936476,39
ukraine,-43.7484375,4.99000104,32
united kingdom,-40.07708571,3.810549794,175
united states,-43.19914022,7.868219076,2111
uzbekistan,-35.0875,6.816877689,8
venezuela,-50.32363636,1.254203115,11
