Year,dD ONG,d13C ONG
1970,-180.7869429,-42.16136801
1971,-180.7869429,-42.16136801
1972,-180.7869429,-42.16136801
1973,-180.7869429,-42.16136801
1974,-180.7869429,-42.16136801
1975,-180.7869429,-42.16136801
1976,-180.7869429,-42.16136801
1977,-180.7869429,-42.16136801
1978,-180.7869429,-42.16136801
1979,-180.7869429,-42.16136801
1980,-180.7869429,-42.16136801
1981,-180.7869429,-42.16136801
1982,-180.7869429,-42.16136801
1983,-180.7869429,-42.16136801
1984,-180.7869429,-42.16136801
1985,-180.7869429,-42.16136801
1986,-180.7869429,-42.16136801
1987,-180.7869429,-42.16136801
1988,-180.7869429,-42.16136801
1989,-180.7869429,-42.16136801
1990,-180.7869429,-42.16136801
1991,-180.7869429,-42.16136801
1992,-180.7869429,-42.16136801
1993,-180.7869429,-42.16136801
1994,-180.7869429,-42.16136801
1995,-180.7869429,-42.16136801
1996,-180.7869429,-42.16136801
1997,-180.7869429,-42.16136801
1998,-180.7869429,-42.16136801
1999,-180.7869429,-42.16136801
2000,-180.7869429,-42.16136801
2001,-180.7869429,-42.16136801
2002,-180.7869429,-42.16136801
2003,-180.7869429,-42.16136801
2004,-180.7869429,-42.16136801
2005,-180.7869429,-42.16136801
2006,-180.7869429,-42.16136801
2007,-180.7869429,-42.16136801
2008,-179.7730543,-42.38903582
2009,-178.8715039,-42.48106261
2010,-177.2938395,-42.38896753
2011,-176.6299533,-42.06481653
2012,-178.7960511,-41.84387002
2013,-182.0243981,-41.61379089
2014,-184.7367967,-41.34515078
2015,-186.7120912,-41.15758954
2016,-187.7632586,-40.91766966
2017,-187.2952699,-40.73684032
2018,-186.1212213,-40.53690876
2019,-184.7478294,-40.43181693
2020,-183.880105,-40.28415756
2021,-183.2721523,-40.24766346
2022,-181.1862208,-40.32237606
2023,-179.8646805,-40.45782698
2024,-179.8545919,-40.58176301
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
