year    FF        Mic        Pyro        total        
1997    149.664    393.065    43.905    586.633    
1998    146.784    429.420    32.461    608.665    
1999    145.012    394.659    26.274    565.945    
2000    147.486    387.483    23.647    558.616    
2001    148.718    390.929    23.850    563.498    
2002    140.000    398.087    31.190    569.277    
2003    145.937    400.493    27.851    574.281    
2004    129.996    396.828    28.688    555.512    
2005    133.674    408.970    28.396    571.040    
2006    138.810    400.396    32.529    571.735    
2007    144.162    423.084    27.608    594.855    
2008    154.795    403.479    25.003    583.276    
2009    148.500    401.246    28.942    578.688    
2010    148.851    426.597    27.587    603.035    
2011    145.824    417.669    25.756    589.249    
2012    149.154    416.275    28.155    593.584    
2013    140.259    428.023    25.144    593.425    
2014    151.515    435.837    30.170    617.522    
2015    138.755    440.514    34.774    614.044    
2016    137.776    463.216    26.091    627.083    
2017    148.318    448.184    25.910    622.412    
2018    149.478    455.621    26.110    631.209    
2019    133.491    458.064    32.813    624.368    
2020    136.621    487.329    26.567    650.518    
2021    134.820    501.980    29.856    666.655    
2022    130.114    489.586    29.282    648.982    
2023    130.114    489.586    29.282    648.982    
