COUNTRY,mean,std,n
australia,-217.8190476,36.37230135,168
botswana,-221.7285366,11.45585387,41
brazil,-200.05375,2.102895538,8
canada,-335.9230769,37.74136002,13
china,-185.8181818,5.862050526,11
germany,-197,19.3993127,13
india,-211.2222222,3.80058475,9
indonesia,-205.3333333,21.57158625,3
japan,-275.2380952,53.1938951,21
new zealand,-215.4727273,13.05833764,11
poland,-188.4159322,34.35370825,118
russia,,,0
slovenia,,,0
south africa,-204.2,6.379655163,5
turkey,,,0
united kingdom,-211.8947368,32.5130653,19
united states,-242.3822951,55.34948308,305
venezuela,,,0
