alt_01D0_x_interp,alt_01D0_smoothed_curve,altMPI_01D0_x_interp,altMPI_01D0_smoothed_curve,asc_01D0_x_interp,asc_01D0_smoothed_curve,ato_01D0_x_interp,ato_01D0_smoothed_curve,azr_01D0_x_interp,azr_01D0_smoothed_curve,bal_01D0_x_interp,bal_01D0_smoothed_curve,bikMPI_01D0_x_interp,bikMPI_01D0_smoothed_curve,brw_01D0_x_interp,brw_01D0_smoothed_curve,brwIMAU_01D0_x_interp,brwIMAU_01D0_smoothed_curve,bsc_01D0_x_interp,bsc_01D0_smoothed_curve,cba_01D0_x_interp,cba_01D0_smoothed_curve,cgo_01D0_x_interp,cgo_01D0_smoothed_curve,cgoIMAU_01D0_x_interp,cgoIMAU_01D0_smoothed_curve,cvoMPI_01D0_x_interp,cvoMPI_01D0_smoothed_curve,eom_01D0_x_interp,eom_01D0_smoothed_curve,gvnMPI_01D0_x_interp,gvnMPI_01D0_smoothed_curve,gvnIMAU_01D0_x_interp,gvnIMAU_01D0_smoothed_curve,jfjMPI_01D0_x_interp,jfjMPI_01D0_smoothed_curve,kjnMPI_01D0_x_interp,kjnMPI_01D0_smoothed_curve,kum_01D0_x_interp,kum_01D0_smoothed_curve,lef_01D0_x_interp,lef_01D0_smoothed_curve,mhd_01D0_x_interp,mhd_01D0_smoothed_curve,mlo_01D0_x_interp,mlo_01D0_smoothed_curve,mloIMAU_01D0_x_interp,mloIMAU_01D0_smoothed_curve,namMPI_01D0_x_interp,namMPI_01D0_smoothed_curve,nyaNIPR_01D0_x_interp,nyaNIPR_01D0_smoothed_curve,oxkMPI_01D0_x_interp,oxkMPI_01D0_smoothed_curve,sisMPI_01D0_x_interp,sisMPI_01D0_smoothed_curve,smo_01D0_x_interp,smo_01D0_smoothed_curve,smoIMAU_01D0_x_interp,smoIMAU_01D0_smoothed_curve,spo_01D0_x_interp,spo_01D0_smoothed_curve,syoNIPR_01D0_x_interp,syoNIPR_01D0_smoothed_curve,vrsMPI_01D0_x_interp,vrsMPI_01D0_smoothed_curve,zep_01D0_x_interp,zep_01D0_smoothed_curve,zepIMAU_01D0_x_interp,zepIMAU_01D0_smoothed_curve,zotMPI_01D0_x_interp,zotMPI_01D0_smoothed_curve
2005.300462329,-82.0684566332444,2011.050994,-85.9999275576754,2005.316086377,-70.23121954740743,2021.690282,-79.41104429462752,2005.111472603,-80.98046560438608,2004.822518215,-95.73958868419307,2012.5397,-86.9228914796923,2005.249221842,-85.47426874949208,2022.208219,-96.61367725605021,2005.198021309,-92.51983511196585,2005.342104262,-82.42677016098033,2005.27408105,-65.94385752855868,2023.084932,-77.68810838581336,2011.075634,-83.1932971132543,2006.938552,-73.4036786376003,2018.001598,-71.65871212509461,1988.56011,-81.32261048910198,2012.646761,-73.28098409076874,2014.762207,-87.79166592271355,2005.333774734,-80.19186024456538,2005.281495434,-84.2327118056091,2005.201141553,-85.69462782888735,2005.262595129,-77.29159621490241,2022.756164,-86.24622087791047,2013.212185,-68.52760193018152,2005.66106,-82.24216715876297,2012.716975,-90.87548012121475,2010.94781,-87.407380296064,2005.257460046,-68.92617498564302,2022.10411,-77.64550332888723,2005.112749239,-64.59554779004273,1995.17156,-75.16148917805201,2020.066736,-88.85989469846797,2008.312259032,-83.37950385314964,2012.71311,-86.96513126258614,2010.136152,-90.19910751334679
2005.319431126,-81.70428449245549,2011.173969,-85.99448293031715,2005.354452055,-70.42539839520539,2021.709447,-80.51955267518693,2005.245719178,-82.82657015178857,2005.474077245,-80.51230576873517,2012.580768,-87.31159506326036,2005.26293379,-85.22198533642306,2022.208219,-96.61367725605021,2005.217380137,-91.17516304478612,2005.349969559,-82.48321964847356,2005.397264079,-70.31521481247395,2023.09863,-77.74520746131532,2011.08516,-83.11072947402499,2006.938636,-73.40253218265043,2018.036734,-70.93933905803645,1992.11749,-78.0829586463553,2012.68355,-73.22109652812816,2014.781372,-87.99253349887734,2005.429539574,-79.64586923271769,2005.338928843,-83.70327966247682,2005.220766743,-85.630220507031,2005.339288432,-76.64167211213746,2022.756164,-86.24622087791047,2013.214009,-68.54723545963719,2005.6834,-82.75566116973147,2012.736254,-91.09571299980507,2010.961614,-87.3948125523331,2005.301160578,-69.22199559868001,2022.10411,-77.64550332888723,2005.125827626,-64.91521472047232,1995.27555,-76.88532315245249,2020.173512,-87.61180769564338,2008.331367638,-83.00280247763725,2012.73224,-87.24396478497495,2010.144365,-89.95924544725585
2005.377049087,-80.94326644595753,2011.215265,-85.68717305477546,2005.379394977,-70.39267244005161,2021.728612,-81.62806105575949,2005.264726027,-82.20657528763954,2005.501263318,-80.70912101646326,2012.595655,-87.4524986925726,2005.306078767,-84.45939150985774,2022.219178,-96.60823784529062,2005.236558219,-89.84304566827481,2005.361101598,-82.56311464751721,2005.413751903,-70.7919665803195,2023.09863,-77.74520746131532,2011.093373,-83.03954240484867,2006.938716,-73.40144032079327,2018.098507,-69.80091442396231,1992.61202,-80.12819628756012,2013.339266,-81.51939065630343,2014.816736,-88.28930169232699,2005.467897641,-78.09474757427749,2005.358150685,-83.71957879048297,2005.379252283,-80.34469424530988,2005.358439878,-76.62083107507698,2023.309589,-84.97464868342631,2013.214694,-68.55460879717944,2005.72408,-83.73178366869331,2013.353754,-87.98390475554895,2010.980779,-87.34534194055475,2005.320576484,-69.40825051233033,2022.556164,-78.79305705133889,2005.131337519,-65.04988962971741,1995.35775,-78.19115819400068,2020.192677,-87.58738697280656,2008.388807301,-82.13197325024954,2012.74044,-87.32425379848927,2010.152693,-89.71602478655177
2005.396636225,-80.72786620526703,2011.248005,-85.60367022572746,2005.392893836,-70.34599559979452,2021.747777,-82.7365694363189,2005.28390411,-81.58099484744224,2005.512214612,-80.81896621096202,2013.080768,-88.76212383924468,2005.325268265,-84.23109226191052,2022.219178,-96.60823784529062,2005.25553653,-88.64931484320886,2005.426982496,-82.50394238521842,2005.565036149,-70.32130541437697,2023.136986,-78.0365067546088,2011.112424,-82.84342546469361,2006.938796,-73.40034845893922,2018.131703,-69.56532424440144,1992.84426,-79.34798421242252,2013.452715,-80.8014795911182,2014.837213,-88.41037765101274,2005.492631279,-76.99743294931186,2005.377355403,-83.85148925989293,2005.414973364,-78.89993398832547,2005.377635084,-76.64938608151873,2023.309589,-84.97464868342631,2013.215151,-68.55952794354097,2005.74099,-84.13604694942258,2013.372805,-87.6664510995474,2011.023387,-87.03948597281722,2005.375302511,-69.93811336235082,2022.556164,-78.79305705133889,2005.150401446,-65.51585741504337,1995.4509,-79.34597875757505,2020.211842,-87.57893671941784,2008.407881755,-81.96166613466437,2012.75137,-87.4309647391888,2010.178645,-88.96375095909008
2005.418173516,-80.44651626487224,2011.284452,-85.59413937790828,2005.398401826,-70.32144359883418,2021.768139,-83.53588484725711,2005.59086758,-78.7782942385148,2005.53293379,-81.13126881832834,2013.109344,-89.6824370166083,2005.382802511,-83.5421142625123,2022.542466,-91.12255467956605,2005.274733638,-87.60736307048836,2005.475974125,-81.88500795974667,2005.73716895,-69.67064767226192,2023.20274,-78.53292945318124,2011.126113,-82.6881731647034,2006.938876,-73.39925659708206,2018.158853,-69.64038346128632,1993.4411,-76.29699732896793,2013.491045,-80.2744192356403,2014.856492,-88.39839193268018,2005.50917618,-76.31331953462933,2005.415664003,-84.24614487452763,2005.727283105,-86.36194839915008,2005.377657915,-76.64943002733851,2023.331507,-84.66312573021911,2013.259469,-68.98011934080638,2005.77937,-84.95896822014906,2013.467204,-85.420428400443,2011.039471,-86.8608758268419,2005.391590563,-70.08653702278693,2022.589041,-79.01779374981312,2005.161898782,-65.56296353828846,1995.5961,-80.22309127990833,2020.231007,-87.57985839269797,2008.446142608,-81.76652509669685,2012.75956,-87.47585848346854,2010.518025,-87.52124737473251
2005.434453957,-80.18531662522965,2011.323011,-85.45603285554402,2005.455802892,-70.21974835786312,2021.787304,-82.77729073841711,2005.610045662,-79.46183140105146,2005.534141933,-81.14969691941644,2013.181726,-89.74015042239746,2005.383390411,-83.53503043892239,2022.542466,-91.12255467956605,2005.293997336,-86.56179702584191,2005.484415906,-81.7638854966549,2005.819075342,-66.89417032719594,2023.20274,-78.53292945318124,2011.265402,-81.24022616230808,2006.938956,-73.3981647352249,2018.189711,-69.99230650012417,1993.57808,-77.6433747888409,2013.530573,-79.91319582987845,2014.876228,-88.37359948836551,2005.525684932,-75.6324138917212,2005.451223364,-84.72604619964463,2005.760711568,-86.62142676118677,2005.396835997,-76.67606691259601,2023.331507,-84.66312573021911,2013.259698,-68.98183043564197,2005.79856,-85.27442028184343,2013.48614,-85.04764671710531,2011.061374,-86.57929458420723,2005.43239726,-70.32530824460628,2022.608219,-79.10385736333302,2005.161908295,-65.56298989112256,1995.78252,-79.95540078349069,2020.306127,-87.30513249753872,2008.465372647,-81.64651336079703,2012.77049,-87.53521561103146,2010.523501,-87.78534768857688
2005.472792998,-79.34047273221144,2011.36231,-84.89065580175534,2005.475028539,-70.31622180319158,2021.806469,-82.0186966295681,2005.667579909,-81.1868983847234,2005.549391172,-81.44670322221323,2013.195415,-89.43295324874147,2005.402214612,-83.30821070920724,2022.542466,-91.12255467956605,2005.313099315,-86.57313025349404,2005.497888128,-81.57058639165062,2005.841219559,-66.89215240143626,2023.20274,-78.53292945318124,2011.270991,-81.20402361735668,2006.939034,-73.39710016991408,2018.214694,-70.4111660402249,1993.65205,-78.11586422451587,2013.569017,-79.6544483664062,2014.894936,-88.25501800117925,2005.547408676,-75.02180206483428,2005.473251522,-85.10885691055077,2005.773820396,-86.56287516288725,2005.454349315,-76.27519658729922,2023.389041,-84.85887911886512,2013.297343,-69.20988335707187,2005.81783,-85.4963668329013,2013.506503,-84.80191418013699,2011.077687,-86.36075590221823,2005.531035008,-70.15121795458796,2022.608219,-79.10385736333302,2005.17005898,-65.58556885116077,1995.85101,-79.70624246554678,2020.325292,-87.14365753829111,2008.485048573,-81.52371891224303,2012.77869,-87.55189964027366,2010.534224,-88.28242067798826
2005.511130137,-78.46881027657318,2011.47884,-81.34029315320957,2005.507876712,-70.64056465314026,2021.825634,-81.26010252072808,2005.686748478,-81.66264163843493,2005.55761796,-81.61707432692279,2013.236483,-88.60746142183295,2005.459509132,-82.89757388283927,2022.542466,-91.12255467956605,2005.33238204,-86.75530119245224,2005.514197108,-81.39112090040314,2005.860197869,-66.89042297381077,2023.20274,-78.53292945318124,2011.281829,-81.14016571306595,2006.93911,-73.39606290114963,2018.239449,-70.85879594313549,1994.2274,-73.75946858345414,2013.605579,-79.36367425481576,2014.914215,-88.12700559782317,2005.563839422,-74.55996602809083,2005.527968037,-86.46561513444837,2005.801027397,-86.44135298001225,2005.492695967,-75.34751574073151,2023.389041,-84.85887911886512,2013.31685,-69.30912978045487,2005.83947,-85.60530178004444,2013.525554,-84.72084252920682,2011.09554,-86.13540251165146,2005.545038052,-70.10686861112409,2022.610959,-79.10555251227866,2005.189307458,-65.63889082539522,1995.94142,-78.07780899407416,2020.345312,-86.94603671077537,2008.599233455,-80.2929993423414,2012.79781,-87.57077605046273,2010.544833,-88.73408554725819
2005.588078387,-78.76486398063606,2011.520877,-80.90833481338088,2005.565391933,-71.36082612616124,2021.843259,-80.72254573284538,2005.725095129,-82.29477117030602,2005.568517884,-81.87798613694063,2013.250172,-88.50676258826194,2005.459952435,-82.90233752234064,2022.561644,-90.73840741648092,2005.351560122,-87.1512159632168,2005.717161339,-85.30020654867864,2005.9343379,-68.15986917485779,2023.20274,-78.53292945318124,2011.290042,-81.0927986293396,2006.939186,-73.39502563238517,2018.262093,-71.23223201597754,1994.51507,-76.496602172537,2013.644023,-79.04668275278424,2014.954199,-87.85004655942959,2005.698200152,-76.10343314641754,2005.569151446,-88.05501550264707,2005.908694825,-87.6627430097923,2005.511879756,-74.6751656035722,2023.408219,-85.23123965567662,2013.337213,-69.41637382232864,2005.85591,-85.58993213087508,2013.563884,-84.92387995395472,2011.111739,-85.95289628510697,2005.545078006,-70.10674207194691,2022.610959,-79.10555251227866,2005.200372907,-65.45665371098069,1996.09185,-75.67572812273137,2020.34554,-86.94343944339052,2008.618463494,-80.24590387122848,2012.80874,-87.5666038330636,2010.552818,-89.07178409780514
2005.626259513,-80.35001422944316,2011.556355,-81.3229677423847,2005.571033105,-71.4043492503956,2021.862424,-80.57366358977889,2005.782648402,-82.91384158515709,2005.598671994,-82.73266701430474,2013.2897,-88.25552051934272,2005.487579909,-83.19921646616974,2022.561644,-90.73840741648092,2005.370633562,-88.06361806623319,2005.725190259,-85.43621956230918,2005.948445586,-68.2727011475769,2023.224658,-78.46092374630209,2011.301108,-81.02880625700465,2006.939268,-73.39390647398166,2018.286619,-71.55486645703428,1996.11749,-72.80439589914378,2013.680813,-78.80914380361881,2014.969827,-87.8052393339693,2005.736480213,-77.35090360082381,2005.588293379,-88.83845042212977,2005.913508371,-87.74232950631084,2005.550192161,-73.38342456410291,2023.408219,-85.23123965567662,2013.356606,-69.53701808785046,2005.87505,-85.46744267480277,2013.583505,-85.24049340246772,2011.136494,-85.72386377917108,2005.586491629,-70.00493986827527,2022.641096,-79.12419729467733,2005.247399163,-64.67149885149276,1996.61906,-78.25396078779436,2020.345883,-86.93953215079225,2008.665253112,-81.0762941009681,2012.82787,-87.53683754677823,2010.561146,-89.34392266997666
