# x_interp smoothed_curve trend
2005.316086 -70.231220 -69.404983
2005.354452 -70.425398 -69.426129
2005.379395 -70.392672 -69.439591
2005.392894 -70.345996 -69.446770
2005.398402 -70.321444 -69.449638
2005.455803 -70.219748 -69.478487
2005.475029 -70.316222 -69.487528
2005.507877 -70.640565 -69.502159
2005.565392 -71.360826 -69.524780
2005.571033 -71.404349 -69.526720
2005.584570 -71.508790 -69.531375
2005.685959 -70.855211 -69.557392
2005.700000 -70.670594 -69.559626
2005.705422 -70.599298 -69.560488
2005.718836 -70.438954 -69.562298
2005.724344 -70.377254 -69.562957
2005.738014 -70.231537 -69.564484
2005.765382 -70.010302 -69.566462
2005.822945 -69.649383 -69.566826
2005.839384 -69.521848 -69.566042
2005.891400 -68.935223 -69.560856
2005.948973 -68.184021 -69.550963
2005.968864 -67.995288 -69.546635
2005.974258 -67.952057 -69.545402
2006.006678 -67.798162 -69.537380
2006.012728 -67.799076 -69.535719
2006.026208 -67.801111 -69.532020
2006.044863 -67.843874 -69.526648
2006.064003 -67.916403 -69.520918
2006.069521 -67.942655 -69.519217
2006.088670 -68.040167 -69.513218
2006.184561 -68.704123 -69.481465
2006.222926 -69.108401 -69.468709
2006.236615 -69.262414 -69.464257
2006.261282 -69.526190 -69.456413
2006.280479 -69.698406 -69.450499
2006.299715 -69.809530 -69.444815
2006.313508 -69.833357 -69.440938
2006.357211 -69.694200 -69.429568
2006.370871 -69.586722 -69.426387
2006.376370 -69.543454 -69.425107
2006.390040 -69.424839 -69.422285
2006.409646 -69.276424 -69.418489
2006.437139 -69.169495 -69.413972
2006.450314 -69.160102 -69.412047
2006.456307 -69.198136 -69.411372
2006.485978 -69.462576 -69.408425
2006.491497 -69.535641 -69.408000
2006.505023 -69.740564 -69.407159
2006.513375 -69.891339 -69.406828
2006.529680 -70.193637 -69.406391
2006.543341 -70.460467 -69.406378
2006.549049 -70.571769 -69.406377
2006.568008 -70.900736 -69.407120
2006.581735 -71.097122 -69.407994
2006.587291 -71.164902 -69.408442
2006.600885 -71.313391 -69.409648
2006.606592 -71.345010 -69.410349
2006.620063 -71.419632 -69.412003
2006.626484 -71.432354 -69.412944
2006.639241 -71.420878 -69.415058
2006.683257 -71.184260 -69.424385
2006.702997 -71.023086 -69.429646
2006.715982 -70.914934 -69.433500
2006.721423 -70.869614 -69.435115
2006.740592 -70.729035 -69.441639
2006.754680 -70.633951 -69.446806
2006.774001 -70.510371 -69.454364
2006.798259 -70.346073 -69.464852
2006.812119 -70.228927 -69.471368
2006.817437 -70.183982 -69.473868
2006.831364 -70.028881 -69.480884
2006.839640 -69.931222 -69.485123
2006.850200 -69.785795 -69.490751
2006.855679 -69.699792 -69.493783
2006.869492 -69.482994 -69.501426
2006.877939 -69.323410 -69.506440
2006.888908 -69.116123 -69.512951
2006.908067 -68.734693 -69.524869
2006.913194 -68.630651 -69.528114
2006.926998 -68.358924 -69.537162
2007.003634 -67.315194 -69.592458
2007.022803 -67.232824 -69.607550
2007.028339 -67.228319 -69.612041
2007.080337 -67.356743 -69.655827
2007.085816 -67.385073 -69.660609
2007.099524 -67.467948 -69.672803
2007.118893 -67.600330 -69.690334
2007.124543 -67.645030 -69.695579
2007.143493 -67.799242 -69.713239
2007.201617 -68.448561 -69.769788
2007.259285 -69.317150 -69.828729
2007.277683 -69.589108 -69.848077
2007.387186 -70.517122 -69.967018
2007.392694 -70.552243 -69.973150
2007.431421 -70.873598 -70.016376
2007.463965 -71.353879 -70.052881
2007.617399 -73.240045 -70.222914
2007.622803 -73.170205 -70.228709
2007.737871 -70.818957 -70.345953
2007.757040 -70.555268 -70.364024
2007.790249 -70.306624 -70.393744
2007.795396 -70.282239 -70.398189
2007.828510 -70.150641 -70.425774
2007.833752 -70.128623 -70.429929
2007.872137 -69.898333 -70.458485
2007.885930 -69.776868 -70.467986
2008.020036 -68.205602 -70.532554
2008.025472 -68.161860 -70.534101
2008.077385 -67.942788 -70.542340
2008.082849 -67.941735 -70.542418
2008.096653 -67.941381 -70.542530
2008.121110 -67.997161 -70.540837
2008.153935 -68.203083 -70.534726
2008.173061 -68.411305 -70.528860
2008.181239 -68.521251 -70.525805
2008.192234 -68.688097 -70.521198
2008.197746 -68.771737 -70.518889
2008.211293 -69.012390 -70.512025
2008.216739 -69.113613 -70.509114
2008.268841 -70.127915 -70.473906
2008.274135 -70.228659 -70.469808
2008.293251 -70.523643 -70.452761
2008.326180 -70.862275 -70.419668
2008.331512 -70.879475 -70.413547
2008.364498 -70.905450 -70.373713
2008.369725 -70.895247 -70.367051
2008.403233 -70.756920 -70.319959
2008.408698 -70.736196 -70.311611
2008.421847 -70.686330 -70.291524
2008.427624 -70.682314 -70.282109
2008.436248 -70.682525 -70.267854
2008.441655 -70.682658 -70.258914
2008.460667 -70.756950 -70.225870
2008.468608 -70.801983 -70.211763
2008.479129 -70.900264 -70.192235
2008.485200 -70.968785 -70.180710
2008.498349 -71.122459 -70.155581
2008.504241 -71.210549 -70.143698
2008.555641 -71.959714 -70.035064
2008.561048 -72.024407 -70.022937
2008.574700 -72.163540 -69.991914
2008.580136 -72.194144 -69.979144
2008.599262 -72.272967 -69.933842
2008.612990 -72.243874 -69.900213
2008.618397 -72.232413 -69.886966
