# x_interp smoothed_curve trend
2021.690282 -79.411044 -100.452420
2021.709447 -80.519553 -100.575077
2021.728612 -81.628061 -100.697734
2021.747777 -82.736569 -100.820391
2021.768139 -83.535885 -100.950654
2021.787304 -82.777291 -101.073038
2021.806469 -82.018697 -101.195423
2021.825634 -81.260103 -101.317807
2021.843259 -80.722546 -101.430276
2021.862424 -80.573664 -101.552347
2021.881589 -80.424781 -101.674418
2021.900754 -80.275899 -101.796489
2022.090179 -81.378888 -102.996293
2022.147674 -92.638664 -103.357970
2022.459104 -95.427126 -105.284406
2022.786962 -88.702679 -107.231073
2022.789015 -88.609710 -107.242994
2022.956366 -85.279831 -108.196784
2022.975531 -85.208093 -108.303906
2023.012321 -85.070380 -108.509541
2023.087441 -85.283446 -108.924327
