# x_interp smoothed_curve trend
2005.111473 -80.980466 -81.092705
2005.245719 -82.826570 -81.023470
2005.264726 -82.206575 -81.020385
2005.283904 -81.580995 -81.017272
2005.590868 -78.778294 -81.128710
2005.610046 -79.461831 -81.143282
2005.667580 -81.186898 -81.188369
2005.686748 -81.662642 -81.203807
2005.725095 -82.294771 -81.234279
2005.782648 -82.913842 -81.278363
2005.801826 -83.155306 -81.291786
2005.821005 -83.396770 -81.305209
2005.840183 -83.569828 -81.317803
2005.859361 -83.569351 -81.328294
2006.377055 -80.682645 -81.032402
2006.390839 -80.291829 -81.005573
2006.415411 -79.595157 -80.957748
2006.453767 -78.594165 -80.876337
2006.472945 -78.111349 -80.834251
2006.492123 -77.628532 -80.792164
2006.547013 -77.607071 -80.661720
2006.566201 -77.840039 -80.615245
2006.588014 -78.472625 -80.561078
2006.607192 -79.028794 -80.513454
2006.626455 -79.580701 -80.465558
2006.722260 -81.550136 -80.227619
2006.741438 -81.725987 -80.180808
2006.760731 -81.899543 -80.134540
2006.779909 -82.063572 -80.090636
2006.818265 -82.391629 -80.002827
2006.873059 -82.477999 -79.889556
2006.914155 -81.615002 -79.813510
2006.933333 -80.998054 -79.779999
2006.990868 -78.704139 -79.693625
2007.010046 -77.865325 -79.667205
2007.029224 -77.465604 -79.645336
2007.045662 -77.408707 -79.629553
2007.067580 -77.332846 -79.608510
2007.086758 -77.358632 -79.591298
2007.144292 -79.136134 -79.561819
2007.163470 -79.460101 -79.558267
2007.182648 -79.675081 -79.557262
2007.221014 -79.936301 -79.557715
2007.336045 -77.872664 -79.627282
2007.393607 -77.695621 -79.692988
2007.470063 -77.881772 -79.804724
2007.489460 -78.064175 -79.837483
2007.547003 -78.930337 -79.941682
2007.566210 -79.549718 -79.979732
2007.604623 -80.788481 -80.055832
2007.700428 -82.667694 -80.254088
2007.892237 -82.364141 -80.621090
2007.911406 -81.932408 -80.651423
2008.239375 -82.586034 -80.859508
2008.255920 -82.440633 -80.852935
2008.274476 -82.200352 -80.842431
2008.313297 -81.420972 -80.809231
2008.332423 -81.036996 -80.792874
2008.447177 -79.068055 -80.622849
2008.466302 -78.690560 -80.589077
2008.485428 -78.407281 -80.548145
2008.504554 -78.124002 -80.507213
2008.523679 -77.840722 -80.466282
2008.542805 -77.888152 -80.420847
2008.619308 -79.133066 -80.221176
2008.638434 -79.617744 -80.166811
2008.656933 -80.086553 -80.114225
2009.001941 -77.167682 -78.888404
2009.040183 -76.500766 -78.736111
2009.193607 -80.345780 -78.113490
2009.807306 -77.453674 -75.761294
