# x_interp smoothed_curve trend
2004.822518 -95.739589 -92.363667
2005.474077 -80.512306 -86.453570
2005.501263 -80.709121 -86.343796
2005.512215 -80.818966 -86.302183
2005.532934 -81.131269 -86.232463
2005.534142 -81.149697 -86.228417
2005.549391 -81.446703 -86.182571
2005.557618 -81.617074 -86.158661
2005.568518 -81.877986 -86.129700
2005.598672 -82.732667 -86.060093
2005.668661 -85.206475 -85.955519
2005.747896 -87.552358 -85.925340
2005.752125 -87.641077 -85.925913
2005.761728 -87.831146 -85.927864
2005.790483 -88.267535 -85.941883
2005.798602 -88.370759 -85.947546
2005.819292 -88.625502 -85.964551
2005.829014 -88.741380 -85.973720
2005.838600 -88.861554 -85.983884
2005.848183 -88.986868 -85.995023
2005.856223 -89.092005 -86.004369
2005.865828 -89.233259 -86.017029
2005.896081 -89.710671 -86.060311
2005.905670 -89.870170 -86.074933
2005.915259 -90.027775 -86.090663
2005.934437 -90.335827 -86.122900
2005.944045 -90.467347 -86.140027
2005.950904 -90.561234 -86.152254
2005.960445 -90.673106 -86.169595
2005.972688 -90.778370 -86.192523
2005.978139 -90.825235 -86.202731
2006.002930 -90.894638 -86.250527
2006.009680 -90.882228 -86.263738
2006.017898 -90.840144 -86.279966
2006.030365 -90.776292 -86.304590
2006.039935 -90.670970 -86.323616
2006.049524 -90.563155 -86.342686
2006.068702 -90.290099 -86.380691
2006.075561 -90.183383 -86.394262
2006.085164 -90.022534 -86.413092
2006.135778 -89.107267 -86.509341
2006.154966 -88.762625 -86.544033
2006.174182 -88.423894 -86.577030
2006.184994 -88.231395 -86.594868
2006.212546 -87.727123 -86.637781
2006.222118 -87.544796 -86.651847
2006.248031 -87.019178 -86.686967
2006.260373 -86.753471 -86.702032
2006.269977 -86.541629 -86.713172
2006.279494 -86.330578 -86.723829
2006.289110 -86.113462 -86.733299
2006.298702 -85.896863 -86.742746
2006.308352 -85.684136 -86.751065
2006.317894 -85.476414 -86.758691
2006.327511 -85.268929 -86.766206
2006.338337 -85.056460 -86.772748
2006.346661 -84.893094 -86.777777
2006.356250 -84.720079 -86.782565
2006.384970 -84.274139 -86.792212
2006.394606 -84.146391 -86.794068
2006.404205 -84.029795 -86.795148
2006.413775 -83.931201 -86.794950
2006.423373 -83.832314 -86.794751
2006.432945 -83.751401 -86.792894
2006.442553 -83.674539 -86.790623
2006.452144 -83.601836 -86.787872
2006.461720 -83.542516 -86.783528
2006.471301 -83.483160 -86.779182
2006.482125 -83.430096 -86.772633
2006.490335 -83.394445 -86.767126
2006.509599 -83.337719 -86.751979
2006.519235 -83.320900 -86.743447
2006.531450 -83.328797 -86.731033
2006.538423 -83.343567 -86.723385
2006.554852 -83.411091 -86.704061
2006.563071 -83.471153 -86.693348
2006.575323 -83.573378 -86.676951
2006.583524 -83.682376 -86.664617
2006.595934 -83.847338 -86.645950
2006.606887 -84.044874 -86.627730
2006.615103 -84.201350 -86.613786
2006.624658 -84.392543 -86.597172
2006.634304 -84.617783 -86.579017
2006.643807 -84.839692 -86.561130
2006.651998 -85.039826 -86.544869
2006.663099 -85.319496 -86.522029
2006.672669 -85.559701 -86.502203
2006.682268 -85.791385 -86.480876
2006.691857 -86.022840 -86.459571
2006.701455 -86.236582 -86.437484
2006.711035 -86.433186 -86.414734
2006.731537 -86.800708 -86.364576
2006.739802 -86.927963 -86.343781
2006.759007 -87.155238 -86.293774
2006.778149 -87.321279 -86.242285
2006.787776 -87.382691 -86.215728
2006.826227 -87.584157 -86.105976
2006.834456 -87.630299 -86.081741
2006.883761 -88.045887 -85.932884
2006.902930 -88.271522 -85.873587
2006.995967 -89.054686 -85.581123
2007.027588 -88.851182 -85.482281
2007.200171 -84.658180 -84.985939
2007.209722 -84.371691 -84.961658
2007.219435 -84.075630 -84.937597
2007.257568 -82.891965 -84.847782
2007.286368 -82.020491 -84.785053
2007.334304 -80.837512 -84.692007
2007.363071 -80.398543 -84.642904
2007.382268 -80.267702 -84.613494
2007.391828 -80.241113 -84.599665
2007.411006 -80.260553 -84.573468
2007.449391 -80.638593 -84.529654
2007.509503 -81.770634 -84.480462
2007.535645 -82.433292 -84.467195
2007.593189 -84.207190 -84.455185
2007.621861 -85.182782 -84.457501
2007.650742 -86.125113 -84.465287
