# x_interp smoothed_curve trend
2012.539700 -86.827752 -88.083295
2012.580768 -87.262631 -88.083796
2012.595655 -87.420272 -88.083978
2013.080768 -88.985421 -89.222294
2013.109344 -89.896980 -89.342972
2013.181726 -90.456070 -89.656902
2013.195415 -90.287711 -89.717435
2013.236483 -89.437633 -89.902270
2013.250172 -89.129427 -89.964112
2013.289700 -88.767162 -90.142809
2013.317078 -88.691603 -90.266618
2013.330768 -88.665042 -90.327894
2013.373033 -88.611585 -90.515463
2013.400412 -88.380390 -90.634122
2013.414101 -88.203635 -90.692564
2013.456366 -87.840628 -90.869919
2013.483745 -87.885538 -90.980079
2013.497434 -87.907992 -91.035157
2013.567078 -89.908980 -91.294609
2013.580768 -90.406910 -91.340319
2013.664101 -93.114637 -91.602118
2013.678988 -93.534185 -91.645623
2013.709104 -94.723281 -91.722731
2013.803389 -99.312059 -91.928282
2013.817078 -99.511756 -91.950019
2013.859344 -99.842651 -92.014044
2013.997434 -91.598225 -92.120055
2014.012321 -91.309611 -92.121371
2014.262321 -86.574459 -91.931845
2014.276011 -86.312576 -91.910791
2014.289700 -86.126783 -91.889041
2014.359344 -87.400963 -91.754764
2014.678988 -90.884898 -90.869825
2016.109344 -90.533917 -89.411238
2016.123147 -91.031866 -89.438547
2016.184007 -92.082059 -89.553093
2016.300651 -91.191908 -89.727027
2016.370295 -90.704234 -89.793280
2016.453629 -88.984094 -89.832425
2016.536962 -88.894905 -89.819927
2016.603868 -89.783195 -89.779028
2016.784224 -92.199510 -89.563626
2016.811603 -93.158821 -89.523045
2016.864820 -93.125869 -89.442507
2016.892198 -92.295518 -89.401766
2017.434464 -86.891198 -89.394102
2017.461842 -86.966774 -89.453489
2017.515059 -87.694211 -89.582235
2017.542438 -88.253002 -89.652702
2017.595655 -89.459733 -89.807266
2017.623033 -89.728933 -89.891694
2017.709104 -90.482769 -90.169050
2017.762321 -92.286129 -90.345496
2017.803389 -93.861453 -90.480680
2017.873033 -94.580237 -90.702362
2017.975417 -90.567954 -90.994929
2018.066964 -92.141325 -91.202569
2018.092803 -93.252069 -91.251630
2018.106492 -93.731038 -91.273154
2018.147560 -95.049746 -91.336540
2018.181612 -94.549959 -91.373058
2018.236369 -93.174677 -91.416012
2018.262207 -92.317724 -91.430543
2018.316964 -91.103691 -91.435759
2018.345540 -90.508436 -91.428400
2018.400297 -89.345997 -91.400264
2018.428874 -88.683780 -91.376617
2018.514945 -88.462410 -91.278519
2018.572440 -89.786481 -91.192836
2018.598278 -90.066119 -91.149577
2018.670660 -89.806931 -91.023388
2018.744582 -89.739608 -90.889474
2018.770421 -90.544976 -90.843780
2018.825178 -92.269605 -90.749656
2018.986369 -90.584880 -90.527248
2019.012207 -90.789029 -90.504660
2019.025896 -90.948263 -90.493130
2019.053275 -91.287144 -90.471444
2019.092803 -91.949242 -90.451784
2019.167922 -90.707332 -90.435690
2019.230893 -87.799676 -90.450239
2019.284110 -87.224435 -90.482282
2019.297799 -87.375641 -90.493098
2019.325178 -88.184500 -90.519085
2019.351016 -88.947106 -90.543725
2019.405773 -90.453237 -90.613260
2019.458990 -91.097016 -90.694627
2019.514945 -91.605552 -90.792584
2019.569702 -91.810405 -90.899305
2019.728155 -90.291460 -91.251000
2019.789586 -92.453973 -91.398087
2019.897560 -94.872572 -91.661523
2020.009469 -92.013825 -91.933163
2020.023159 -92.168581 -91.965835
2020.108887 -93.709135 -92.167683
2020.122919 -93.850883 -92.200317
2020.136266 -93.892217 -92.231251
2020.150297 -93.392625 -92.263145
2020.173398 -92.570083 -92.315657
2020.200662 -91.570232 -92.377306
2020.214466 -91.013634 -92.407955
2020.238764 -90.033902 -92.461905
2020.251256 -89.530206 -92.489641
2020.289586 -89.321401 -92.573007
2020.303275 -89.294989 -92.602717
2020.330653 -89.577754 -92.661436
2020.347822 -89.913719 -92.697928
2020.361968 -90.190529 -92.727995
2020.392198 -90.622001 -92.791594
2020.417922 -90.881454 -92.845274
2020.445301 -91.132499 -92.902102
2020.494582 -91.502167 -93.003391
2020.519964 -91.895385 -93.054956
2020.534110 -92.120550 -93.083677
2020.622919 -92.768022 -93.262684
2020.658169 -92.464586 -93.333152
2020.670660 -92.357062 -93.358123
2020.691992 -92.526651 -93.400634
2020.780801 -95.509496 -93.577153
2020.795061 -96.268081 -93.605457
2020.808180 -96.825445 -93.631455
2020.859344 -98.782489 -93.732809
2020.872919 -98.532756 -93.759669
2020.897445 -98.081562 -93.808198
2020.913987 -97.777246 -93.840929
2020.937316 -96.904520 -93.887033
2020.950777 -96.351227 -93.913630
2020.963895 -95.812032 -93.939549
2020.978155 -95.229635 -93.967724
2020.997092 -95.167365 -94.005090
2021.012207 -95.117663 -94.034914
2021.028292 -95.064772 -94.066652
2021.042095 -95.113260 -94.093875
2021.042323 -95.118196 -94.094324
2021.055784 -95.409581 -94.120838
2021.077573 -95.881240 -94.163757
2021.095312 -96.265231 -94.198697
2021.109001 -96.217341 -94.225619
2021.130448 -95.971550 -94.267778
2021.144593 -95.809443 -94.295583
2021.172941 -94.983692 -94.351245
2021.186859 -94.328475 -94.378542
2021.205567 -93.447761 -94.415234
2021.219713 -92.795957 -94.442937
2021.235912 -92.441863 -94.473516
2021.249944 -92.135137 -94.500004
2021.272474 -91.642653 -94.542535
2021.286734 -91.330944 -94.569453
2021.302704 -90.981855 -94.599600
