# x_interp smoothed_curve trend
2022.208219 -96.613678 -94.748248
2022.208219 -96.613678 -94.748248
2022.219178 -96.608238 -94.687564
2022.219178 -96.608238 -94.687564
2022.542466 -91.122555 -93.160901
2022.542466 -91.122555 -93.160901
2022.542466 -91.122555 -93.160901
2022.542466 -91.122555 -93.160901
2022.561644 -90.738407 -93.088692
2022.561644 -90.738407 -93.088692
2022.580822 -90.617110 -93.020140
2022.580822 -90.617110 -93.020140
2022.600000 -90.539619 -92.952198
2022.600000 -90.539619 -92.952198
2022.600000 -90.539619 -92.952198
2022.600000 -90.539619 -92.952198
2022.630137 -91.138212 -92.852209
2022.630137 -91.138212 -92.852209
2022.657534 -92.080997 -92.766280
2022.657534 -92.080997 -92.766280
2022.684932 -93.144679 -92.684709
2022.684932 -93.144679 -92.684709
2022.695890 -93.578586 -92.653332
2022.723288 -94.404432 -92.578624
2022.723288 -94.404432 -92.578624
2022.723288 -94.404432 -92.578624
2022.723288 -94.404432 -92.578624
2022.734247 -94.665688 -92.549740
2022.764384 -94.875712 -92.475288
2022.764384 -94.875712 -92.475288
2022.764384 -94.875712 -92.475288
2022.764384 -94.875712 -92.475288
2022.783562 -94.793234 -92.430335
2022.783562 -94.793234 -92.430335
2022.791781 -94.656320 -92.412394
2022.791781 -94.656320 -92.412394
2022.791781 -94.656320 -92.412394
2022.791781 -94.656320 -92.412394
2022.813699 -94.291201 -92.364549
2022.813699 -94.291201 -92.364549
2022.841096 -93.732054 -92.310859
2022.879452 -93.166880 -92.242329
2022.879452 -93.166880 -92.242329
2022.879452 -93.166880 -92.242329
2022.879452 -93.166880 -92.242329
2022.887671 -93.081826 -92.228625
2022.887671 -93.081826 -92.228625
2022.887671 -93.081826 -92.228625
2022.887671 -93.081826 -92.228625
2022.956164 -92.804205 -92.131842
2022.956164 -92.804205 -92.131842
2022.972603 -92.633355 -92.113679
2022.972603 -92.633355 -92.113679
2022.972603 -92.633355 -92.113679
2022.972603 -92.633355 -92.113679
2022.983562 -92.519458 -92.101571
2022.983562 -92.519458 -92.101571
2023.010959 -92.088446 -92.075148
2023.010959 -92.088446 -92.075148
2023.024658 -91.841590 -92.062761
2023.043836 -91.509780 -92.048613
2023.043836 -91.509780 -92.048613
2023.043836 -91.509780 -92.048613
2023.079452 -91.100584 -92.026407
2023.079452 -91.100584 -92.026407
2023.098630 -91.007613 -92.016384
2023.098630 -91.007613 -92.016384
2023.158904 -92.031801 -91.999980
2023.158904 -92.031801 -91.999980
2023.175342 -92.392639 -91.998079
2023.175342 -92.392639 -91.998079
2023.208219 -92.972081 -91.998306
2023.208219 -92.972081 -91.998306
2023.263014 -92.592461 -92.009754
2023.263014 -92.592461 -92.009754
2023.320548 -91.085916 -92.034054
2023.320548 -91.085916 -92.034054
2023.353425 -90.404431 -92.053390
2023.353425 -90.404431 -92.053390
2023.391781 -90.280200 -92.080806
2023.391781 -90.280200 -92.080806
2023.416438 -90.505591 -92.100650
2023.416438 -90.505591 -92.100650
2023.443836 -90.863470 -92.125331
2023.443836 -90.863470 -92.125331
2023.473973 -91.119174 -92.154703
2023.473973 -91.119174 -92.154703
2023.482192 -91.165367 -92.163010
2023.482192 -91.165367 -92.163010
2023.501370 -91.149901 -92.183403
2023.501370 -91.149901 -92.183403
2023.539726 -90.892797 -92.226878
2023.578082 -90.734465 -92.273771
2023.578082 -90.734465 -92.273771
2023.646575 -91.993674 -92.365221
2023.646575 -91.993674 -92.365221
2023.761644 -94.840710 -92.538570
2023.769863 -94.849685 -92.551703
2023.769863 -94.849685 -92.551703
2023.800000 -94.554800 -92.601278
2023.819178 -94.327304 -92.633493
2023.827397 -94.233529 -92.647565
2023.827397 -94.233529 -92.647565
2023.849315 -94.014809 -92.685247
2023.849315 -94.014809 -92.685247
2023.876712 -94.015767 -92.733706
2023.904110 -94.261738 -92.783413
2023.904110 -94.261738 -92.783413
2023.923288 -94.481798 -92.818749
2023.923288 -94.481798 -92.818749
2023.942466 -94.714380 -92.854891
2023.942466 -94.714380 -92.854891
2023.986301 -94.884957 -92.939507
2023.986301 -94.884957 -92.939507
2024.002732 -94.695861 -92.972352
2024.002732 -94.695861 -92.972352
2024.019126 -94.465674 -93.005299
2024.038251 -94.081455 -93.044658
2024.068306 -93.434108 -93.107684
2024.068306 -93.434108 -93.107684
2024.114754 -92.791769 -93.209024
2024.163934 -92.795053 -93.321307
2024.163934 -92.795053 -93.321307
2024.232240 -92.671269 -93.487928
2024.232240 -92.671269 -93.487928
2024.308743 -91.040483 -93.689559
2024.308743 -91.040483 -93.689559
