# x_interp smoothed_curve trend
2005.249222 -85.474269 -87.216722
2005.262934 -85.221985 -87.187227
2005.306079 -84.459392 -87.094925
2005.325268 -84.231092 -87.055666
2005.382803 -83.542114 -86.940536
2005.383390 -83.535030 -86.939384
2005.402215 -83.308211 -86.902519
2005.459509 -82.897574 -86.794073
2005.459952 -82.902338 -86.793255
2005.487580 -83.199216 -86.742259
2005.487662 -83.200096 -86.742108
2005.498023 -83.311438 -86.722983
2005.498611 -83.317755 -86.721897
2005.517274 -83.708894 -86.687605
2005.582943 -86.295876 -86.567544
2005.651417 -89.266682 -86.440684
2005.652045 -89.291588 -86.439511
2005.689734 -90.248617 -86.367546
2005.728088 -90.669484 -86.292452
2005.747397 -90.550821 -86.253333
2005.785649 -90.045896 -86.173903
2005.823935 -89.143344 -86.091356
2005.881547 -87.383547 -85.957687
2005.895350 -87.004438 -85.923575
2005.939197 -85.985711 -85.812609
2005.952793 -85.802496 -85.776336
2005.974715 -85.507085 -85.717850
2006.015831 -85.505797 -85.599981
2006.034994 -85.538755 -85.543576
2006.054357 -85.604739 -85.483270
2006.073904 -85.671351 -85.422389
2006.101296 -85.541674 -85.332455
2006.101351 -85.541221 -85.332270
2006.120424 -85.384635 -85.268273
2006.120504 -85.383979 -85.268005
2006.188539 -84.187681 -85.025809
2006.284861 -82.951270 -84.644390
2006.399355 -82.317449 -84.140210
2006.456798 -81.311436 -83.869617
2006.476048 -81.039745 -83.776673
2006.511958 -80.788526 -83.601895
2006.552780 -81.032494 -83.400410
2006.571952 -81.501054 -83.304694
2006.610434 -82.494029 -83.112495
2006.629968 -83.103133 -83.014765
2006.648564 -83.682989 -82.921727
2006.665108 -84.132088 -82.839391
2006.725381 -85.393233 -82.542220
2006.744465 -85.628742 -82.449418
2006.763655 -85.799319 -82.356864
2006.801984 -85.748299 -82.176467
2006.818564 -85.628382 -82.100092
2006.857007 -85.088546 -81.927421
2006.878938 -84.668339 -81.833288
2006.917266 -83.868990 -81.672352
2006.936452 -83.527425 -81.597735
2006.955538 -83.187622 -81.523502
2007.204747 -79.884145 -80.847007
2008.030013 -84.955076 -82.792945
2008.095429 -86.685825 -83.083473
2008.122552 -86.957512 -83.201642
2008.144699 -86.820385 -83.296330
2008.160677 -86.721452 -83.364645
2008.182842 -86.256036 -83.456049
2008.210041 -85.606479 -83.567406
2008.254079 -84.569956 -83.739189
2008.349258 -83.069299 -84.077615
2008.354935 -82.994347 -84.096413
2008.376844 -82.684273 -84.167586
2008.393534 -82.383806 -84.217565
2008.404064 -82.194221 -84.249100
2008.445061 -81.482421 -84.365072
2008.469665 -81.071025 -84.430589
2008.504876 -80.895951 -84.514759
2008.543437 -81.110046 -84.599332
2008.543454 -81.110351 -84.599366
2008.584109 -81.876616 -84.678883
2008.603199 -82.445247 -84.710388
2008.619687 -82.936390 -84.737599
2008.672074 -84.487483 -84.811466
2008.767240 -86.415183 -84.904686
2008.775861 -86.525370 -84.911146
2008.813893 -86.732966 -84.933368
2008.813906 -86.732988 -84.933375
2008.852254 -86.684022 -84.949981
2008.871135 -86.528300 -84.955212
2008.917811 -86.099072 -84.963489
2008.917862 -86.098558 -84.963494
2008.991703 -85.736365 -84.962905
2009.005287 -85.782187 -84.961062
2009.062852 -86.156985 -84.949364
2009.117492 -86.256638 -84.933958
2009.150698 -86.053215 -84.923433
2009.158579 -85.961541 -84.920846
2009.172270 -85.764437 -84.916276
2009.210514 -85.225999 -84.903579
2009.232780 -84.958177 -84.896453
2009.246128 -84.797617 -84.892181
2009.265186 -84.610851 -84.886409
2009.292698 -84.430795 -84.878768
2009.407563 -82.941074 -84.857765
2009.421473 -82.664776 -84.856999
2009.438476 -82.317995 -84.856885
2009.607553 -83.987201 -84.892521
2009.772053 -87.406374 -85.009445
2010.193975 -85.911036 -85.692411
