# x_interp smoothed_curve trend
2005.342104 -82.426770 -83.217644
2005.349970 -82.483220 -83.233686
2005.361102 -82.563115 -83.256390
2005.426982 -82.503942 -83.388937
2005.475974 -81.885008 -83.484441
2005.484416 -81.763885 -83.500358
2005.497888 -81.570586 -83.525761
2005.514197 -81.391121 -83.556016
2005.717161 -85.300207 -83.875350
2005.725190 -85.436220 -83.885342
2005.733333 -85.574166 -83.895476
2005.744463 -85.656945 -83.908370
2005.763695 -85.723235 -83.929955
2005.829709 -85.212693 -83.992746
2005.848902 -85.040559 -84.007439
2005.862443 -84.930342 -84.017272
2005.917551 -84.978624 -84.048108
2005.923318 -85.020144 -84.050685
2005.936339 -85.125405 -84.056157
2005.944711 -85.224937 -84.058716
2006.002530 -85.870248 -84.070935
2006.021490 -85.970469 -84.071404
2006.032247 -86.027333 -84.071670
2006.040236 -86.000557 -84.070802
2006.051684 -85.958750 -84.069506
2006.059559 -85.929993 -84.068614
2006.070997 -85.838565 -84.066565
2006.090042 -85.600291 -84.061847
2006.097844 -85.502673 -84.059915
2006.119798 -85.100326 -84.051662
2006.128099 -84.947243 -84.048521
2006.193702 -83.750461 -84.012246
2006.204861 -83.617148 -84.004367
2006.223645 -83.427155 -83.990490
2006.231741 -83.358993 -83.984300
2006.242861 -83.324148 -83.974893
2006.300548 -83.324773 -83.921866
2006.338761 -83.347976 -83.881374
2006.347070 -83.323642 -83.872064
2006.358181 -83.291100 -83.859615
2006.377283 -83.095522 -83.837017
2006.385253 -83.002630 -83.827493
2006.396092 -82.858121 -83.814411
2006.405137 -82.667652 -83.803003
2006.434465 -82.006627 -83.765589
2006.443377 -81.766875 -83.753839
2006.450751 -81.568485 -83.744117
2006.462774 -81.249198 -83.728128
2006.473056 -80.987527 -83.714075
2006.481334 -80.776845 -83.702760
2006.492253 -80.498953 -83.687836
2006.500438 -80.369732 -83.676345
2006.511463 -80.203139 -83.660838
2006.514326 -80.159874 -83.656811
2006.530677 -80.001084 -83.633657
2006.539473 -80.023104 -83.621012
2006.549762 -80.048864 -83.606219
2006.558419 -80.070536 -83.593773
2006.568986 -80.307995 -83.578340
2006.577232 -80.495244 -83.566295
2006.588134 -80.742805 -83.550369
2006.596362 -81.011316 -83.538272
2006.626922 -82.229172 -83.493134
2006.635274 -82.617582 -83.480734
2006.654418 -83.507828 -83.452313
2006.664600 -83.947305 -83.437183
2006.673073 -84.302453 -83.424591
2006.684266 -84.771650 -83.407955
2006.692426 -85.078124 -83.395837
2006.703813 -85.384892 -83.378962
2006.711787 -85.599707 -83.367145
2006.722462 -85.887305 -83.351324
2006.742196 -86.027635 -83.322266
2006.769325 -85.952096 -83.282513
2006.780278 -85.817788 -83.266539
2006.799587 -85.454186 -83.238574
2006.810274 -85.198880 -83.223180
2006.818322 -85.006616 -83.211587
2006.837892 -84.514799 -83.183736
2006.846005 -84.308924 -83.172218
2006.857133 -84.047417 -83.156480
2006.876104 -83.712810 -83.129980
2006.895666 -83.476174 -83.102855
2006.903779 -83.438331 -83.091718
2006.914460 -83.388506 -83.077054
2006.922698 -83.382536 -83.065806
2006.953834 -83.646129 -83.023841
2006.961273 -83.769494 -83.013989
2006.991324 -84.275101 -82.974314
2007.010217 -84.613860 -82.949725
2007.018550 -84.763282 -82.938880
2007.029699 -84.904514 -82.924603
2007.056916 -85.194500 -82.889860
2007.095662 -85.178472 -82.841142
2007.163584 -84.138343 -82.757142
2007.172264 -83.945367 -82.746497
2007.191039 -83.523548 -82.723496
2007.202152 -83.270238 -82.709904
2007.210426 -83.081632 -82.699784
2007.221233 -82.850090 -82.686562
2007.229559 -82.684189 -82.676370
2007.249496 -82.289176 -82.651962
2007.287097 -81.712587 -82.605652
