# x_interp smoothed_curve trend
2023.084932 -77.688108 -79.865501
2023.098630 -77.745207 -79.822900
2023.098630 -77.745207 -79.822900
2023.136986 -78.036507 -79.703188
2023.202740 -78.532929 -79.495578
2023.202740 -78.532929 -79.495578
2023.202740 -78.532929 -79.495578
2023.202740 -78.532929 -79.495578
2023.202740 -78.532929 -79.495578
2023.224658 -78.460924 -79.425784
2023.224658 -78.460924 -79.425784
2023.238356 -78.314156 -79.381923
2023.238356 -78.314156 -79.381923
2023.260274 -78.038603 -79.311645
2023.334247 -77.715220 -79.072296
2023.334247 -77.715220 -79.072296
2023.350685 -78.010821 -79.018653
2023.350685 -78.010821 -79.018653
2023.350685 -78.010821 -79.018653
2023.350685 -78.010821 -79.018653
2023.378082 -78.551326 -78.929123
2023.378082 -78.551326 -78.929123
2023.397260 -79.007811 -78.866249
2023.397260 -79.007811 -78.866249
2023.413699 -79.323520 -78.812245
2023.435616 -79.643655 -78.740100
2023.435616 -79.643655 -78.740100
2023.454795 -79.669129 -78.676816
2023.463014 -79.636384 -78.649671
2023.512329 -78.911905 -78.486484
2023.528767 -78.607577 -78.431941
2023.528767 -78.607577 -78.431941
2023.627397 -79.167478 -78.104234
2023.646575 -79.796804 -78.040476
2023.646575 -79.796804 -78.040476
2023.780822 -79.746306 -77.595342
2023.780822 -79.746306 -77.595342
2023.813699 -78.622628 -77.486899
2023.813699 -78.622628 -77.486899
2023.830137 -78.080162 -77.432761
2023.915068 -77.000690 -77.154760
2023.915068 -77.000690 -77.154760
2023.953425 -76.729556 -77.030139
2023.953425 -76.729556 -77.030139
2023.983562 -76.294060 -76.932657
2023.983562 -76.294060 -76.932657
2024.010929 -75.713656 -76.844461
2024.046448 -74.904104 -76.730599
2024.046448 -74.904104 -76.730599
2024.095628 -74.409516 -76.574040
2024.095628 -74.409516 -76.574040
2024.125683 -74.474276 -76.478895
2024.125683 -74.474276 -76.478895
2024.163934 -74.770773 -76.358492
2024.163934 -74.770773 -76.358492
2024.199454 -74.884057 -76.247460
2024.199454 -74.884057 -76.247460
2024.218579 -74.817604 -76.188090
2024.218579 -74.817604 -76.188090
