# x_interp smoothed_curve trend
2011.075634 -83.193297 -81.839009
2011.085160 -83.110729 -81.844826
2011.093373 -83.039542 -81.849841
2011.112424 -82.843425 -81.861044
2011.126113 -82.688173 -81.868869
2011.265402 -81.240226 -81.924620
2011.270991 -81.204024 -81.925915
2011.281829 -81.140166 -81.927727
2011.290042 -81.092799 -81.928989
2011.301108 -81.028806 -81.930392
2011.348849 -80.738578 -81.931213
2011.359915 -80.666237 -81.929985
2011.432182 -80.326917 -81.911263
2011.454085 -80.339840 -81.901294
2011.462413 -80.365971 -81.896961
2011.497891 -80.616992 -81.875133
2011.515516 -80.825851 -81.862083
2011.534795 -81.098908 -81.846085
2011.553846 -81.391354 -81.828747
2011.570273 -81.651715 -81.812725
2011.587898 -81.919016 -81.793706
2011.612538 -82.246440 -81.764986
2011.770877 -82.309986 -81.517688
2011.781829 -82.221517 -81.496807
2011.806583 -82.012332 -81.448245
2011.837898 -81.741980 -81.384067
2011.918493 -81.253515 -81.205862
2011.934920 -81.226254 -81.167733
2011.959675 -81.246564 -81.109366
2011.978726 -81.312298 -81.063780
2011.992415 -81.375668 -81.030814
2011.997891 -81.408553 -81.017529
2012.034681 -81.652184 -80.927874
2012.048256 -81.746393 -80.894595
2012.083962 -81.967892 -80.806992
2012.104439 -82.051909 -80.756903
2012.126228 -82.102033 -80.703889
2012.139460 -82.114886 -80.671858
2012.159082 -82.100771 -80.624735
2012.171231 -82.068591 -80.595929
2012.182411 -82.035978 -80.569468
2012.190396 -82.001675 -80.550793
2012.203743 -81.934333 -80.519780
2012.262321 -81.438972 -80.388207
2012.278863 -81.224981 -80.352697
2012.295632 -80.968702 -80.317567
2012.303846 -80.835002 -80.300539
2012.317535 -80.583081 -80.272888
2012.323125 -80.474063 -80.261750
2012.345997 -79.996042 -80.217283
2012.354211 -79.815382 -80.201625
2012.362424 -79.629687 -80.186394
2012.390031 -78.998048 -80.137049
2012.401097 -78.751169 -80.118049
2012.414672 -78.469550 -80.095505
2012.432525 -78.124918 -80.066740
2012.440053 -78.012624 -80.055373
2012.465151 -77.687323 -80.018419
2012.481121 -77.539292 -79.996038
2012.486825 -77.519439 -79.988679
2012.495039 -77.490849 -79.978082
2012.507188 -77.455645 -79.962568
2012.515516 -77.468281 -79.952761
2012.572896 -77.733374 -79.892085
2012.590521 -77.851063 -79.876596
2012.620638 -78.033636 -79.853309
2012.648359 -78.157890 -79.835488
2012.667409 -78.219065 -79.825394
2012.684920 -78.268636 -79.817356
2012.715037 -78.363293 -79.806794
2012.723136 -78.393855 -79.804458
2012.781829 -78.838557 -79.796178
2012.801336 -79.078485 -79.796120
2012.820273 -79.370710 -79.797645
2012.838012 -79.676310 -79.800025
2012.856720 -80.025887 -79.803460
2012.867786 -80.246602 -79.806051
2012.897902 -80.865417 -79.814591
2012.908968 -81.092505 -79.818444
2012.929330 -81.502416 -79.826032
2012.951005 -81.909262 -79.835078
2013.029319 -82.776825 -79.874483
2013.104325 -82.405500 -79.917877
2013.137179 -81.959565 -79.937458
2013.168607 -81.494038 -79.956066
2013.187201 -81.237373 -79.966872
2013.206823 -80.992736 -79.978075
2013.225988 -80.782852 -79.988775
2013.242073 -80.631089 -79.997518
2013.262778 -80.457442 -80.008358
2013.319930 -79.947369 -80.035922
2013.340636 -79.693211 -80.044831
2013.414672 -78.474092 -80.071982
2013.435034 -78.130982 -80.078065
2013.445758 -77.962427 -80.081106
2013.453971 -77.852768 -80.083238
2013.526353 -77.433344 -80.098900
2013.720284 -80.277631 -80.122132
2013.739335 -80.589261 -80.124437
2013.760040 -80.893459 -80.127329
2013.779205 -81.138900 -80.130408
2014.007074 -81.795222 -80.220287
2014.045518 -81.830946 -80.249883
2014.064569 -81.840779 -80.266299
2014.084589 -81.838284 -80.284886
2014.101473 -81.816431 -80.302032
2014.120295 -81.776240 -80.322234
2014.203743 -81.394107 -80.427507
2014.223022 -81.257161 -80.455702
2014.241959 -81.100792 -80.484612
2014.259812 -80.931200 -80.512900
2014.278748 -80.715482 -80.544237
2014.295175 -80.489002 -80.572593
2014.314340 -80.192711 -80.606581
2014.337441 -79.783648 -80.649079
2014.584932 -78.644432 -81.174157
2014.606948 -78.943149 -81.223119
2014.623490 -79.150716 -81.259705
2014.642198 -79.352250 -81.300666
2014.661705 -79.534654 -81.342911
2014.678988 -79.676496 -81.379905
2014.698267 -79.815583 -81.420457
2014.717546 -79.954156 -81.460042
2014.736483 -80.104918 -81.498060
2014.756960 -80.295820 -81.538098
2014.776125 -80.509927 -81.574499
2014.795290 -80.779032 -81.609456
2014.814569 -81.105029 -81.643180
2014.833505 -81.472441 -81.674984
2014.837784 -81.562565 -81.681968
2014.851130 -81.852599 -81.703438
2014.873147 -82.384951 -81.736976
2014.889574 -82.820837 -81.760146
2014.929445 -83.923302 -81.811634
2014.951119 -84.523548 -81.836319
2015.276467 -82.892738 -81.892433
2015.295746 -82.465837 -81.878481
2015.314455 -82.044421 -81.863313
2015.331224 -81.655786 -81.848268
2015.354325 -81.111028 -81.826040
2015.373376 -80.659295 -81.806328
2015.392198 -80.218673 -81.785775
2015.411934 -79.786064 -81.762869
2015.429673 -79.442750 -81.741350
2015.448267 -79.132062 -81.718106
2015.467432 -78.875623 -81.693432
2015.620524 -79.218048 -81.481902
2015.640031 -79.364734 -81.454946
2015.658968 -79.493390 -81.429181
2015.676478 -79.600827 -81.405853
2015.695758 -79.713035 -81.380672
2015.714808 -79.820645 -81.356402
2015.733973 -79.931356 -81.332786
2015.754450 -80.061083 -81.308651
2015.773387 -80.193375 -81.287291
2015.792438 -80.338456 -81.266743
2015.811717 -80.497740 -81.246973
2015.830768 -80.669133 -81.228799
2015.848963 -80.842415 -81.212665
2015.867672 -81.027812 -81.197161
2015.886837 -81.224875 -81.182491
2016.078030 -82.983640 -81.117528
2016.095655 -83.015542 -81.119123
2016.114934 -83.020862 -81.122058
2016.133985 -82.997160 -81.126221
2016.153264 -82.945821 -81.131853
2016.176364 -82.858419 -81.140439
2016.195529 -82.769218 -81.148983
2016.214580 -82.666318 -81.158533
2016.230893 -82.566874 -81.167423
2016.251598 -82.409910 -81.180008
2016.270649 -82.222741 -81.192684
2016.289814 -81.991142 -81.206246
2016.309321 -81.706308 -81.220834
2016.328144 -81.383276 -81.235587
2016.348507 -80.969390 -81.252438
2016.367900 -80.545393 -81.269072
2016.386837 -80.126178 -81.285753
2016.406001 -79.715831 -81.303012
2016.423741 -79.373988 -81.319303
2016.442905 -79.092119 -81.337162
2016.461842 -78.904899 -81.354941
2016.481007 -78.817197 -81.373011
2016.501598 -78.852249 -81.392436
2016.520535 -79.021293 -81.410194
2016.539928 -79.288332 -81.428197
2016.558865 -79.613610 -81.445548
2016.578372 -79.995360 -81.463127
2016.595655 -80.354534 -81.478356
2016.615048 -80.745066 -81.494948
2016.634213 -81.101981 -81.510859
2016.653264 -81.418403 -81.526160
2016.670774 -81.665082 -81.539692
2016.690168 -81.876559 -81.553889
2016.709333 -82.041373 -81.567238
2016.728612 -82.169354 -81.579956
2016.747434 -82.264682 -81.591669
2016.767911 -82.341214 -81.603301
2016.787076 -82.404712 -81.613276
2016.806241 -82.467762 -81.622433
2016.825748 -82.536200 -81.630892
2016.843259 -82.605470 -81.637678
2016.862082 -82.693897 -81.643941
2016.881361 -82.796148 -81.649511
2016.900754 -82.909974 -81.654237
2016.920889 -83.037576 -81.658189
2016.939939 -83.161339 -81.660843
2016.959447 -83.279086 -81.662644
2016.975531 -83.363693 -81.663532
2016.997548 -83.449229 -81.663776
2017.015173 -83.481070 -81.663172
2017.036734 -83.457078 -81.661447
2017.050651 -83.405403 -81.659841
2017.072782 -83.267879 -81.656562
2017.090407 -83.110644 -81.653329
2017.109344 -82.894515 -81.649122
2017.128509 -82.654788 -81.644340
2017.147788 -82.404247 -81.639027
2017.173741 -82.081107 -81.631053
2017.192905 -81.867828 -81.624713
2017.231121 -81.557494 -81.610912
2017.250172 -81.445289 -81.603653
2017.267797 -81.355659 -81.596779
2017.284224 -81.276382 -81.590234
2017.306127 -81.151890 -81.581419
2017.325634 -81.009838 -81.573539
2017.345655 -80.827235 -81.565478
2017.365048 -80.612792 -81.557740
2017.384099 -80.363460 -81.550297
2017.403492 -80.094350 -81.542930
2017.440053 -79.607875 -81.529697
2017.459447 -79.399592 -81.523163
2017.478269 -79.262691 -81.517246
2017.497434 -79.184434 -81.511611
2017.537076 -79.226576 -81.501372
2017.556127 -79.346929 -81.497344
2017.575292 -79.505056 -81.493870
2017.593031 -79.671208 -81.491140
2017.668151 -80.418507 -81.485855
2017.687430 -80.598180 -81.486153
2017.706366 -80.771830 -81.487193
2017.725531 -80.952080 -81.489084
2017.744925 -81.142804 -81.491694
2017.765173 -81.353449 -81.495186
2017.784567 -81.567424 -81.499256
2017.803617 -81.791217 -81.504107
2017.822668 -82.023398 -81.509730
2017.840407 -82.242685 -81.515552
2017.859344 -82.477476 -81.522386
2017.878851 -82.714723 -81.530224
2017.897674 -82.931622 -81.538567
2017.918379 -83.153243 -81.548441
2017.937201 -83.334068 -81.558053
2017.956595 -83.495220 -81.568572
2017.975760 -83.612904 -81.579718
2017.995039 -83.685768 -81.591550
2018.031943 -83.696165 -81.615675
2018.050994 -83.620232 -81.628954
2018.070159 -83.488179 -81.642873
2018.087555 -83.336674 -81.655884
2018.106720 -83.142439 -81.670612
2018.125885 -82.929823 -81.685793
2018.145050 -82.724593 -81.701437
2018.170774 -82.486050 -81.722947
2018.209104 -82.272043 -81.756103
2018.228498 -82.229727 -81.773286
2018.244696 -82.231947 -81.787872
2018.265287 -82.251837 -81.806618
2018.284224 -82.271306 -81.824041
2018.303389 -82.276359 -81.841824
2018.322554 -82.241529 -81.859757
2018.342917 -82.136645 -81.878934
2018.381247 -81.763814 -81.915225
2018.400526 -81.501232 -81.933533
2018.417067 -81.242245 -81.949244
2018.437316 -80.920997 -81.968450
2018.456366 -80.630376 -81.986477
2018.475646 -80.363501 -82.004662
2018.494811 -80.151548 -82.022646
2018.515287 -79.999191 -82.041727
2018.534681 -79.920336 -82.059662
2018.553503 -79.899571 -82.076931
2018.590179 -80.013249 -82.110089
2018.609344 -80.134154 -82.127113
2018.628509 -80.282346 -82.143933
2018.647674 -80.452807 -82.160538
2018.666953 -80.645918 -82.176953
2018.684464 -80.836339 -82.191603
2018.703629 -81.056583 -82.207401
2018.722908 -81.290366 -82.223019
2018.741959 -81.533201 -82.238129
2018.762321 -81.800908 -82.253885
2018.781486 -82.053879 -82.268382
2018.800651 -82.303390 -82.282560
2018.820159 -82.549598 -82.296651
2018.837669 -82.756462 -82.308911
2018.856606 -82.964457 -82.321815
2018.875771 -83.159480 -82.334520
2018.895164 -83.341094 -82.347003
2018.914101 -83.502336 -82.358756
2018.934464 -83.660722 -82.370897
2018.953629 -83.797839 -82.381903
2018.972908 -83.923346 -82.392574
