# x_interp smoothed_curve trend
2011.075634 -82.989980 -81.385225
2011.085160 -82.946229 -81.386012
2011.093373 -82.908508 -81.386691
2011.112424 -82.797825 -81.388201
2011.126113 -82.706559 -81.389246
2011.265402 -81.407416 -81.390574
2011.270991 -81.366210 -81.390165
2011.281829 -81.296584 -81.388984
2011.290042 -81.245480 -81.388026
2011.301108 -81.177051 -81.386563
2011.348849 -80.849336 -81.377177
2011.359915 -80.743348 -81.374142
2011.432182 -79.823377 -81.347616
2011.454085 -79.533072 -81.336843
2011.462413 -79.434691 -81.332397
2011.497891 -79.171926 -81.311269
2011.515516 -79.168613 -81.299334
2011.534795 -79.277442 -81.285148
2011.553846 -79.476357 -81.270121
2011.587898 -80.020748 -81.240604
2011.612538 -80.484842 -81.217032
2011.770877 -81.477481 -81.024484
2011.806583 -81.337425 -80.972259
2011.817421 -81.300612 -80.955984
2011.837898 -81.249622 -80.924417
2011.918493 -81.194587 -80.793452
2011.934920 -81.201809 -80.765730
2011.959675 -81.231573 -80.723484
2011.978726 -81.279175 -80.690653
2011.992415 -81.325340 -80.666973
2011.997891 -81.350630 -80.657462
2012.034681 -81.560929 -80.593479
2012.048256 -81.661860 -80.569875
2012.083962 -81.936934 -80.507994
2012.104439 -82.070255 -80.472840
2012.126228 -82.166958 -80.435791
2012.159082 -82.199691 -80.380774
2012.171231 -82.157145 -80.360881
2012.182411 -82.112673 -80.342620
2012.190396 -82.062867 -80.329779
2012.203743 -81.963221 -80.308498
2012.262321 -81.330960 -80.218981
2012.278863 -81.112138 -80.195065
2012.295632 -80.876579 -80.171518
2012.303846 -80.758345 -80.160129
2012.317535 -80.548172 -80.141723
2012.323125 -80.459575 -80.134327
2012.345997 -80.073541 -80.104931
2012.354211 -79.928290 -80.094616
2012.362424 -79.774327 -80.084628
2012.390031 -79.223893 -80.052475
2012.401097 -78.992769 -80.040179
2012.414672 -78.709824 -80.025667
2012.432525 -78.339834 -80.007244
2012.440053 -78.198797 -80.000043
2012.465151 -77.765415 -79.976726
2012.481121 -77.533902 -79.962723
2012.486825 -77.485240 -79.958184
2012.495039 -77.415165 -79.951647
2012.507188 -77.321053 -79.942095
2012.515516 -77.306033 -79.936143
2012.572896 -77.546509 -79.900048
2012.590521 -77.725023 -79.891183
2012.620638 -78.043998 -79.878251
2012.648359 -78.281241 -79.868839
2012.667409 -78.384288 -79.863838
2012.684920 -78.444874 -79.860078
2012.715037 -78.485742 -79.855789
2012.723136 -78.491883 -79.854971
2012.781829 -78.736205 -79.854660
2012.801336 -78.942818 -79.856279
2012.820273 -79.241691 -79.858834
2012.838012 -79.574704 -79.861808
2012.856720 -79.968997 -79.865501
2012.867786 -80.222308 -79.868019
2012.897902 -80.921340 -79.875731
2012.908968 -81.165247 -79.878968
2012.929330 -81.592811 -79.885196
2012.951005 -81.987663 -79.892339
2013.029319 -82.710637 -79.921334
2013.104325 -82.437221 -79.950897
2013.137179 -82.061036 -79.963601
2013.168607 -81.610889 -79.975345
2013.187201 -81.325652 -79.981987
2013.206823 -81.032305 -79.988760
2013.225988 -80.763404 -79.995113
2013.242073 -80.560505 -80.000207
2013.262778 -80.339484 -80.006382
2013.282057 -80.163140 -80.011781
2013.319930 -79.858595 -80.021419
2013.340636 -79.675877 -80.026014
2013.414672 -78.649765 -80.039101
2013.435034 -78.285185 -80.041797
2013.445758 -78.095968 -80.043120
2013.453971 -77.960143 -80.044020
2013.526353 -77.320575 -80.050416
2013.720284 -80.048156 -80.066674
2013.739335 -80.215640 -80.069678
2013.760040 -80.374543 -80.073649
2013.779205 -80.522700 -80.077971
2013.798370 -80.679368 -80.082909
2013.817078 -80.842836 -80.088359
2013.833848 -81.000043 -80.093909
2013.854325 -81.196678 -80.101663
2013.873490 -81.374902 -80.109828
2013.892541 -81.539691 -80.118819
2013.911820 -81.687655 -80.128851
2013.931954 -81.808572 -80.140734
2013.951005 -81.898731 -80.153129
2013.970398 -81.972966 -80.166838
2013.989449 -82.032929 -80.181407
2014.007074 -82.080674 -80.196026
2014.045518 -82.172546 -80.231943
2014.064569 -82.207902 -80.251546
2014.084589 -82.230292 -80.273505
2014.101473 -82.220061 -80.293500
2014.120295 -82.178081 -80.316867
2014.203743 -81.516125 -80.435751
2014.223022 -81.276148 -80.466906
2014.241959 -81.032046 -80.498640
2014.259812 -80.798990 -80.529512
2014.278748 -80.553533 -80.563477
2014.295175 -80.341788 -80.593997
2014.314340 -80.091588 -80.630412
2014.337441 -79.777855 -80.675652
2014.584932 -78.506656 -81.215264
2014.606948 -78.887672 -81.264141
2014.623490 -79.167096 -81.300524
2014.642198 -79.437925 -81.341084
2014.661705 -79.669152 -81.382769
2014.678988 -79.830621 -81.419154
2014.698267 -79.953355 -81.458873
2014.717546 -80.039824 -81.497465
2014.736483 -80.123935 -81.534389
2014.756960 -80.237717 -81.573116
2014.776125 -80.387225 -81.608175
2014.795290 -80.618290 -81.641663
2014.814569 -80.938376 -81.673805
2014.833505 -81.325503 -81.703972
2014.837784 -81.423804 -81.710573
2014.851130 -81.742093 -81.730836
2014.873147 -82.337411 -81.762291
2014.889574 -82.817087 -81.783835
2014.929445 -83.977369 -81.831235
2014.951119 -84.570426 -81.853620
2015.276467 -82.839809 -81.876705
2015.295746 -82.405901 -81.861247
2015.314455 -82.006651 -81.844699
2015.354325 -81.173852 -81.804765
2015.373376 -80.765624 -81.783903
2015.392198 -80.351299 -81.762292
2015.411934 -79.906498 -81.738383
2015.429673 -79.516565 -81.716048
2015.448267 -79.132327 -81.692019
2015.467432 -78.778107 -81.666617
2015.620524 -79.120358 -81.452428
2015.640031 -79.369359 -81.425494
2015.658968 -79.573525 -81.399831
2015.676478 -79.715426 -81.376667
2015.695758 -79.834420 -81.351723
2015.714808 -79.917068 -81.327748
2015.733973 -79.974848 -81.304496
2015.754450 -80.038858 -81.280824
2015.773387 -80.120423 -81.259950
2015.792438 -80.232511 -81.239940
2015.811717 -80.383243 -81.220763
2015.830768 -80.579971 -81.203233
2015.848963 -80.797477 -81.187760
