# x_interp smoothed_curve trend
2012.646761 -73.280984 -74.851579
2012.683550 -73.221097 -75.004391
2013.339266 -81.519391 -79.012830
2013.452715 -80.801480 -79.782037
2013.491045 -80.274420 -80.033443
2013.530573 -79.913196 -80.285795
2013.569017 -79.654448 -80.522682
2013.605579 -79.363674 -80.740875
2013.644023 -79.046682 -80.962435
2013.680813 -78.809144 -81.166127
2013.719142 -79.135576 -81.365623
2013.758670 -80.054096 -81.560817
2013.796886 -81.313893 -81.738853
2013.872120 -83.587045 -82.055287
2013.910564 -83.853187 -82.197255
2013.991159 -83.283731 -82.456934
2014.025097 -82.966997 -82.551132
2014.063541 -82.756257 -82.643025
2014.183550 -81.828425 -82.858827
2014.297000 -82.077933 -82.964341
2014.374858 -82.848520 -82.992474
2014.413188 -82.968323 -82.993342
2014.449977 -83.082807 -82.988238
2014.491159 -83.310511 -82.976950
2014.527835 -83.606849 -82.962600
2014.566165 -83.903833 -82.943416
2014.641399 -83.519078 -82.897740
2014.716405 -82.726851 -82.848160
2014.756046 -82.980824 -82.822607
2014.794262 -83.584688 -82.799619
2014.832706 -84.251917 -82.778690
2014.869496 -84.721126 -82.761132
2014.907826 -84.606561 -82.747208
2014.985684 -83.443939 -82.733584
2015.135809 -81.712765 -82.774252
2015.180927 -81.170342 -82.806176
2015.219257 -80.800342 -82.840277
2015.255932 -80.682780 -82.879588
2015.294148 -80.809258 -82.928160
2015.369382 -81.055335 -83.040695
2015.410450 -81.067864 -83.111407
2015.447240 -81.241186 -83.181024
2015.485570 -81.824193 -83.257845
2015.563427 -83.958263 -83.424860
2015.638547 -85.562080 -83.596738
2015.713667 -85.808621 -83.771893
2015.753194 -85.768781 -83.863492
2015.791524 -85.765401 -83.950001
2015.829968 -85.581626 -84.034006
2015.866758 -85.166114 -84.111262
2015.905088 -84.458952 -84.187879
2015.944502 -83.652846 -84.260315
2015.982946 -83.325773 -84.324169
2016.019622 -83.500132 -84.379074
2016.057951 -84.134605 -84.429789
2016.094856 -85.024742 -84.470841
2016.133185 -85.725631 -84.503420
2016.175451 -86.110235 -84.529599
2016.213781 -86.122086 -84.543893
2016.250342 -85.904883 -84.549621
2016.288787 -85.433712 -84.544315
2016.327116 -84.654697 -84.528917
2016.385809 -82.938087 -84.488830
2016.405088 -82.322192 -84.470585
2016.441764 -81.165570 -84.430712
2016.480094 -80.589359 -84.378734
2016.519622 -80.681031 -84.317623
2016.558066 -81.334788 -84.251289
2016.594627 -82.318161 -84.182646
2016.633185 -83.469672 -84.103285
2016.669975 -84.533381 -84.023087
2016.708191 -85.643686 -83.936466
2016.750457 -86.853600 -83.837340
2016.785935 -87.772458 -83.752288
2016.824493 -88.098747 -83.659026
2016.861168 -87.633377 -83.570771
2016.899498 -86.392800 -83.479670
2016.939026 -84.427995 -83.387818
2016.977356 -82.505567 -83.302893
2017.014260 -81.263092 -83.225432
2017.052590 -80.620279 -83.149700
2017.127710 -81.141559 -83.019173
2017.172713 -81.971295 -82.955281
2017.210929 -82.747527 -82.910155
2017.249259 -83.503721 -82.872867
2017.286049 -84.136881 -82.844589
2017.324379 -84.404670 -82.825879
2017.363906 -84.087112 -82.816774
2017.402236 -83.368976 -82.816874
2017.439026 -82.483332 -82.824811
2017.477356 -81.627007 -82.842058
2017.536163 -81.120507 -82.886994
2017.574379 -81.134199 -82.925735
2017.600103 -81.146609 -82.957173
2017.630333 -81.160807 -82.995832
2017.667123 -81.165268 -83.050068
2017.746407 -82.167497 -83.182298
2017.824379 -84.431684 -83.327255
2017.858659 -85.053844 -83.394295
2017.896875 -85.253243 -83.469460
2017.936288 -84.968797 -83.546951
2017.974618 -84.403646 -83.621577
2018.011522 -84.022559 -83.691196
2018.052476 -83.917805 -83.765402
2018.086642 -83.990450 -83.824378
2018.124972 -84.159422 -83.886996
2018.169861 -84.292835 -83.953809
2018.213781 -84.413916 -84.010973
2018.246407 -84.574785 -84.047821
2018.286049 -84.762686 -84.087379
2018.321527 -84.870111 -84.117606
2018.361168 -84.670494 -84.143300
2018.399498 -84.212203 -84.160830
2018.439026 -83.762132 -84.172500
2018.474618 -83.524383 -84.177762
2018.514146 -83.660050 -84.177321
2018.552590 -84.142368 -84.169655
2018.589152 -84.504721 -84.157936
2018.665925 -84.571158 -84.121096
2018.702601 -84.362322 -84.097655
2018.741045 -84.378775 -84.070694
2018.780459 -84.605652 -84.041276
2018.818903 -84.906940 -84.011461
2018.894137 -84.466252 -83.952931
2018.933665 -83.598778 -83.923932
2019.008670 -81.940359 -83.874865
2019.083790 -81.960869 -83.840371
2019.122234 -82.367759 -83.828807
2019.169975 -83.067120 -83.821701
2019.205453 -83.669345 -83.821053
2019.243783 -84.464031 -83.827806
2019.318789 -85.659187 -83.857076
2019.361168 -85.676493 -83.883486
2019.396532 -85.115539 -83.911452
2019.433436 -84.211574 -83.946642
2019.471766 -83.306689 -83.988120
2019.511294 -82.594443 -84.036144
2019.552590 -82.240671 -84.091867
2019.586414 -82.183567 -84.142413
2019.624972 -82.187678 -84.203252
2019.663073 -82.350431 -84.266584
2019.700092 -82.743367 -84.330760
2019.738193 -83.807187 -84.399843
2019.777949 -85.324438 -84.473642
2019.816165 -86.786289 -84.545751
2019.850217 -87.879315 -84.610616
2019.891285 -88.219617 -84.689225
2019.930813 -87.600238 -84.764486
2019.969142 -86.631851 -84.836702
2020.005932 -85.639656 -84.905087
2020.044376 -84.795813 -84.975305
2020.082592 -84.389807 -85.042899
2020.119382 -84.187872 -85.106221
2020.160450 -84.151206 -85.174816
2020.199977 -84.307860 -85.238628
2020.238307 -84.703590 -85.298254
2020.275097 -85.261528 -85.353069
2020.313313 -85.729302 -85.408289
2020.352955 -85.931030 -85.463759
2020.391171 -85.724676 -85.515671
2020.428075 -85.134781 -85.564180
2020.466290 -84.577020 -85.613482
2020.505932 -84.198703 -85.663915
2020.544262 -84.082272 -85.712252
2020.582478 -84.151928 -85.760315
2020.619496 -84.207144 -85.807233
2020.657598 -84.339066 -85.856126
2020.694616 -84.662724 -85.904397
2020.732718 -85.412734 -85.955177
2020.772245 -86.827182 -86.009743
2020.810575 -88.256851 -86.064331
2020.847479 -89.351897 -86.118494
2020.885809 -89.918534 -86.176524
2020.925337 -89.510134 -86.238864
2020.963781 -88.620266 -86.301732
2021.000457 -87.713222 -86.363441
2021.038901 -86.865727 -86.429868
2021.077116 -86.268266 -86.497725
2021.114020 -85.847867 -86.565079
2021.152236 -85.479205 -86.635943
2021.197240 -85.205560 -86.720679
2021.235570 -85.177983 -86.793600
2021.310575 -85.661953 -86.937064
2021.350103 -85.750055 -87.012198
2021.388433 -85.611317 -87.084341
2021.425223 -85.291287 -87.152734
