# x_interp smoothed_curve trend
2012.646761 -73.650105 -75.058097
2012.683550 -73.204289 -75.213637
2013.452715 -80.435250 -79.744620
2013.491045 -80.097860 -79.966790
2013.530573 -79.998962 -80.189660
2013.569017 -79.996528 -80.397184
2013.605579 -79.565924 -80.585639
2013.657712 -78.660481 -80.841318
2013.680813 -78.217468 -80.950300
2013.719142 -78.410900 -81.119379
2013.758670 -79.379320 -81.284783
2013.796886 -81.100753 -81.435846
2013.872120 -83.622802 -81.695650
2013.910564 -83.837483 -81.815638
2013.991159 -82.727573 -82.027246
2014.025097 -82.523192 -82.105031
2014.063541 -82.663166 -82.182634
2014.183550 -81.554765 -82.367656
2014.297000 -81.271426 -82.472835
2014.374858 -81.665926 -82.514877
2014.491159 -82.352790 -82.548452
2014.527835 -83.146219 -82.554259
2014.566165 -84.049095 -82.559079
2014.641399 -83.601179 -82.567003
2014.716405 -82.296009 -82.577370
2014.756046 -82.650382 -82.585657
2014.794262 -83.484570 -82.595633
2014.832706 -84.599236 -82.608525
2014.869496 -84.881777 -82.624770
2014.907826 -84.649234 -82.644573
2014.985684 -83.046758 -82.697873
2015.135809 -81.974237 -82.853716
2015.180927 -81.266718 -82.914345
2015.219257 -80.715897 -82.970466
2015.255932 -80.784949 -83.029679
2015.294148 -81.037121 -83.094435
2015.369382 -81.438092 -83.232987
2015.410450 -81.358616 -83.313880
2015.447240 -81.355610 -83.388486
2015.485570 -81.995749 -83.468835
2015.563427 -84.489660 -83.635798
2015.638547 -85.606807 -83.798207
2015.713667 -85.260920 -83.957381
2015.753194 -85.641949 -84.037319
2015.791524 -86.139268 -84.112099
2015.829968 -86.589735 -84.184251
2015.905088 -85.217595 -84.310282
2015.944502 -83.977346 -84.369278
2015.982946 -83.090121 -84.420545
2016.019622 -83.286787 -84.461968
2016.057951 -83.948740 -84.499886
2016.094856 -84.975972 -84.530064
2016.133185 -85.611123 -84.551507
2016.175451 -85.907044 -84.567309
2016.213781 -85.860081 -84.574389
2016.250342 -85.705310 -84.571421
2016.288787 -85.381736 -84.560332
2016.327116 -84.799484 -84.542482
2016.385809 -82.887197 -84.497542
2016.405088 -82.094700 -84.478326
2016.441764 -80.881015 -84.437790
2016.480094 -80.099897 -84.388829
2016.519622 -80.624962 -84.328723
2016.558066 -81.517961 -84.264880
2016.594627 -82.583566 -84.199797
2016.633185 -83.362187 -84.124110
2016.669975 -84.048107 -84.048189
2016.708191 -84.832058 -83.966289
2016.750457 -86.257420 -83.871579
2016.785935 -87.539308 -83.789890
2016.824493 -88.472839 -83.700271
2016.861168 -88.501873 -83.614373
2016.899498 -86.913318 -83.525257
2016.939026 -84.807203 -83.434682
2016.977356 -82.559470 -83.348441
2017.014260 -81.435362 -83.269391
2017.052590 -81.011963 -83.190786
2017.127710 -81.671672 -83.050106
2017.172713 -82.257296 -82.977353
2017.210929 -82.844245 -82.922295
2017.249259 -83.559024 -82.872918
2017.286049 -84.239560 -82.836117
2017.324379 -84.519329 -82.804032
2017.363906 -84.283151 -82.778272
2017.402236 -83.197579 -82.764019
2017.439026 -82.172644 -82.758433
