# x_interp smoothed_curve trend
2014.762207 -87.791664 -86.302706
2014.781372 -87.992532 -86.326961
2014.816736 -88.289301 -86.372627
2014.837213 -88.410378 -86.399694
2014.856492 -88.398393 -86.426134
2014.876228 -88.373602 -86.453295
2014.894936 -88.255020 -86.479968
2014.914215 -88.127008 -86.507512
2014.954199 -87.850048 -86.566562
2014.969827 -87.805240 -86.590404
2015.009583 -87.768822 -86.651816
2015.032285 -87.807360 -86.687516
2015.056469 -87.869366 -86.726468
2015.067078 -87.896567 -86.743555
2015.090521 -87.884228 -86.782110
2015.122919 -87.782365 -86.836014
2015.142541 -87.670804 -86.869005
2015.168493 -87.460872 -86.913307
2015.300537 -86.564498 -87.144348
2015.317421 -86.422069 -87.174447
2015.343145 -86.190010 -87.220335
2015.408739 -85.496078 -87.337622
2015.690053 -87.073870 -87.820361
2015.701347 -87.181041 -87.838167
2015.720969 -87.367237 -87.869103
2015.739906 -87.714873 -87.897949
2015.838012 -89.792816 -88.039971
2015.857405 -90.022638 -88.065746
2015.914786 -90.296168 -88.138838
2015.935034 -90.220914 -88.162621
2015.954199 -90.148141 -88.184887
2015.976216 -90.054788 -88.208913
2016.029776 -89.898724 -88.263710
2016.051564 -89.846460 -88.283639
2016.087669 -89.690541 -88.314695
2016.161477 -88.922720 -88.368340
2016.223250 -87.968326 -88.403231
2016.242758 -87.647643 -88.411919
2016.259469 -87.370853 -88.419235
2016.351587 -85.599392 -88.445216
2016.448610 -84.753229 -88.452674
2016.467660 -85.112540 -88.451483
2016.501598 -85.984414 -88.448246
2016.526467 -86.838488 -88.444807
2016.545632 -87.582333 -88.440925
2016.560006 -88.140643 -88.438008
2016.659310 -90.652555 -88.408550
2016.695301 -91.001857 -88.395004
2016.715037 -91.132657 -88.387136
2016.734316 -91.222617 -88.378939
2016.754564 -91.308795 -88.370218
2016.929102 -89.063749 -88.286868
2016.951462 -88.569380 -88.275923
2016.970398 -88.283608 -88.266759
2017.115390 -88.410553 -88.200999
2017.159310 -88.527870 -88.183533
2017.276810 -87.464729 -88.144550
2017.301222 -86.945891 -88.137983
2017.338468 -85.930833 -88.129188
2017.362881 -85.183253 -88.124214
2017.659424 -88.783717 -88.114837
2017.677049 -89.243795 -88.117083
2017.693590 -89.676815 -88.119857
2017.712641 -90.175563 -88.123062
2017.733402 -90.737856 -88.127259
2017.755021 -91.323443 -88.131792
2017.771334 -91.716656 -88.135817
2017.791753 -92.208842 -88.140854
2017.809778 -92.460155 -88.145950
2017.828715 -92.717661 -88.151328
2017.848392 -92.703478 -88.157552
2017.865619 -92.663384 -88.163065
2017.886608 -92.348298 -88.170368
2017.906915 -91.993005 -88.177544
2017.924425 -91.546946 -88.184270
2017.945301 -91.010269 -88.192307
2017.962870 -90.573204 -88.199552
2017.983973 -90.048703 -88.208270
2018.000515 -89.752921 -88.215513
2018.018710 -89.428756 -88.223484
2018.037076 -89.218687 -88.231834
2018.058294 -89.010963 -88.241572
2018.077573 -88.910247 -88.250690
2018.093830 -88.836596 -88.258413
2018.113109 -88.776273 -88.267721
2018.132274 -88.726658 -88.277030
2018.153264 -88.672439 -88.287300
2018.196328 -88.537368 -88.308377
2018.217090 -88.450021 -88.318488
2018.252397 -88.199648 -88.335379
2018.273044 -87.915629 -88.344896
2018.349192 -86.202880 -88.377710
2018.369839 -85.591768 -88.385828
2018.388889 -85.040026 -88.392536
2018.406801 -84.529309 -88.398801
2018.424425 -84.206281 -88.404020
2018.443705 -83.852900 -88.409730
2018.464123 -83.821407 -88.414468
2018.481920 -83.804464 -88.418557
2018.502397 -84.114708 -88.421755
2018.521448 -84.419533 -88.424642
2018.598050 -86.344379 -88.425955
2018.615733 -86.689520 -88.423536
2018.634669 -87.059116 -88.420945
2018.656915 -87.392332 -88.415528
2018.671688 -87.608727 -88.411815
2018.690853 -87.884317 -88.405007
2018.709903 -88.157363 -88.397894
2018.730665 -88.509555 -88.387860
2018.748233 -88.815337 -88.379045
2018.768710 -89.205676 -88.366448
2018.809207 -89.934268 -88.338073
2018.843944 -90.396346 -88.309102
2018.864363 -90.590280 -88.290561
2018.881932 -90.646114 -88.272474
2018.901325 -90.692412 -88.252215
2018.921688 -90.691693 -88.228675
2018.940624 -90.681999 -88.206370
2018.959903 -90.707176 -88.181505
2019.035137 -91.034957 -88.075129
2019.054302 -91.149217 -88.045702
2019.092688 -91.218605 -87.983417
2019.110257 -91.127959 -87.953609
2019.148701 -90.746909 -87.886822
2019.175908 -90.318731 -87.838322
2019.193590 -89.951224 -87.806093
2019.212755 -89.548813 -87.771133
2019.233174 -89.056849 -87.733451
2019.250971 -88.624827 -87.700609
2019.268596 -88.148062 -87.668098
2020.107519 -87.928014 -87.799445
2020.128052 -88.285561 -87.865956
2020.147217 -88.552349 -87.931658
2020.170432 -88.853975 -88.012409
2020.189483 -88.996753 -88.082752
2020.208648 -89.140386 -88.153516
2020.246978 -89.183783 -88.302155
2020.263349 -89.068649 -88.368183
2020.282171 -88.934760 -88.444126
2020.301222 -88.649733 -88.522957
2020.322097 -88.302795 -88.609792
2020.342574 -87.827601 -88.696697
2020.361625 -87.373745 -88.777701
2020.381247 -86.909492 -88.862258
2020.399841 -86.469654 -88.942418
2020.417580 -86.225720 -89.019331
2020.436745 -85.970232 -89.102447
2020.456138 -86.022886 -89.186424
2020.475189 -86.113214 -89.268904
2020.494354 -86.526407 -89.351205
2020.533767 -87.679918 -89.519010
2020.553047 -88.372060 -89.600363
2020.572097 -89.099875 -89.678941
2020.589836 -89.779728 -89.752025
2020.628166 -91.067176 -89.905389
2020.647217 -91.582118 -89.978950
2020.666496 -92.084804 -90.053002
2020.684007 -92.460134 -90.117666
2020.722109 -93.186909 -90.254570
2020.741388 -93.506600 -90.321558
2020.781030 -93.950930 -90.451942
2020.800309 -93.985611 -90.511331
2020.819474 -93.988050 -90.569688
2020.839722 -93.766175 -90.627374
2020.875885 -93.147472 -90.725617
2020.894708 -92.714041 -90.774161
2021.125543 -91.806949 -91.188632
2021.173056 -91.907846 -91.237926
2021.186973 -91.838276 -91.250042
2021.206481 -91.737619 -91.266960
2021.225303 -91.508792 -91.280472
2021.244126 -91.279954 -91.293985
2021.262892 -90.918401 -91.304981
2021.281030 -90.567046 -91.315574
2021.299852 -90.083820 -91.324237
2021.319702 -89.561580 -91.333125
