# x_interp smoothed_curve trend
2005.333775 -80.191860 -78.235645
2005.429540 -79.645869 -78.120476
2005.467898 -78.094748 -78.074167
2005.492631 -76.997434 -78.044084
2005.509176 -76.313320 -78.023738
2005.525685 -75.632414 -78.003434
2005.547409 -75.021802 -77.976224
2005.563839 -74.559965 -77.955645
2005.698200 -76.103433 -77.778275
2005.736480 -77.350905 -77.725051
2005.813246 -78.900571 -77.615034
2005.832487 -79.035151 -77.586971
2005.870769 -78.962031 -77.530404
2005.928305 -79.052864 -77.444555
2005.947447 -79.185728 -77.415926
2005.966610 -79.447418 -77.387322
2005.988516 -79.738582 -77.354655
2006.013246 -80.001066 -77.318026
2006.024233 -80.117002 -77.301753
2006.046079 -80.034259 -77.269848
2006.062515 -79.972003 -77.245842
2006.081661 -79.548109 -77.218454
2006.100843 -79.122925 -77.191016
2006.120063 -78.491616 -77.164277
2006.142178 -77.777885 -77.133654
2006.177608 -76.775078 -77.086082
2006.215873 -76.366960 -77.036880
2006.235137 -76.539818 -77.013354
2006.257087 -76.764805 -76.986753
2006.273514 -77.067840 -76.967875
2006.350181 -77.742642 -76.885833
2006.369361 -77.613403 -76.866872
2006.388535 -77.113549 -76.849564
2006.410510 -76.512271 -76.829976
2006.446067 -75.227185 -76.801025
2006.484412 -73.961755 -76.773225
2006.522751 -73.203008 -76.748804
2006.544737 -73.138586 -76.736685
2006.583185 -73.360213 -76.717315
2006.599513 -73.559717 -76.709664
2006.618674 -73.994836 -76.702158
2006.637924 -74.432336 -76.694621
2006.678976 -75.555269 -76.681619
2006.752913 -77.130910 -76.664660
2006.772144 -77.223637 -76.661625
2006.791261 -77.315317 -76.658609
2006.810483 -77.203167 -76.656259
2006.829640 -77.090889 -76.653919
2006.848864 -76.935629 -76.652047
2006.868067 -76.780889 -76.650178
2006.906395 -76.811785 -76.647008
2006.925550 -77.121402 -76.645497
2006.944766 -77.432378 -76.643981
2006.974895 -78.268452 -76.641420
2007.081718 -79.538899 -76.628532
2007.098175 -79.303455 -76.625916
2007.139271 -78.010116 -76.617609
2007.155708 -77.478060 -76.613587
2007.232411 -76.218559 -76.590919
2007.270753 -76.532122 -76.576556
2007.309115 -77.022747 -76.560122
2007.331084 -77.230923 -76.549977
2007.350190 -77.163941 -76.540294
2007.407726 -76.247572 -76.509054
2007.443339 -75.214773 -76.487786
2007.520122 -73.773694 -76.438103
2007.654359 -76.116781 -76.346488
2007.750213 -78.038977 -76.285646
2007.826939 -77.523677 -76.245378
2007.870793 -76.865579 -76.227395
2007.884471 -76.747620 -76.222785
2007.903704 -76.582639 -76.216308
2007.974825 -77.229580 -76.202272
2008.076036 -76.897959 -76.206794
2008.114219 -75.533313 -76.216454
2008.136153 -74.619259 -76.223609
2008.152565 -74.030238 -76.230712
2008.171649 -73.345339 -76.238971
2008.229017 -73.286413 -76.272660
2008.343784 -77.447917 -76.367381
2008.362923 -77.956034 -76.386139
2008.420310 -77.682104 -76.448895
2008.439458 -77.308880 -76.470919
2008.469477 -76.475151 -76.507479
2008.480413 -76.173751 -76.520914
2008.515923 -75.324546 -76.566378
2008.537790 -75.058838 -76.595378
2008.556906 -74.860761 -76.620836
2008.595120 -75.029563 -76.673119
2008.614308 -75.369383 -76.699876
2008.671757 -76.723136 -76.780662
2008.688092 -77.159733 -76.803834
2008.726355 -78.028161 -76.858078
2008.745551 -78.369437 -76.885271
2008.786407 -78.461354 -76.942756
2008.802840 -78.222519 -76.965598
2008.824655 -77.901893 -76.995910
2008.882026 -76.751398 -77.073887
2008.898937 -76.482133 -77.096581
2008.918059 -76.477651 -77.121746
2008.994093 -77.752435 -77.219486
2009.013314 -78.298956 -77.243595
2009.032435 -78.727002 -77.267135
2009.070811 -79.266876 -77.313851
2009.109153 -79.182945 -77.359711
2009.131022 -78.946153 -77.385636
2009.185799 -78.373019 -77.449825
2009.204996 -78.316243 -77.472256
2009.254323 -78.950773 -77.530163
2009.262549 -79.114522 -77.539909
2009.281733 -79.496362 -77.562636
2009.301149 -79.740399 -77.586014
2009.320108 -79.955978 -77.608902
2009.511884 -72.579843 -77.866097
2009.550244 -71.912188 -77.925330
2009.665322 -75.708836 -78.124109
2009.876199 -81.389771 -78.581390
2009.914589 -80.717933 -78.677449
2010.010493 -80.032534 -78.932324
2010.051596 -79.745299 -79.047418
