# x_interp smoothed_curve trend
2005.281495 -84.232712 -88.354983
2005.338929 -83.703280 -88.163690
2005.358151 -83.719579 -88.101979
2005.377355 -83.851489 -88.042475
2005.415664 -84.246145 -87.927097
2005.451223 -84.726046 -87.824407
2005.473252 -85.108857 -87.763266
2005.527968 -86.465615 -87.616225
2005.569151 -88.055016 -87.510988
2005.588293 -88.838450 -87.463759
2005.607432 -89.621765 -87.416542
2005.626585 -90.169856 -87.370468
2005.684235 -90.798476 -87.234298
2005.722572 -90.009428 -87.146001
2005.741724 -89.451196 -87.102319
2005.760940 -88.809083 -87.058823
2005.895177 -88.533971 -86.757909
2005.914479 -88.897892 -86.714650
2005.936252 -89.301478 -86.665833
2005.952599 -89.368479 -86.629054
2005.971866 -89.390505 -86.585672
2006.010394 -88.835490 -86.498595
2006.029481 -88.388888 -86.455330
2006.048573 -87.823261 -86.411947
2006.067898 -87.250578 -86.368002
2006.089770 -86.601899 -86.318168
2006.106149 -86.131195 -86.280849
2006.125415 -85.665958 -86.236959
2006.144553 -85.204038 -86.193360
2006.163739 -84.845410 -86.149818
2006.221218 -83.939361 -86.020073
2006.275980 -83.570200 -85.898877
2006.297930 -83.600966 -85.851261
2006.355426 -84.007586 -85.729965
2006.410150 -84.385245 -85.621168
2006.432066 -84.459118 -85.579035
2006.451315 -84.443516 -85.544329
2006.470411 -84.427560 -85.509910
2006.508877 -84.546134 -85.445539
2006.528054 -84.776456 -85.415821
2006.547255 -85.073491 -85.386940
2006.601943 -86.365439 -85.313971
2006.643029 -87.165975 -85.268603
2006.662188 -87.221443 -85.250972
2006.681393 -87.214725 -85.233894
2006.697846 -86.873527 -85.222466
2006.719663 -86.421109 -85.207313
2006.738916 -85.801552 -85.198490
2006.758097 -85.182091 -85.189744
2006.796511 -84.281619 -85.181080
2006.815826 -84.181211 -85.180612
2006.834895 -84.216305 -85.181549
2006.854106 -84.503014 -85.185364
2006.878868 -85.116141 -85.193062
2006.892500 -85.510366 -85.199478
2006.930780 -86.659810 -85.222900
2007.045885 -86.904655 -85.349593
2007.065078 -86.552417 -85.379499
2007.330712 -84.038915 -85.972464
2007.448548 -84.756590 -86.316324
2007.467751 -84.786663 -86.374707
2007.563556 -86.093694 -86.671181
2007.582753 -86.647675 -86.730984
2007.601925 -87.287445 -86.790605
2007.621178 -87.930392 -86.850473
2008.119446 -89.122250 -88.241283
2008.138754 -88.516123 -88.289408
2008.177004 -87.313156 -88.384764
2008.196097 -86.711514 -88.432372
2008.236988 -85.561681 -88.534998
2008.253360 -85.241804 -88.576578
2008.272558 -84.908643 -88.625478
2008.291604 -84.734310 -88.674541
2008.348860 -84.996149 -88.828521
2008.368156 -85.231802 -88.882415
