# x_interp smoothed_curve trend
2005.201142 -85.694627 -83.905970
2005.220767 -85.630220 -83.881643
2005.379252 -80.344695 -83.701012
2005.414973 -78.899934 -83.664024
2005.727283 -86.361948 -83.333962
2005.760712 -86.621427 -83.292413
2005.773820 -86.562875 -83.275222
2005.801027 -86.441354 -83.239541
2005.908695 -87.662743 -83.079120
2005.913508 -87.742329 -83.071588
2005.957420 -87.499792 -82.996848
2005.965658 -87.454291 -82.982826
2006.042399 -84.357823 -82.839313
2006.179224 -82.191443 -82.551573
2006.195776 -82.291367 -82.514361
2006.234132 -82.437481 -82.426518
2006.253368 -82.291406 -82.381827
2006.294235 -81.641679 -82.285885
2006.313356 -81.199511 -82.240575
2006.332667 -80.729034 -82.194741
2006.404119 -79.250450 -82.025658
2006.412329 -79.130908 -82.006523
2006.491876 -78.472167 -81.824933
2006.513337 -78.439050 -81.777098
2006.579281 -79.932916 -81.639567
2006.604005 -80.953940 -81.591765
2006.620396 -81.630825 -81.560074
2006.642504 -82.401735 -81.520771
2006.699658 -83.623181 -81.426649
2006.733524 -83.574205 -81.376330
2006.757382 -83.044776 -81.346899
2006.771575 -82.704860 -81.329695
2006.809313 -82.032866 -81.289705
2006.831298 -81.772728 -81.269670
2006.853196 -81.691852 -81.252366
2006.924743 -82.257664 -81.218727
2006.971119 -82.019016 -81.212923
2007.007268 -81.219134 -81.216499
2007.026142 -80.702258 -81.224260
2007.157563 -81.148426 -81.328801
2007.176484 -81.823244 -81.351111
2007.384970 -80.974999 -81.737071
2007.623383 -82.480101 -82.353113
2007.656583 -84.442335 -82.442843
2007.713423 -86.188972 -82.593799
2007.730023 -86.260568 -82.636807
2007.787671 -85.275176 -82.781260
2007.806735 -84.835348 -82.826588
2008.036752 -81.017629 -83.251378
2008.055783 -80.527892 -83.274109
2008.078486 -80.389622 -83.295307
2008.181552 -83.039054 -83.353140
2008.192452 -83.525421 -83.354634
2008.217175 -84.570519 -83.357036
2008.230789 -84.839722 -83.353154
2008.249772 -85.215105 -83.347740
2008.285699 -85.417278 -83.330593
2008.296828 -85.285252 -83.322639
2008.313069 -85.092559 -83.311031
2008.329539 -84.811526 -83.297062
2008.422103 -81.977725 -83.172918
2008.457369 -80.938502 -83.108000
2008.517864 -79.909816 -82.976861
2008.599727 -81.379552 -82.761700
2008.648622 -83.539815 -82.611378
2008.667834 -84.095969 -82.547913
2008.690507 -84.644451 -82.471383
2008.727933 -84.925311 -82.339848
2008.790927 -84.357276 -82.104609
2008.801571 -84.236331 -82.063570
2008.878415 -84.634994 -81.755971
2008.902787 -84.950700 -81.654676
2008.924750 -85.235192 -81.563397
2008.941266 -84.981267 -81.493618
2008.954928 -84.704827 -81.435742
2008.965714 -84.486555 -81.390045
2009.050561 -80.284841 -81.028439
2009.072565 -79.090449 -80.934730
2009.111339 -77.740148 -80.770667
2009.149167 -77.218940 -80.611883
2009.486064 -76.965870 -79.377045
2009.513394 -76.722389 -79.296225
2009.590192 -77.908607 -79.094305
