# x_interp smoothed_curve trend
2022.756164 -86.246222 -85.532553
2022.756164 -86.246222 -85.532553
2023.309589 -84.974647 -85.600310
2023.309589 -84.974647 -85.600310
2023.331507 -84.663125 -85.572999
2023.331507 -84.663125 -85.572999
2023.389041 -84.858881 -85.493655
2023.389041 -84.858881 -85.493655
2023.408219 -85.231241 -85.464889
2023.408219 -85.231241 -85.464889
2023.465753 -86.337463 -85.365369
2023.484932 -86.066443 -85.327559
2023.484932 -86.066443 -85.327559
2023.564384 -83.473735 -85.157629
2023.564384 -83.473735 -85.157629
2023.643836 -82.169202 -84.958608
2023.643836 -82.169202 -84.958608
2023.643836 -82.169202 -84.958608
2023.643836 -82.169202 -84.958608
2023.643836 -82.169202 -84.958608
2023.643836 -82.169202 -84.958608
2023.676712 -83.103232 -84.867682
2023.676712 -83.103232 -84.867682
2023.715068 -84.495092 -84.754727
2023.715068 -84.495092 -84.754727
2023.734247 -85.251489 -84.696871
2023.734247 -85.251489 -84.696871
2023.753425 -85.676758 -84.636280
2023.753425 -85.676758 -84.636280
2023.772603 -85.853751 -84.573635
2023.772603 -85.853751 -84.573635
2023.791781 -86.030745 -84.510990
2023.791781 -86.030745 -84.510990
2023.830137 -85.473693 -84.377519
2023.830137 -85.473693 -84.377519
2023.849315 -85.119257 -84.310102
2023.849315 -85.119257 -84.310102
2023.906849 -84.135903 -84.094286
2023.906849 -84.135903 -84.094286
2023.926027 -84.043639 -84.017395
2023.926027 -84.043639 -84.017395
2023.983562 -83.799251 -83.781340
2023.983562 -83.799251 -83.781340
2024.002732 -83.735369 -83.699778
2024.002732 -83.735369 -83.699778
2024.027322 -83.649362 -83.592496
2024.027322 -83.649362 -83.592496
2024.027322 -83.649362 -83.592496
2024.040984 -83.598735 -83.531030
2024.040984 -83.598735 -83.531030
2024.040984 -83.598735 -83.531030
2024.065574 -83.507611 -83.420398
2024.117486 -83.770504 -83.175582
2024.174863 -84.314824 -82.891610
2024.174863 -84.314824 -82.891610
2024.213115 -84.047805 -82.693082
2024.267760 -82.830244 -82.401260
2024.267760 -82.830244 -82.401260
