# x_interp smoothed_curve trend
2013.212185 -68.527602 -69.156713
2013.214009 -68.547235 -69.161111
2013.214694 -68.554609 -69.162763
2013.215151 -68.559528 -69.163864
2013.259469 -68.980119 -69.274200
2013.259698 -68.981830 -69.274799
2013.297343 -69.209883 -69.378067
2013.316850 -69.309130 -69.435561
2013.337213 -69.416374 -69.497411
2013.356606 -69.537018 -69.559017
2013.408739 -69.963455 -69.734751
2013.572668 -70.780038 -70.361269
2013.595769 -70.791684 -70.455548
2013.603982 -70.795901 -70.489088
2013.617101 -70.820553 -70.543057
2013.625885 -70.837059 -70.579193
2013.633985 -70.852280 -70.612516
2013.644936 -70.891378 -70.657659
2013.678874 -71.027981 -70.797378
2013.697810 -71.113676 -70.875077
2013.719371 -71.203931 -70.962936
2013.735912 -71.250641 -71.029695
2013.759583 -71.287784 -71.124428
2013.778178 -71.271735 -71.197697
2013.795175 -71.222518 -71.263637
2013.805899 -71.177595 -71.304827
2013.830425 -71.033347 -71.397167
2013.853412 -70.864466 -71.481528
2013.873033 -70.703808 -71.551787
2013.905659 -70.451139 -71.663712
2013.923284 -70.356448 -71.720898
2013.942335 -70.283000 -71.781382
2013.958762 -70.263938 -71.831499
2014.003765 -70.486131 -71.959023
2014.147331 -73.581114 -72.259921
2014.153149 -73.701283 -72.267792
2014.211500 -74.579522 -72.335995
2014.442677 -73.133016 -72.311721
2014.470170 -73.175190 -72.280041
2014.483288 -73.190667 -72.263290
2014.517340 -73.178601 -72.213886
2014.537076 -73.131829 -72.182506
2014.561146 -73.005322 -72.140196
2014.633756 -72.419998 -71.995755
2014.659082 -72.189681 -71.940080
2014.695415 -71.865494 -71.855671
2014.736483 -71.490168 -71.755838
2014.753994 -71.320300 -71.712234
2014.833163 -70.400735 -71.508931
2014.845312 -70.239520 -71.477301
2014.867672 -69.932118 -71.418972
2014.920660 -69.186115 -71.281416
2014.940168 -68.926600 -71.231336
2014.964238 -68.631489 -71.170102
2014.975531 -68.517621 -71.141791
2014.994696 -68.343173 -71.093993
2015.014374 -68.228267 -71.045757
2015.036619 -68.190803 -70.992297
2015.055556 -68.220491 -70.947501
2015.114820 -68.816416 -70.813748
2015.136037 -69.168247 -70.768375
2015.192677 -70.162605 -70.654314
2015.222565 -70.596521 -70.598412
2015.239335 -70.791340 -70.568381
2015.256617 -70.955111 -70.538388
2015.325520 -71.345563 -70.429729
2015.353297 -71.485916 -70.390637
2015.370638 -71.597713 -70.367993
2015.392541 -71.752967 -70.340500
2015.408853 -71.879965 -70.320922
2015.431155 -72.054962 -70.296120
2015.445643 -72.163144 -70.280569
2015.481350 -72.354853 -70.245906
2015.506503 -72.416144 -70.223726
2015.523501 -72.405413 -70.210110
2015.542552 -72.364233 -70.195759
2015.561260 -72.296880 -70.182504
2015.583163 -72.187308 -70.168800
2015.597936 -72.112033 -70.160079
2015.617215 -72.014507 -70.149805
2015.635923 -71.933416 -70.140896
2015.656116 -71.855844 -70.132038
2015.672827 -71.807716 -70.125860
2015.692221 -71.754240 -70.119371
2015.761636 -71.475559 -70.103977
2015.789471 -71.248858 -70.101049
2015.827916 -70.784959 -70.099851
2015.845540 -70.504893 -70.100536
2015.883528 -69.795946 -70.104210
2015.926250 -68.881191 -70.111980
2015.945301 -68.463216 -70.116973
2015.964466 -68.062377 -70.122644
2016.130904 -67.381701 -70.206004
2016.149841 -67.676931 -70.219593
2016.173741 -68.078890 -70.237709
2016.192791 -68.410720 -70.253025
2016.287190 -69.734497 -70.341893
2016.325634 -70.215906 -70.384198
2016.345883 -70.498988 -70.407528
2016.367672 -70.867829 -70.434058
2016.399955 -71.479448 -70.474945
2016.443020 -72.348156 -70.532894
2016.478041 -72.957885 -70.582767
2016.497206 -73.233804 -70.610795
2016.593259 -73.406740 -70.760959
2016.650412 -72.927877 -70.855498
2016.670889 -72.719095 -70.890038
2016.687430 -72.546312 -70.918073
2016.706366 -72.344998 -70.950280
2016.803503 -71.205005 -71.115451
2016.825406 -70.919334 -71.152130
2016.897331 -69.934729 -71.268848
2016.914329 -69.700161 -71.295438
2016.931840 -69.466933 -71.322143
2016.953629 -69.188057 -71.354780
2016.977698 -68.912127 -71.389649
2016.994811 -68.764236 -71.413361
2017.014945 -68.621996 -71.440704
2017.034224 -68.551678 -71.465809
2017.053503 -68.563971 -71.489752
2017.072668 -68.626291 -71.512846
2017.125771 -69.220537 -71.570369
2017.144936 -69.539236 -71.588723
2017.173626 -70.051030 -71.614190
2017.189939 -70.350359 -71.627786
2017.228383 -70.992586 -71.654977
2017.247206 -71.272889 -71.666687
2017.265059 -71.509191 -71.676239
2017.286619 -71.781822 -71.686713
2017.306241 -72.019090 -71.694734
2017.322554 -72.225348 -71.700173
2017.342917 -72.490455 -71.706164
2017.362310 -72.772032 -71.710083
2017.381361 -73.062090 -71.712925
2017.403264 -73.408115 -71.715011
2017.418151 -73.638876 -71.715168
2017.437316 -73.919871 -71.714851
2017.459104 -74.198751 -71.713178
2017.475646 -74.340811 -71.710764
2017.494811 -74.472139 -71.707511
2017.515173 -74.506835 -71.702817
2017.556127 -74.350415 -71.690929
2017.572668 -74.202768 -71.685135
2017.590407 -74.023196 -71.678544
2017.609458 -73.804758 -71.671010
2017.628623 -73.575924 -71.662859
2017.647902 -73.348525 -71.654431
2017.673855 -73.058384 -71.642630
2017.684578 -72.951015 -71.637625
2017.703743 -72.760257 -71.628679
2017.722908 -72.587430 -71.619715
2017.742073 -72.418612 -71.610848
2017.762435 -72.243729 -71.601536
2017.781600 -72.076948 -71.593187
2017.800651 -71.907531 -71.585152
2017.820044 -71.729639 -71.577362
2017.840179 -71.534121 -71.570035
2017.856834 -71.368271 -71.564285
2017.875771 -71.169236 -71.558574
2017.897788 -70.927888 -71.552876
2017.914215 -70.743537 -71.549049
2017.992187 -69.849349 -71.542298
2018.026239 -69.532016 -71.545051
2018.048142 -69.389923 -71.549058
2018.067307 -69.299608 -71.553629
2018.085046 -69.272493 -71.559511
2018.104096 -69.277017 -71.566940
2018.125885 -69.322314 -71.576822
2018.145164 -69.404311 -71.587689
2018.168265 -69.513793 -71.602329
2018.187430 -69.610248 -71.615728
2018.228383 -69.797807 -71.650172
2018.434578 -72.560555 -71.915097
2018.453857 -72.992348 -71.946451
2019.064569 -71.542525 -72.925848
2019.083734 -71.520822 -72.941190
2019.101244 -71.543829 -72.953644
2019.139574 -71.676460 -72.976855
2019.158739 -71.763507 -72.986104
2019.184578 -71.876343 -72.996260
2019.203857 -71.939130 -73.001903
2019.209218 -71.956590 -73.003473
2019.242187 -71.995444 -73.008750
2019.259812 -71.996251 -73.009603
2019.278863 -72.003781 -73.009465
2019.298027 -72.018610 -73.008171
2019.356720 -72.366930 -72.995157
2019.470284 -74.221587 -72.940031
2019.489335 -74.495890 -72.927737
2019.528863 -74.862728 -72.900005
2019.548027 -74.941627 -72.885749
2019.567192 -74.953961 -72.871008
2019.623147 -74.716809 -72.826032
2019.642312 -74.588037 -72.810287
2019.679102 -74.313837 -72.779991
2019.698381 -74.161547 -72.764235
2019.717432 -74.004455 -72.748833
2019.798027 -73.170456 -72.687713
2019.814455 -72.962349 -72.676195
2019.833620 -72.690479 -72.663617
2019.851244 -72.426643 -72.652587
2019.870409 -72.125075 -72.641163
2019.929102 -71.125015 -72.612009
2019.948267 -70.802721 -72.604583
2019.986597 -70.214708 -72.592378
2020.004222 -70.004766 -72.588373
2020.023387 -69.806327 -72.584679
2020.042552 -69.719065 -72.582789
2020.061717 -69.690952 -72.581730
2020.080882 -69.738065 -72.581727
2020.125885 -70.215337 -72.587260
2020.136837 -70.380791 -72.589482
2020.156001 -70.711338 -72.594637
2020.198267 -71.508615 -72.610081
2020.217432 -71.858238 -72.619293
2020.236597 -72.194732 -72.629337
2020.254222 -72.469795 -72.640119
2020.273387 -72.750952 -72.652744
2020.292552 -73.012462 -72.666358
2020.311717 -73.257587 -72.681636
2020.351244 -73.760164 -72.715980
2020.370409 -74.007438 -72.734606
2020.386837 -74.218706 -72.751006
2020.408739 -74.487889 -72.774493
2020.426364 -74.677936 -72.794309
2020.464694 -74.979838 -72.839955
2020.483859 -75.048343 -72.864086
2020.504222 -75.064066 -72.890505
2020.523387 -74.990840 -72.916534
2020.580882 -74.584563 -72.998333
2020.598507 -74.435819 -73.024448
2020.617672 -74.290898 -73.053616
2020.636837 -74.172075 -73.083244
2020.656001 -74.072822 -73.113215
2020.673626 -74.025926 -73.141421
2020.692791 -73.985327 -73.172297
2020.751484 -73.911527 -73.269050
2020.770649 -73.858517 -73.301199
2020.789814 -73.768617 -73.333555
2020.808979 -73.654868 -73.366029
2020.961956 -71.718488 -73.627548
2021.000286 -71.356860 -73.692595
2021.017911 -71.249809 -73.722383
2021.056241 -71.324330 -73.786566
2021.093031 -71.701108 -73.847506
2021.114934 -72.040558 -73.883458
2021.150526 -72.720044 -73.941219
2021.176364 -73.225800 -73.982677
2021.195529 -73.579980 -74.013169
2021.214694 -73.872658 -74.043340
2021.233859 -74.130721 -74.073346
2021.270649 -74.464851 -74.130167
2021.289814 -74.591950 -74.159484
2021.308979 -74.691941 -74.188434
2021.328144 -74.797886 -74.217205
2021.348507 -74.917438 -74.247565
2021.370409 -75.087067 -74.279807
2021.386837 -75.228804 -74.303842
2021.423626 -75.586931 -74.357046
2021.442791 -75.771910 -74.384499
2021.461956 -75.928874 -74.411679
2021.481121 -76.045225 -74.438675
2021.501484 -76.132465 -74.467202
2021.520649 -76.138711 -74.493784
2021.539814 -76.108641 -74.520227
2021.558979 -76.044018 -74.546538
2021.578144 -75.942401 -74.572614
2021.595769 -75.846307 -74.596513
2021.614820 -75.741321 -74.622185
2021.631361 -75.665755 -74.644354
2021.653264 -75.581507 -74.673599
2021.670889 -75.543716 -74.696975
2021.690053 -75.515675 -74.722305
2021.709218 -75.501261 -74.747544
2021.728383 -75.488309 -74.772637
2021.747548 -75.465859 -74.797666
2021.767911 -75.422503 -74.824159
2021.787076 -75.337830 -74.848983
2021.806241 -75.227111 -74.873755
2021.825406 -75.067508 -74.898440
2021.843031 -74.880108 -74.921078
2021.862196 -74.651811 -74.945654
2021.881361 -74.371181 -74.970140
2021.900526 -74.076762 -74.994586
2021.920889 -73.747002 -75.020512
2021.940053 -73.442437 -75.044839
2021.959218 -73.157415 -75.069139
2021.978383 -72.903679 -75.093396
2021.997548 -72.729065 -75.117605
2022.015173 -72.607154 -75.139849
2022.034338 -72.588938 -75.163991
2022.072668 -72.803949 -75.212196
2022.109458 -73.393870 -75.258343
2022.128623 -73.787250 -75.282350
2022.173626 -74.775551 -75.338621
2022.192791 -75.174059 -75.362556
2022.211956 -75.480979 -75.386462
2022.231121 -75.737361 -75.410358
2022.250286 -75.924328 -75.434242
2022.267911 -76.014806 -75.456181
2022.287076 -76.082901 -75.480027
2022.306241 -76.099476 -75.503863
2022.325406 -76.110871 -75.527688
2022.345769 -76.123639 -75.552995
2022.364934 -76.169293 -75.576801
2022.384099 -76.245870 -75.600604
2022.420889 -76.415529 -75.645985
