# x_interp smoothed_curve trend
2013.212185 -68.071217 -68.995144
2013.214009 -68.078865 -68.999324
2013.214694 -68.081737 -69.000893
2013.215151 -68.083653 -69.001940
2013.259469 -68.273651 -69.107164
2013.259698 -68.274667 -69.107738
2013.297343 -68.494456 -69.207299
2013.316850 -68.667385 -69.263183
2013.337213 -68.878179 -69.323511
2013.356606 -69.122694 -69.383918
2013.408739 -69.837216 -69.557555
2013.572668 -70.829220 -70.189519
2013.595769 -70.860431 -70.286254
2013.603982 -70.871622 -70.320677
2013.617101 -70.900299 -70.376366
2013.625885 -70.919501 -70.413653
2013.633985 -70.937207 -70.448036
2013.644936 -70.969827 -70.494869
2013.678874 -71.074581 -70.640172
2013.697810 -71.133183 -70.721315
2013.719371 -71.187938 -70.813500
2013.735912 -71.210573 -70.883831
2013.759583 -71.217531 -70.983946
2013.778178 -71.184421 -71.061759
2013.795175 -71.120821 -71.132065
2013.805899 -71.067310 -71.176095
2013.830425 -70.895519 -71.275231
2013.853412 -70.688523 -71.366274
2013.873033 -70.483380 -71.442462
2013.881361 -70.394263 -71.473921
2013.905659 -70.132964 -71.564753
2013.923284 -69.986882 -71.627816
2013.942335 -69.867892 -71.694742
2013.958762 -69.824886 -71.750549
2014.003765 -70.100028 -71.894156
2014.147331 -73.691571 -72.248981
2014.153149 -73.791613 -72.259041
2014.211500 -74.411973 -72.348973
2014.442677 -73.548987 -72.396512
2014.470170 -73.599385 -72.370910
2014.483288 -73.609090 -72.356852
2014.537076 -73.495097 -72.285416
2014.561146 -73.349975 -72.246290
2014.633756 -72.698493 -72.108054
2014.659082 -72.425840 -72.053287
2014.695415 -72.028113 -71.968802
2014.736483 -71.591202 -71.867220
2014.833163 -70.512887 -71.609276
2014.845312 -70.348796 -71.575590
2014.867672 -70.022943 -71.513129
2014.920660 -69.149106 -71.363791
2014.940168 -68.837832 -71.308783
2014.964238 -68.491903 -71.241086
2014.975531 -68.370780 -71.209528
2014.994696 -68.194506 -71.156125
2015.014374 -68.113545 -71.101817
2015.036619 -68.144770 -71.041189
2015.055556 -68.244499 -70.990112
2015.114820 -69.016892 -70.835468
2015.136037 -69.364809 -70.782265
2015.192677 -70.162761 -70.646716
2015.222565 -70.458794 -70.579267
2015.239335 -70.594184 -70.542735
2015.256617 -70.715826 -70.506037
2015.353297 -71.492835 -70.321484
2015.370638 -71.670401 -70.292520
2015.392541 -71.886486 -70.257173
2015.408853 -72.040776 -70.231849
2015.431155 -72.204830 -70.199464
2015.445643 -72.294009 -70.179073
2015.481350 -72.379678 -70.133104
2015.506503 -72.354693 -70.103389
2015.523501 -72.292129 -70.084975
2015.542552 -72.203060 -70.065461
2015.561260 -72.098099 -70.047338
2015.583163 -71.963630 -70.028410
2015.597936 -71.874767 -70.016313
2015.617215 -71.765193 -70.001951
2015.635923 -71.672392 -69.989406
2015.656116 -71.582031 -69.976864
2015.672827 -71.522602 -69.968019
2015.761636 -71.206351 -69.935923
2015.789471 -71.021238 -69.931291
2015.845540 -70.335552 -69.929481
