# x_interp smoothed_curve trend
2005.661060 -82.242167 -83.195665
2005.683400 -82.755661 -83.208889
2005.724080 -83.731784 -83.230345
2005.740990 -84.136047 -83.238137
2005.779370 -84.958968 -83.253411
2005.798560 -85.274420 -83.259679
2005.817830 -85.496367 -83.265011
2005.839470 -85.605302 -83.269751
2005.855910 -85.589932 -83.272493
2005.875050 -85.467443 -83.274649
2005.891380 -85.298156 -83.275666
2005.907940 -85.087458 -83.276007
2005.954930 -84.420123 -83.272601
2005.971560 -84.215623 -83.269999
2005.993700 -84.006727 -83.265273
2006.009950 -83.898511 -83.261032
2006.028440 -83.827492 -83.255283
2006.048000 -83.793580 -83.248348
2006.064500 -83.791303 -83.241833
2006.083220 -83.810819 -83.233768
2006.105170 -83.859546 -83.223397
2006.124740 -83.924876 -83.213453
2006.146710 -84.031082 -83.201558
2006.163100 -84.136136 -83.192278
2006.182320 -84.294992 -83.180995
2006.198390 -84.451183 -83.171333
2006.220660 -84.687043 -83.157718
2006.241990 -84.907210 -83.144550
2006.258500 -85.049186 -83.134366
2006.278040 -85.154303 -83.122422
2006.297100 -85.162408 -83.110987
2006.316030 -85.030396 -83.100028
2006.334980 -84.760769 -83.089546
2006.351970 -84.408953 -83.080659
2006.370760 -83.920160 -83.071462
2006.415150 -82.510339 -83.053217
2006.428630 -82.069701 -83.048644
2006.450690 -81.420667 -83.042791
2006.489000 -80.632613 -83.037274
2006.508320 -80.422365 -83.036917
2006.546480 -80.337424 -83.041521
2006.584860 -80.569058 -83.053969
2006.604040 -80.754640 -83.063377
2006.623580 -80.975498 -83.075585
2006.642370 -81.212229 -83.089759
2006.661620 -81.480637 -83.106687
2006.680860 -81.779098 -83.126144
2006.699970 -82.107146 -83.148040
2006.718720 -82.457083 -83.172045
2006.738380 -82.845917 -83.200005
2006.757390 -83.228369 -83.229720
2006.795800 -83.917191 -83.298889
2006.815110 -84.178248 -83.337900
2006.834420 -84.365556 -83.379729
2006.853510 -84.477101 -83.423829
2006.872980 -84.523925 -83.471604
2006.891860 -84.522176 -83.520562
2006.911040 -84.495545 -83.572940
2006.930370 -84.474677 -83.628670
2006.949440 -84.487763 -83.686260
2006.968870 -84.547948 -83.747380
2006.988040 -84.656957 -83.810038
2007.029070 -85.012348 -83.951539
2007.045530 -85.170370 -84.010834
2007.064450 -85.337352 -84.080736
2007.084090 -85.466211 -84.155280
2007.103500 -85.535731 -84.230604
2007.122180 -85.547254 -84.304432
2007.141150 -85.509230 -84.380560
2007.160330 -85.428202 -84.458554
2007.179810 -85.312867 -84.538646
2007.198750 -85.178541 -84.617176
2007.217980 -85.025157 -84.697389
2007.236960 -84.853329 -84.776854
2007.256200 -84.649535 -84.857431
2007.294540 -84.108278 -85.017243
2007.313710 -83.753390 -85.096368
2007.373530 -82.359042 -85.337141
2007.409610 -81.580845 -85.475636
2007.431320 -81.282161 -85.555852
2007.446460 -81.193339 -85.610094
2007.469710 -81.251209 -85.690753
2007.524780 -82.350686 -85.866914
2007.543860 -82.988548 -85.922113
2007.562960 -83.686340 -85.974146
2007.582140 -84.405493 -86.023146
2007.601300 -85.112393 -86.068709
2007.620650 -85.793031 -86.111171
2007.658810 -86.999313 -86.184068
2007.677980 -87.537337 -86.215072
2007.697200 -88.035069 -86.241759
2007.735400 -88.929330 -86.282812
2007.757470 -89.380787 -86.299404
2007.773860 -89.671568 -86.308196
2007.795950 -89.988460 -86.315371
2007.812250 -90.162169 -86.317518
2007.851120 -90.307671 -86.310362
2007.867240 -90.257643 -86.302205
2007.913330 -89.916342 -86.265293
2007.946600 -89.593625 -86.225519
2007.964670 -89.427508 -86.199857
2007.990040 -89.221982 -86.158461
2008.006470 -89.098898 -86.129278
2008.042390 -88.811393 -86.057115
2008.061530 -88.620495 -86.015146
2008.080760 -88.389451 -85.970692
2008.118920 -87.811601 -85.876480
2008.157360 -87.134341 -85.774701
2008.198370 -86.461306 -85.660739
2008.233660 -85.963364 -85.560090
2008.252680 -85.699531 -85.505407
2008.290980 -85.063772 -85.395447
2008.310010 -84.625743 -85.341458
2008.331570 -84.015893 -85.281137
2008.351200 -83.347758 -85.227335
2008.366010 -82.788314 -85.187598
2008.391530 -81.759022 -85.121048
2008.405530 -81.190561 -85.085692
2008.425150 -80.429510 -85.037816
