# x_interp smoothed_curve trend
2005.663519 -83.643526 -84.726376
2005.684300 -84.324617 -84.757969
2005.724949 -85.650747 -84.815815
2005.741854 -86.142071 -84.838203
2005.781404 -87.030778 -84.886787
2005.800581 -87.293492 -84.908300
2005.819837 -87.439105 -84.928516
2005.839810 -87.470321 -84.947955
2005.856237 -87.408751 -84.962583
2005.875364 -87.278592 -84.978334
2005.891682 -87.130350 -84.990635
2005.908226 -86.958193 -85.002129
2005.956384 -86.411470 -85.028937
2005.973001 -86.225754 -85.036197
2005.995132 -85.987731 -85.044030
2006.009829 -85.837163 -85.048167
2006.028309 -85.661880 -85.052229
2006.047854 -85.501901 -85.055245
2006.064344 -85.396726 -85.056814
2006.083051 -85.323202 -85.057530
2006.103442 -85.320195 -85.057028
2006.122999 -85.407816 -85.055384
2006.144953 -85.618709 -85.052298
2006.168006 -85.950438 -85.047811
2006.187209 -86.287346 -85.043164
2006.203275 -86.576525 -85.038737
2006.225529 -86.944014 -85.032028
2006.246955 -87.204666 -85.024990
2006.261918 -87.305601 -85.019837
2006.281446 -87.314806 -85.012907
2006.300489 -87.177458 -85.006041
2006.319401 -86.884476 -84.999250
2006.339543 -86.433084 -84.992213
2006.356518 -85.972073 -84.986567
2006.375293 -85.418467 -84.980703
2006.418120 -84.152869 -84.969566
2006.431591 -83.789740 -84.966767
2006.453636 -83.287612 -84.963453
2006.491919 -82.675005 -84.961502
2006.512424 -82.468724 -84.962698
2006.550554 -82.279823 -84.969778
2006.587363 -82.319371 -84.983164
2006.606538 -82.434536 -84.992975
2006.626066 -82.635691 -85.005383
2006.644835 -82.906315 -85.019577
2006.664080 -83.252010 -85.036384
2006.681762 -83.620281 -85.053934
2006.700860 -84.054950 -85.075184
2006.719597 -84.497244 -85.098418
2006.739247 -84.949858 -85.125452
2006.759433 -85.370728 -85.156141
2006.797826 -85.944425 -85.223372
2006.817114 -86.117776 -85.261209
2006.834756 -86.218312 -85.298202
2006.853838 -86.279613 -85.340741
2006.873298 -86.310427 -85.386861
2006.892158 -86.330330 -85.434120
2006.911333 -86.360773 -85.485003
2006.931838 -86.418572 -85.542358
2006.950898 -86.497398 -85.598304
2006.970320 -86.595572 -85.657728
2006.989476 -86.700661 -85.718665
2007.028937 -86.900308 -85.851057
2007.045383 -86.966731 -85.908636
2007.064291 -87.025352 -85.976838
2007.083922 -87.075206 -86.049483
2007.101775 -87.118806 -86.116995
2007.120446 -87.168534 -86.188862
2007.139401 -87.225895 -86.263030
2007.158566 -87.288464 -86.339103
2007.184705 -87.358195 -86.444383
2007.203636 -87.372587 -86.521365
2007.222849 -87.330176 -86.599952
2007.241928 -87.207878 -86.678261
2007.259620 -86.985733 -86.750919
2007.297927 -86.197482 -86.907487
2007.317086 -85.671250 -86.985021
2007.378060 -83.884324 -87.225434
2007.414118 -83.181118 -87.361000
2007.434271 -83.025778 -87.433832
2007.449405 -83.032229 -87.486933
2007.472639 -83.218042 -87.565875
2007.528874 -84.403840 -87.741478
2007.547940 -84.958862 -87.795437
2007.567019 -85.555618 -87.845936
2007.584654 -86.126476 -87.889693
2007.603800 -86.759682 -87.934091
2007.623136 -87.409287 -87.975411
2007.661266 -88.701467 -88.046150
2007.678887 -89.291134 -88.073822
2007.698094 -89.906212 -88.099758
2007.736262 -90.974486 -88.139660
2007.759515 -91.477648 -88.156341
2007.775894 -91.746014 -88.164489
2007.797969 -91.990929 -88.170801
2007.814262 -92.096499 -88.172364
2007.851452 -92.103470 -88.164324
2007.867556 -92.042314 -88.156061
2007.913614 -91.787018 -88.118501
2007.948065 -91.565255 -88.076869
2007.966117 -91.435867 -88.050877
2007.991471 -91.210771 -88.008971
2008.006368 -91.052435 -87.982138
2008.042360 -90.557872 -87.909736
2008.061544 -90.248128 -87.867590
2008.080811 -89.921359 -87.822956
2008.117512 -89.323840 -87.732277
2008.156028 -88.856996 -87.630078
2008.201060 -88.497794 -87.504663
2008.236424 -88.178322 -87.403418
2008.254058 -87.943501 -87.352570
2008.292436 -87.124481 -87.242116
2008.311498 -86.532997 -87.187921
2008.334302 -85.706842 -87.124008
2008.353971 -84.915052 -87.070078
2008.368809 -84.302465 -87.030280
2008.394384 -83.269858 -86.963630
2008.408414 -82.744713 -86.928263
2008.426532 -82.132693 -86.883989
2008.445280 -81.619436 -86.840283
2008.467287 -81.180199 -86.791702
2008.523244 -80.913624 -86.683652
2008.542495 -81.078989 -86.651889
2008.561580 -81.365825 -86.623360
2008.580671 -81.771522 -86.597883
2008.598328 -82.258237 -86.577386
2008.617546 -82.901713 -86.558515
2008.636730 -83.641991 -86.543074
2008.655781 -84.455055 -86.531160
2008.673497 -85.257233 -86.523127
2008.711882 -87.019664 -86.516107
2008.733851 -87.929077 -86.518863
2008.792350 -89.456619 -86.549626
2008.828247 -89.605834 -86.584793
2008.848638 -89.460080 -86.609998
2008.903252 -88.589165 -86.695579
2008.926258 -88.171692 -86.739041
2008.942904 -87.900821 -86.773294
2008.962089 -87.631768 -86.815066
2008.981034 -87.422578 -86.858762
2009.004325 -87.252976 -86.915723
2009.056781 -87.229342 -87.055161
2009.114793 -87.841427 -87.224056
2009.134487 -88.191942 -87.283885
2009.155838 -88.630272 -87.349807
2009.176362 -89.074552 -87.413948
2009.195689 -89.475835 -87.474816
2009.217712 -89.851718 -87.544481
2009.254300 -90.127111 -87.660106
2009.273233 -90.032383 -87.719468
2009.292750 -89.763934 -87.780100
2009.309015 -89.418847 -87.830071
2009.328170 -88.889171 -87.888121
2009.348362 -88.226236 -87.948161
2009.367706 -87.545705 -88.004446
2009.376191 -87.256518 -88.028422
2009.406009 -86.315209 -88.111121
2009.423691 -85.880187 -88.158134
2009.442808 -85.532238 -88.207274
2009.481129 -85.256953 -88.299907
2009.504229 -85.355412 -88.351432
2009.520400 -85.507480 -88.385772
2009.539736 -85.783946 -88.424162
2009.558986 -86.121900 -88.459905
2009.578353 -86.510533 -88.493315
2009.595852 -86.894870 -88.521259
2009.614761 -87.338764 -88.549048
2009.632679 -87.781195 -88.573091
2009.653490 -88.315356 -88.597849
2009.670877 -88.766523 -88.615810
2009.690080 -89.251279 -88.633063
2009.709578 -89.709594 -88.647791
2009.728581 -90.102204 -88.659432
2009.768242 -90.670436 -88.675144
2009.789603 -90.804956 -88.678762
2009.806091 -90.836691 -88.679590
2009.824974 -90.779125 -88.677592
2009.841431 -90.681572 -88.673784
2009.862555 -90.521772 -88.666422
2009.900602 -90.219090 -88.645761
2009.940480 -89.996623 -88.614407
2009.976783 -89.890886 -88.577535
2009.997368 -89.837480 -88.553409
2010.015000 -89.777586 -88.530977
2010.034745 -89.686730 -88.504111
2010.053330 -89.574479 -88.477196
2010.073066 -89.428643 -88.446938
2010.090643 -89.282892 -88.418694
2010.128661 -88.964233 -88.353061
2010.147786 -88.821016 -88.318169
2010.193275 -88.513211 -88.230707
2010.212354 -88.363140 -88.192298
2010.230967 -88.177184 -88.153995
2010.268195 -87.623667 -88.075198
2010.287131 -87.222404 -88.034086
2010.306525 -86.729416 -87.991330
2010.405857 -84.162684 -87.765451
2010.420725 -83.938454 -87.730965
2010.439823 -83.787731 -87.686467
2010.459026 -83.770696 -87.641579
2010.478149 -83.867119 -87.596787
2010.517748 -84.342027 -87.503899
2010.537226 -84.667394 -87.458216
2010.556306 -85.020240 -87.413511
2010.575233 -85.392565 -87.369237
2010.595653 -85.813635 -87.321591
2010.612394 -86.174412 -87.282662
2010.637168 -86.727321 -87.225254
2010.650771 -87.041279 -87.193893
2010.687171 -87.877068 -87.110450
2010.725529 -88.652410 -87.023503
2010.744919 -88.934537 -86.980026
2010.784108 -89.195319 -86.893204
2010.803549 -89.161343 -86.850704
2010.881416 -88.313864 -86.684918
2010.897405 -88.114773 -86.651950
2010.918320 -87.900035 -86.609388
2010.937266 -87.766197 -86.571476
2010.959131 -87.685713 -86.528492
2010.977877 -87.677767 -86.492370
2011.012272 -87.771316 -86.427857
2011.034194 -87.884143 -86.388187
2011.050840 -87.985446 -86.358918
2011.069557 -88.108956 -86.326816
2011.125997 -88.536334 -86.235824
2011.144972 -88.689900 -86.207370
2011.190099 -88.965715 -86.144861
2011.231110 -88.888023 -86.094522
2011.247347 -88.685454 -86.076677
2011.265704 -88.338363 -86.057746
2011.283651 -87.871255 -86.040627
2011.303815 -87.201836 -86.023132
2011.322961 -86.450240 -86.008265
2011.346109 -85.440981 -85.992820
2011.366899 -84.514527 -85.981214
2011.381216 -83.895862 -85.974490
2011.418369 -82.555715 -85.962587
2011.437228 -82.060220 -85.959400
2011.456602 -81.700866 -85.958201
2011.475986 -81.493676 -85.959144
2011.494618 -81.426451 -85.962054
2011.514974 -81.496036 -85.967754
