# x_interp smoothed_curve trend
2012.716975 -90.875480 -89.199419
2012.736254 -91.095713 -89.170581
2013.353754 -87.983905 -88.239156
2013.372805 -87.666451 -88.224675
2013.467204 -85.420428 -88.181694
2013.486140 -85.047647 -88.178429
2013.506503 -84.801914 -88.177706
2013.525554 -84.720843 -88.179219
2013.563884 -84.923880 -88.187739
2013.583505 -85.240493 -88.195866
2013.600902 -85.574134 -88.204530
2013.620067 -85.996651 -88.215819
2013.639346 -86.447175 -88.229980
2013.658511 -86.881431 -88.245709
2013.676250 -87.269445 -88.261582
2013.714352 -87.925428 -88.302627
2013.733402 -88.179282 -88.325383
2013.753879 -88.364810 -88.352158
2013.773044 -88.460572 -88.379064
2013.792095 -88.499758 -88.407076
2013.811374 -88.474272 -88.436853
2013.830653 -88.365517 -88.468481
2013.848164 -88.233790 -88.498076
2013.867672 -88.050983 -88.532033
2013.886608 -87.853468 -88.566510
2013.905773 -87.675334 -88.602118
2013.926250 -87.523389 -88.640965
2013.945643 -87.462914 -88.678586
2013.964352 -87.517794 -88.715445
2014.020192 -88.280984 -88.827084
2014.039586 -88.736321 -88.866023
2014.058979 -89.254699 -88.904873
2014.075064 -89.713192 -88.936732
2014.095540 -90.284453 -88.976936
2014.114820 -90.802889 -89.014329
2014.152921 -91.626398 -89.085414
2014.236140 -92.582437 -89.225451
2014.253765 -92.649688 -89.251861
2014.330425 -92.032891 -89.347417
2014.367101 -91.075532 -89.381132
2014.389004 -90.336839 -89.397730
2014.408283 -89.601769 -89.408995
2014.425793 -88.941524 -89.417323
2014.445073 -88.233962 -89.424587
2014.483402 -87.199744 -89.429884
2014.523044 -86.776948 -89.425176
2014.581110 -87.472153 -89.396897
2014.597822 -87.839721 -89.383660
2014.617329 -88.260638 -89.366260
2014.636608 -88.659448 -89.346864
2014.655545 -88.962274 -89.324533
2014.673056 -89.159650 -89.301865
2014.686973 -89.276440 -89.282870
2014.730550 -89.232329 -89.213788
2014.751027 -89.084941 -89.177660
2014.770078 -88.896683 -89.142000
2014.808408 -88.484657 -89.063568
2014.864477 -88.123737 -88.936909
2014.902921 -88.227421 -88.843169
2014.923512 -88.447933 -88.790987
2014.942677 -88.734902 -88.741603
2014.978041 -89.484455 -88.648436
2015.017797 -90.465984 -88.541997
2015.036734 -90.881245 -88.490977
2015.056013 -91.223538 -88.439134
2015.093031 -91.529451 -88.340311
2015.112082 -91.447632 -88.290221
2015.130904 -91.241970 -88.241256
2015.176136 -90.148548 -88.127634
2015.195073 -89.556020 -88.082078
2015.214466 -88.919569 -88.036571
2015.233402 -88.292216 -87.993797
2015.269850 -87.159877 -87.916312
2015.327573 -85.565796 -87.808443
