# x_interp smoothed_curve trend
2012.716975 -90.441614 -88.825024
2012.736254 -90.635365 -88.817752
2013.467204 -87.062122 -88.405955
2013.486140 -86.496935 -88.401928
2013.506503 -85.977807 -88.399004
2013.525554 -85.626787 -88.397417
2013.563884 -85.312836 -88.397164
2013.583505 -85.427487 -88.399126
2013.600902 -85.614245 -88.401702
2013.620067 -85.914826 -88.405552
2013.639346 -86.298691 -88.411101
2013.658511 -86.690464 -88.417627
2013.676250 -87.056992 -88.424476
2013.714352 -87.712884 -88.443624
2013.733402 -87.974818 -88.454664
2013.753879 -88.176738 -88.468090
2013.773044 -88.297789 -88.481939
2013.792095 -88.370510 -88.496605
2013.811374 -88.389637 -88.512473
2013.830653 -88.338219 -88.529727
2013.848164 -88.261090 -88.546073
2013.867672 -88.141202 -88.565053
2013.886608 -87.994732 -88.584725
2013.905773 -87.856017 -88.605263
2013.926250 -87.730720 -88.627926
2013.945643 -87.674026 -88.650189
2013.964352 -87.716654 -88.672288
2014.020192 -88.405053 -88.740589
2014.039586 -88.830539 -88.764898
2014.058979 -89.318389 -88.789367
2014.075064 -89.741152 -88.809710
2014.095540 -90.251468 -88.835544
2014.114820 -90.691699 -88.859774
2014.152921 -91.221801 -88.906635
2014.236140 -91.172231 -89.001635
2014.253765 -91.051178 -89.020002
2014.292095 -90.761145 -89.056386
2014.311146 -90.602890 -89.072952
2014.330425 -90.418628 -89.088395
2014.350902 -90.159989 -89.102982
2014.367101 -89.916582 -89.113575
2014.389004 -89.519527 -89.126309
2014.408283 -89.090324 -89.135285
2014.425793 -88.683722 -89.142140
2014.445073 -88.228039 -89.148386
2014.523044 -87.190790 -89.153414
2014.581110 -87.812601 -89.136291
2014.597822 -88.143319 -89.127539
2014.617329 -88.520416 -89.115831
2014.636608 -88.874773 -89.102571
2014.655545 -89.130392 -89.086993
2014.673056 -89.280529 -89.070989
2014.686973 -89.358037 -89.057496
2014.730550 -89.189133 -89.007477
2014.751027 -88.994861 -88.980956
2014.770078 -88.776328 -88.954573
2014.808408 -88.373554 -88.895767
2014.864477 -88.129956 -88.799188
2014.902921 -88.302369 -88.726578
2014.923512 -88.527978 -88.685739
2014.942677 -88.802763 -88.646880
2014.978041 -89.492196 -88.572889
2015.017797 -90.413151 -88.487451
2015.036734 -90.832246 -88.446048
2015.056013 -91.197176 -88.403780
2015.093031 -91.598038 -88.322526
2015.112082 -91.572181 -88.280967
2015.130904 -91.415613 -88.240151
2015.176136 -90.330128 -88.144354
2015.195073 -89.687770 -88.105531
2015.214466 -88.979375 -88.066542
2015.233402 -88.263707 -88.029621
2015.269850 -86.985685 -87.962051
2015.327573 -85.391260 -87.866179
2015.348050 -84.920878 -87.835586
2015.367215 -84.512216 -87.809581
2015.405659 -83.750491 -87.762862
2015.520763 -83.898030 -87.679978
2015.539243 -84.505818 -87.674629
2015.558408 -85.393530 -87.672859
2015.595198 -87.335916 -87.675706
2015.614363 -88.395143 -87.681846
2015.708762 -91.614190 -87.750902
2015.728155 -91.676647 -87.773211
2015.786391 -90.820747 -87.857164
2015.825178 -89.820214 -87.926840
2015.900183 -88.167873 -88.087584
2015.920660 -87.920660 -88.137051
2015.939825 -87.834621 -88.185841
2015.977927 -87.936909 -88.287103
2015.997092 -88.166012 -88.340917
2016.015059 -88.424988 -88.392453
2016.033996 -88.732022 -88.447776
2016.072326 -89.304236 -88.563798
2016.087213 -89.482062 -88.609622
2016.128509 -89.544632 -88.739770
2016.147331 -89.421901 -88.799787
2016.303047 -88.055539 -89.295810
2016.322097 -88.156874 -89.353963
2016.342803 -88.260894 -89.416196
2016.361739 -88.334527 -89.472183
2016.380790 -88.312894 -89.526781
2016.436859 -87.815790 -89.679621
2016.475303 -87.315708 -89.775963
2016.494240 -87.144139 -89.820643
2016.517226 -87.122591 -89.871888
2016.533653 -87.235934 -89.906742
2016.552818 -87.485529 -89.945852
2016.572097 -87.965141 -89.981957
2016.589722 -88.489030 -90.013238
2016.608887 -89.139605 -90.045457
2016.628166 -89.860339 -90.074625
2016.647217 -90.551797 -90.101127
2016.667580 -91.246224 -90.127113
2016.684121 -91.736376 -90.145918
2016.703400 -92.187047 -90.165191
2016.722223 -92.530700 -90.181985
2016.741502 -92.750556 -90.196523
2016.762093 -92.828627 -90.208664
2016.781144 -92.808252 -90.217619
2016.800309 -92.709630 -90.224576
2016.819245 -92.513147 -90.228151
2016.836984 -92.291716 -90.229615
2016.856264 -92.019330 -90.229364
2016.875428 -91.725207 -90.226151
2016.894708 -91.444037 -90.220671
2016.913873 -91.189974 -90.213406
2016.931497 -91.004111 -90.204646
2016.953514 -90.873954 -90.191068
2016.972451 -90.847050 -90.177518
2016.991502 -90.893183 -90.162378
2017.028520 -91.240794 -90.126996
2017.047571 -91.467510 -90.106923
2017.066736 -91.686706 -90.084853
2017.084361 -91.834205 -90.063473
2017.103754 -91.936738 -90.039003
2017.125543 -91.906189 -90.010004
2017.141856 -91.757737 -89.987317
2017.167808 -91.394171 -89.950264
2017.186973 -91.034817 -89.922165
2017.225303 -90.203706 -89.864253
2017.244240 -89.820670 -89.835210
2017.261979 -89.503113 -89.807832
2017.280915 -89.241164 -89.778578
2017.300080 -89.018380 -89.749055
2017.339722 -88.655817 -89.688748
2017.353868 -88.513510 -89.667647
