# x_interp smoothed_curve trend
2010.947810 -87.407380 -85.807344
2010.961614 -87.394812 -85.808695
2010.980779 -87.345341 -85.810216
2011.023387 -87.039486 -85.811563
2011.039471 -86.860876 -85.811322
2011.061374 -86.579295 -85.810189
2011.077687 -86.360756 -85.808804
2011.095540 -86.135403 -85.806595
2011.111739 -85.952897 -85.804063
2011.136494 -85.723864 -85.799195
2011.150526 -85.622224 -85.795883
2011.178645 -85.475532 -85.787876
2011.197810 -85.398868 -85.781441
2011.217204 -85.327243 -85.774102
2011.238992 -85.241363 -85.764816
2011.275668 -85.070578 -85.746811
2011.292666 -84.983998 -85.737291
2011.313770 -84.879667 -85.724651
2011.327345 -84.816695 -85.715991
2011.351473 -84.713479 -85.699567
2011.368128 -84.644775 -85.687536
2011.392655 -84.531729 -85.668626
2011.412048 -84.418448 -85.652837
2011.429787 -84.286776 -85.637763
2011.443476 -84.152235 -85.625549
2011.461043 -83.959336 -85.609490
2011.538901 -83.095638 -85.531989
2011.614135 -83.759443 -85.448909
2011.633185 -84.256430 -85.426982
2011.664672 -85.260346 -85.390158
2011.714238 -86.801168 -85.331294
2011.733745 -87.234474 -85.307995
2011.751484 -87.508298 -85.286834
2011.791981 -87.746753 -85.238846
2011.811260 -87.706159 -85.216276
2011.830425 -87.606408 -85.194087
2011.848050 -87.486631 -85.173931
2011.865048 -87.363031 -85.154827
2011.905773 -87.088168 -85.110431
2011.926364 -86.952649 -85.088852
2011.945073 -86.816431 -85.069823
2011.958990 -86.703467 -85.055987
2011.989106 -86.394355 -85.027428
2012.058751 -85.530753 -84.968286
2012.075406 -85.368727 -84.955764
2012.095540 -85.230167 -84.941472
2012.112196 -85.167476 -84.930328
2012.150526 -85.223326 -84.907478
2012.173170 -85.332437 -84.895727
2012.192563 -85.428185 -84.886784
2012.211956 -85.492332 -84.878801
2012.234087 -85.499161 -84.870848
2012.249944 -85.444512 -84.865949
2012.289357 -85.089206 -84.856477
2012.308408 -84.813642 -84.853270
2012.325064 -84.523678 -84.851280
2012.348621 -84.067280 -84.849522
2012.364820 -83.724798 -84.849163
2012.386266 -83.250868 -84.849489
2012.405431 -82.808712 -84.850626
2012.420660 -82.448408 -84.852021
2012.442221 -81.928453 -84.854835
2012.456138 -81.593145 -84.857118
2012.479068 -81.065275 -84.861608
2012.494696 -80.749770 -84.865216
2012.518139 -80.370495 -84.871241
2012.536962 -80.197277 -84.876635
2012.556013 -80.168132 -84.882525
2012.574721 -80.302423 -84.888686
2012.595883 -80.672220 -84.896080
2012.615048 -81.185335 -84.903072
2012.650412 -82.512376 -84.916612
2012.695643 -84.418042 -84.934556
2012.709104 -84.937302 -84.939946
2012.767569 -86.612193 -84.963074
2012.783996 -86.882789 -84.969337
2012.917922 -88.446307 -85.012817
2012.942335 -88.729135 -85.018748
2012.958990 -88.866434 -85.022277
2012.981121 -88.969211 -85.026479
2013.017569 -88.873091 -85.031906
2013.031372 -88.764738 -85.033549
2013.050765 -88.533844 -85.035319
2013.070044 -88.248031 -85.036509
2013.087784 -87.958886 -85.037145
2013.131475 -87.213582 -85.036939
2013.145278 -86.976545 -85.036358
2013.170660 -86.533118 -85.034622
2013.189825 -86.180930 -85.032822
2013.208990 -85.803569 -85.030615
2013.249944 -84.887282 -85.024623
2013.264831 -84.521436 -85.022027
2013.287304 -83.965900 -85.017846
2013.308865 -83.451187 -85.013520
2013.342460 -82.751334 -85.006321
2013.364591 -82.388948 -85.001368
2013.437201 -81.755657 -84.984941
2013.454199 -81.697999 -84.981254
2013.481235 -81.663550 -84.975680
2013.494354 -81.673433 -84.973125
2013.518368 -81.764344 -84.968825
2013.533882 -81.869655 -84.966266
2013.555784 -82.131572 -84.963140
2013.574721 -82.470710 -84.960925
2013.593145 -82.891128 -84.959210
2013.609344 -83.321417 -84.958085
2013.628280 -83.876256 -84.957246
2013.644479 -84.375553 -84.956928
2013.666610 -85.040195 -84.957309
2013.686745 -85.571139 -84.958428
2013.703172 -85.902142 -84.960001
2013.722223 -86.175857 -84.962429
2013.747434 -86.336229 -84.966750
2013.770307 -86.292365 -84.971861
2013.786734 -86.178135 -84.976300
2013.806127 -86.002667 -84.982276
2013.819588 -85.870425 -84.986814
2013.837327 -85.719841 -84.993665
2013.859001 -85.600558 -85.002968
2013.878737 -85.576717 -85.012433
2013.897331 -85.624991 -85.022192
2013.920432 -85.757306 -85.035417
2013.940053 -85.903078 -85.047649
2013.953400 -86.003877 -85.056400
