# x_interp smoothed_curve trend
2010.675565 -83.645501 -84.107427
2010.706138 -84.442738 -84.159013
2010.722223 -84.794162 -84.187006
2010.738764 -85.069921 -84.216548
2010.757074 -85.264911 -84.250053
2010.775554 -85.365763 -84.284556
2010.797343 -85.385330 -84.326047
2010.816622 -85.350147 -84.363415
2010.830768 -85.315326 -84.391123
2010.848507 -85.292775 -84.426290
2010.870181 -85.338296 -84.469661
2010.889118 -85.468925 -84.507830
2010.947810 -86.284823 -84.626551
2010.961614 -86.508791 -84.654384
2011.023387 -87.006340 -84.776670
2011.039471 -86.921196 -84.807590
2011.061374 -86.682396 -84.848979
2011.077687 -86.422282 -84.879139
2011.095540 -86.083816 -84.911462
2011.111739 -85.749837 -84.940043
2011.136494 -85.259975 -84.982227
2011.150526 -85.026894 -85.005089
2011.178645 -84.656744 -85.049303
2011.217204 -84.451803 -85.104685
2011.238992 -84.444372 -85.133344
2011.275668 -84.514307 -85.176767
2011.292666 -84.550398 -85.194891
2011.313770 -84.575873 -85.215314
2011.327345 -84.574086 -85.227151
2011.351473 -84.538702 -85.246120
2011.368128 -84.484484 -85.257257
2011.392655 -84.369694 -85.271235
2011.412048 -84.247076 -85.279929
2011.429787 -84.113424 -85.286150
2011.443476 -83.999912 -85.290062
2011.461043 -83.835925 -85.293133
2011.538901 -83.215795 -85.287495
2011.614135 -83.833923 -85.253288
2011.633185 -84.301200 -85.240385
2011.664672 -85.252049 -85.215938
2011.714238 -86.801772 -85.169547
2011.733745 -87.267945 -85.149095
2011.751484 -87.577567 -85.129571
2011.791981 -87.758689 -85.081803
2011.811260 -87.620723 -85.057779
2011.830425 -87.397131 -85.033289
2011.848050 -87.151453 -85.010330
2011.865048 -86.906171 -84.987889
2011.905773 -86.415467 -84.933300
2012.112196 -85.199434 -84.678169
2012.173170 -85.091146 -84.622805
2012.192563 -85.147842 -84.608054
2012.211956 -85.216762 -84.594797
2012.234087 -85.266770 -84.581712
2012.249944 -85.257596 -84.573700
2012.289357 -84.980823 -84.558720
2012.308408 -84.702079 -84.554046
2012.325064 -84.387455 -84.551288
2012.348621 -83.834451 -84.549791
2012.386266 -82.797948 -84.552690
2012.405431 -82.240185 -84.556914
2012.420660 -81.806165 -84.561678
2012.442221 -81.218031 -84.570018
2012.456138 -80.864056 -84.576474
2012.479068 -80.349385 -84.589147
2012.494696 -80.045811 -84.598887
2012.518139 -79.729441 -84.615819
2012.536962 -79.599346 -84.631006
2012.556013 -79.616367 -84.647852
2012.574721 -79.785039 -84.665675
2012.615048 -80.681226 -84.708078
2012.650412 -81.994867 -84.749221
2012.695643 -84.046305 -84.806595
2012.709104 -84.640205 -84.824499
2012.767569 -86.594147 -84.905342
2012.783996 -86.923728 -84.928680
2012.917922 -87.784830 -85.118993
2012.942335 -87.986656 -85.151989
2012.958990 -88.127281 -85.173972
2012.981121 -88.284556 -85.202293
2013.017569 -88.384767 -85.246551
2013.031372 -88.349239 -85.262349
2013.050765 -88.249687 -85.283779
2013.070044 -88.096711 -85.304016
2013.087784 -87.926686 -85.321700
2013.131475 -87.521543 -85.360607
2013.145278 -87.432110 -85.371383
2013.170660 -87.310940 -85.389750
2013.189825 -87.254749 -85.401942
2013.208990 -87.201314 -85.412794
2013.437201 -82.570596 -85.439158
2013.454199 -82.248855 -85.434082
2013.481235 -81.855467 -85.424706
2013.494354 -81.753708 -85.419318
2013.518368 -81.666032 -85.408702
2013.533882 -81.707000 -85.401180
2013.555784 -81.892915 -85.389817
2013.574721 -82.176798 -85.379370
2013.593145 -82.558339 -85.368725
2013.609344 -82.982533 -85.358987
2013.628280 -83.552860 -85.347274
2013.644479 -84.076604 -85.337042
2013.666610 -84.803502 -85.322835
2013.686745 -85.422551 -85.309780
2013.703172 -85.869120 -85.299104
2013.722223 -86.279257 -85.286760
2013.747434 -86.572076 -85.270680
2013.770307 -86.620022 -85.256441
2013.786734 -86.545778 -85.246474
2013.806127 -86.352942 -85.235161
2013.819588 -86.189818 -85.227617
2013.837327 -85.967643 -85.218015
2013.859001 -85.729554 -85.207010
2013.878737 -85.585653 -85.197711
2013.897331 -85.534821 -85.189631
2013.920432 -85.605406 -85.180742
2013.940053 -85.748279 -85.174159
2013.953400 -85.870524 -85.170347
2013.972679 -86.044437 -85.165486
2013.991844 -86.189334 -85.161623
2014.012207 -86.276294 -85.158640
2014.031372 -86.276468 -85.156888
2014.047799 -86.201127 -85.156320
2014.066964 -86.042342 -85.156711
2014.087213 -85.822582 -85.158312
2014.106492 -85.594896 -85.161012
2014.128623 -85.352328 -85.165513
2014.142541 -85.224481 -85.169051
2014.167808 -85.080262 -85.177206
2014.189597 -85.039410 -85.185771
2014.209104 -85.056493 -85.194630
2014.225417 -85.096147 -85.202854
2014.244925 -85.150076 -85.213895
2014.267455 -85.187095 -85.227915
2014.281258 -85.178304 -85.237308
2014.321869 -85.012633 -85.267603
2014.339722 -84.870457 -85.282204
2014.381817 -84.414130 -85.319682
2014.400412 -84.189534 -85.337454
2014.417352 -83.989288 -85.354333
2014.434692 -83.795887 -85.372108
2014.456937 -83.574967 -85.395641
2014.474846 -83.429733 -85.415144
2014.494011 -83.317315 -85.436513
2014.514602 -83.264370 -85.460001
2014.533882 -83.292479 -85.482414
2014.556127 -83.456559 -85.508739
2014.572782 -83.688323 -85.528725
2014.587669 -83.974968 -85.546733
2014.611853 -84.582099 -85.576204
2014.628623 -85.101572 -85.596765
2014.645393 -85.679189 -85.617388
2014.666154 -86.447507 -85.642965
2014.681269 -87.003989 -85.661571
2014.703172 -87.748013 -85.688468
2014.720056 -88.226049 -85.709101
2014.741502 -88.685403 -85.735146
2014.761979 -88.938065 -85.759788
2014.778634 -89.015689 -85.779648
2014.803161 -88.913456 -85.808483
2014.817078 -88.784047 -85.824666
2014.834589 -88.548916 -85.844696
2014.856720 -88.223315 -85.869613
2014.875657 -87.953396 -85.890501
2014.894593 -87.716603 -85.910990
2014.913873 -87.519157 -85.931418
2014.934349 -87.354651 -85.952606
2014.950548 -87.245075 -85.969036
2014.970170 -87.117069 -85.988409
2014.991730 -86.946232 -86.009094
2015.006731 -86.788891 -86.023061
2015.028520 -86.511617 -86.042875
2015.064226 -85.939673 -86.073945
2015.092688 -85.456978 -86.097420
2015.109230 -85.208183 -86.110586
2015.128166 -84.977158 -86.125217
2015.141970 -84.862939 -86.135557
2015.187087 -84.789087 -86.167718
2015.206024 -84.870240 -86.180454
2015.222451 -84.960263 -86.191175
2015.244468 -85.077140 -86.205089
2015.267226 -85.148578 -86.218933
2015.281600 -85.156329 -86.227439
2015.316622 -84.989126 -86.247275
2015.339836 -84.758050 -86.259857
2015.358659 -84.518653 -86.269734
2015.375314 -84.290209 -86.278267
2015.397217 -83.989548 -86.289215
2015.416382 -83.750170 -86.298561
2015.434121 -83.563008 -86.307043
2015.453400 -83.416844 -86.316079
2015.474732 -83.348232 -86.325877
2015.497206 -83.391838 -86.336022
2015.515287 -83.540130 -86.344055
2015.540271 -83.892598 -86.355039
2015.550423 -84.116057 -86.359450
2015.569131 -84.587359 -86.367552
2015.587099 -85.147398 -86.375288
2015.603412 -85.756820 -86.382278
2015.624972 -86.656306 -86.391488
2015.641970 -87.413458 -86.398737
2015.661820 -88.298276 -86.407202
2015.678531 -89.007010 -86.414333
2015.697925 -89.738244 -86.422623
2015.719599 -90.363848 -86.431908
2015.736140 -90.676253 -86.439023
2015.756617 -90.829301 -86.447864
2015.778520 -90.731185 -86.457374
