# x_interp smoothed_curve trend
2005.257460 -68.926175 -68.833313
2005.301161 -69.221996 -68.828076
2005.320576 -69.408251 -68.825294
2005.375303 -69.938113 -68.817116
2005.391591 -70.086537 -68.814610
2005.432397 -70.325308 -68.808417
2005.531035 -70.151218 -68.797032
2005.545038 -70.106869 -68.796128
2005.545078 -70.106742 -68.796126
2005.586492 -70.004940 -68.794663
2005.698636 -69.224496 -68.803270
2005.720624 -68.782400 -68.808014
2005.739812 -68.396135 -68.812167
2005.767161 -67.764276 -68.820547
2005.794600 -67.202047 -68.830013
2005.819245 -66.791688 -68.839910
2005.876912 -66.573435 -68.868453
2005.895576 -66.764030 -68.879578
2005.917513 -67.006912 -68.892894
2005.936583 -67.344499 -68.906067
2005.950363 -67.588453 -68.915587
2005.967245 -67.887468 -68.928005
2006.049583 -69.088688 -68.996364
2006.073647 -69.226197 -69.018879
2006.092939 -69.318058 -69.037089
2006.112376 -69.291864 -69.056461
2006.112508 -69.291687 -69.056592
2006.123236 -69.277229 -69.067284
2006.254576 -68.235999 -69.206872
2006.358564 -68.584134 -69.319049
2006.391419 -69.056368 -69.352940
2006.410542 -69.330566 -69.371909
2006.432991 -69.652118 -69.393792
2006.451931 -69.884055 -69.411447
2006.509465 -70.433477 -69.461036
2006.531279 -70.608407 -69.478430
2006.548042 -70.746654 -69.490232
2006.605508 -71.248333 -69.526749
2006.624753 -71.398906 -69.536900
2006.649106 -71.549588 -69.547948
2006.657236 -71.599889 -69.551636
2006.717405 -71.376601 -69.568965
2006.733881 -71.182880 -69.571717
2006.777728 -70.491616 -69.574540
2006.791414 -70.250162 -69.574763
2006.810519 -69.930952 -69.572220
2006.829796 -69.609161 -69.569610
2006.851611 -69.335988 -69.564243
2006.868057 -69.154573 -69.559546
2006.909153 -68.870107 -69.543476
2007.734085 -69.245476 -68.827715
2008.079358 -68.705579 -68.939312
2008.136295 -69.101277 -68.992055
2008.179969 -69.383315 -69.037425
2008.212788 -69.538387 -69.073931
2008.234531 -69.618021 -69.098860
2008.275691 -69.703965 -69.148395
2008.275804 -69.704185 -69.148533
2008.295044 -69.737510 -69.172408
2008.311409 -69.764273 -69.192970
2008.333145 -69.797918 -69.220509
2008.346801 -69.816638 -69.238101
2008.346953 -69.816846 -69.238297
2008.365737 -69.842596 -69.262495
2008.365764 -69.842633 -69.262530
2008.390409 -69.836796 -69.294613
2008.390441 -69.836778 -69.294655
2008.406800 -69.827769 -69.315995
2008.406950 -69.827686 -69.316191
2008.425954 -69.781601 -69.340996
2008.447803 -69.706452 -69.369523
2008.485992 -69.553215 -69.419006
2008.505083 -69.486634 -69.443577
2008.521991 -69.476799 -69.464969
2008.540680 -69.465929 -69.488616
2008.562870 -69.564156 -69.515984
2008.579178 -69.656842 -69.535966
2008.598389 -69.801189 -69.559019
2008.619911 -70.003824 -69.584279
2008.639069 -70.165752 -69.606374
2008.655356 -70.271151 -69.624477
2008.655527 -70.272256 -69.624667
2008.677653 -70.406736 -69.649187
2008.696348 -70.367390 -69.668637
2008.715572 -70.326930 -69.688637
2008.734546 -70.169144 -69.707263
2008.753749 -69.967899 -69.725722
2008.772873 -69.746915 -69.743375
2008.791974 -69.500852 -69.760109
2008.811172 -69.267126 -69.776655
2008.832916 -69.084589 -69.793746
2008.849158 -68.948244 -69.806513
2008.868587 -68.904079 -69.820238
2008.887580 -68.880670 -69.833398
2008.887824 -68.880369 -69.833567
2008.903855 -68.898300 -69.843910
2008.904220 -68.899558 -69.844128
2008.944947 -69.043038 -69.867969
2008.964215 -69.119599 -69.877649
2008.999858 -69.238540 -69.894009
2008.999962 -69.238810 -69.894051
2009.021537 -69.294643 -69.902852
2009.059912 -69.385150 -69.915502
2009.060008 -69.385370 -69.915532
2009.095675 -69.503902 -69.924616
2009.117865 -69.591970 -69.929408
2009.155949 -69.791373 -69.934826
2009.213527 -70.074879 -69.937891
2009.232382 -70.149226 -69.937694
2009.270710 -70.278521 -69.935678
2009.350295 -70.475119 -69.925072
2009.465478 -70.224386 -69.897397
2009.481830 -70.151689 -69.892362
2009.542064 -70.054091 -69.872925
2009.693252 -70.983714 -69.816480
