# x_interp smoothed_curve trend
1995.177618 -77.069291 -80.699862
1995.280116 -78.735997 -80.595125
1995.363450 -80.041896 -80.506049
1995.454997 -81.289858 -80.393313
1995.599760 -82.093670 -80.196479
1995.785592 -81.838204 -79.912120
1995.852498 -81.563714 -79.805047
1995.944045 -79.917787 -79.654116
1996.091547 -77.570919 -79.414952
1996.621663 -80.104707 -78.674281
1996.963210 -78.442171 -78.266506
1997.088809 -76.719755 -78.113094
1997.291068 -76.713367 -77.863661
1998.060233 -75.677636 -77.324357
1998.127139 -75.605123 -77.332101
1998.215948 -75.794082 -77.349662
1998.321184 -76.676827 -77.387292
1998.374401 -77.260387 -77.409076
1998.482375 -78.856851 -77.461558
1998.546543 -79.443153 -77.493598
1998.666667 -79.573700 -77.555848
1998.785592 -78.345206 -77.615710
1998.888090 -77.256933 -77.666405
1999.094285 -76.582032 -77.767008
1999.138090 -76.685446 -77.788766
1999.218686 -76.795047 -77.829941
1999.307495 -76.766768 -77.877422
1999.388090 -77.170178 -77.921198
1999.454997 -78.035201 -77.958388
1999.538330 -79.000292 -78.003895
1999.632615 -79.536463 -78.051352
1999.882615 -78.454902 -78.136512
1999.957734 -77.968111 -78.138938
2000.054757 -77.323123 -78.130085
2000.224162 -76.542720 -78.055529
2000.396304 -77.536775 -77.908872
2000.568446 -78.777930 -77.704121
2000.791068 -79.164183 -77.388084
2000.893566 -78.077959 -77.235520
2001.082136 -74.970515 -76.953096
2001.177618 -74.433867 -76.810861
2001.363450 -75.404274 -76.530955
2001.510951 -77.037135 -76.298827
2001.688569 -78.189363 -76.006261
2001.866188 -77.274530 -75.710681
2002.043806 -75.737026 -75.447558
2002.177618 -73.029691 -75.297626
2002.349760 -72.953132 -75.200703
2002.530116 -76.014073 -75.240015
2002.694045 -77.177886 -75.408164
2002.863450 -76.005919 -75.671635
2003.043806 -75.038809 -75.980941
2003.213210 -75.582029 -76.218491
2003.293806 -76.107986 -76.281572
2003.449521 -76.932144 -76.327628
2003.586071 -76.689428 -76.260558
2003.702259 -75.394167 -76.135292
2003.852498 -77.235763 -75.863036
2003.960472 -77.258906 -75.630490
2004.041068 -76.984248 -75.452194
2004.199521 -73.246145 -75.099441
2004.371663 -71.457871 -74.766779
2004.552019 -74.079273 -74.503029
2004.685832 -76.944870 -74.354808
2004.860712 -76.947444 -74.188231
2005.013689 -73.579996 -74.026723
2006.338809 -69.874948 -71.073940
2006.532854 -71.449382 -71.111528
2006.624401 -72.703062 -71.240044
2006.807495 -73.164444 -71.594844
2006.957734 -71.186825 -71.969698
2006.974162 -70.893109 -72.013343
2007.135352 -70.378745 -72.430396
2007.299281 -72.259999 -72.798327
2007.444045 -73.810445 -73.033608
2007.677618 -75.085131 -73.189327
2007.812971 -74.688070 -73.141786
2007.963210 -72.857427 -73.003808
2008.105236 -70.729195 -72.811868
2008.307495 -70.717633 -72.483882
2008.496064 -72.758602 -72.176317
2008.688569 -73.272583 -71.898118
2008.860712 -74.214810 -71.697849
2008.996064 -71.618281 -71.578107
2009.049281 -70.353772 -71.533483
2009.215948 -68.955688 -71.440926
2009.407255 -70.920022 -71.397989
2009.571184 -71.446707 -71.410942
2009.718686 -72.867518 -71.461684
2009.863450 -73.768741 -71.549339
2010.049281 -71.146349 -71.690697
2010.204997 -69.285859 -71.817361
2010.396304 -71.059342 -71.944694
2010.573922 -73.227246 -71.999484
2010.750000 -73.792771 -71.972126
2010.938569 -72.123187 -71.849254
2011.091547 -70.317803 -71.698327
2011.288330 -70.315179 -71.476980
2011.502738 -71.991655 -71.280398
2011.665469 -72.728863 -71.215652
2011.812971 -72.073056 -71.241027
2012.010951 -70.309522 -71.395358
2012.154517 -69.797824 -71.575872
2012.255476 -70.094576 -71.715908
2012.438569 -72.199469 -71.958411
2012.629877 -73.673044 -72.115992
2012.818446 -73.515654 -72.111757
2012.987851 -71.715248 -71.948133
2013.154517 -70.068327 -71.651709
2013.271903 -69.907685 -71.385340
2013.457734 -70.930543 -70.907016
2013.613450 -71.664690 -70.510882
2013.826660 -70.901188 -70.098589
2013.963210 -69.238670 -69.904558
