# x_interp smoothed_curve trend
2020.447696 -88.891552 -91.857524
2020.687316 -91.652107 -90.891876
2020.844741 -91.036151 -90.466791
2020.937087 -93.470998 -90.291435
2021.011979 -92.719047 -90.187542
2021.043008 -91.523783 -90.154098
2021.045404 -91.435449 -90.151924
2021.050309 -91.254614 -90.147473
2021.054188 -91.111604 -90.143954
2021.057837 -90.977075 -90.140643
2021.061831 -90.829826 -90.137018
2021.079968 -90.300285 -90.122007
2021.087099 -90.167675 -90.116890
2021.106264 -89.836406 -90.103333
2021.148130 -90.249225 -90.083000
2021.227927 -91.882291 -90.070299
2021.234202 -91.956789 -90.070425
2021.247092 -91.900635 -90.072546
2021.253651 -91.846002 -90.073857
2021.264717 -91.753828 -90.076069
2021.283882 -91.349070 -90.082446
2021.322212 -90.218704 -90.100446
2021.322440 -90.211124 -90.100573
2021.342574 -89.553498 -90.113032
2021.361739 -88.947609 -90.127062
2021.380904 -88.419646 -90.143317
2021.417694 -87.576254 -90.179621
2021.436859 -87.207100 -90.200882
2021.456024 -86.900288 -90.224999
2021.475189 -86.635820 -90.250574
2021.514717 -86.363231 -90.309880
2021.533882 -86.378976 -90.340947
2021.553047 -86.701088 -90.375176
2021.572212 -87.149889 -90.410596
2021.609001 -88.591523 -90.484726
2021.628166 -89.507470 -90.525777
2021.647331 -90.391990 -90.569723
2021.703286 -92.150928 -90.707913
2021.722451 -92.248308 -90.759411
2021.741616 -92.122301 -90.813085
2021.781144 -91.499243 -90.930085
2021.800309 -91.219643 -90.989624
2021.819474 -91.132928 -91.051916
2021.837099 -91.247406 -91.110856
2021.856264 -91.594474 -91.176842
2021.875428 -92.201004 -91.245562
2021.894593 -92.903378 -91.315350
2021.913758 -93.660947 -91.388861
2021.934121 -94.358930 -91.468366
2022.009241 -94.522846 -91.784940
2022.028406 -94.026584 -91.870685
2022.047571 -93.393580 -91.959883
2022.066736 -92.839662 -92.050786
2022.084361 -92.430011 -92.136536
2022.103526 -92.232514 -92.232112
2022.122691 -92.183247 -92.329083
