# x_interp smoothed_curve trend
2008.312259 -83.379504 -86.056357
2008.331368 -83.002802 -85.805527
2008.388807 -82.131973 -85.065705
2008.407882 -81.961666 -84.827030
2008.446143 -81.766525 -84.358989
2008.465373 -81.646513 -84.131590
2008.485049 -81.523719 -83.898918
2008.599233 -80.292999 -82.637656
2008.618463 -80.245904 -82.435553
2008.665253 -81.076294 -81.965312
2008.695630 -82.070943 -81.673117
2008.713931 -82.680609 -81.500313
2008.831692 -85.211882 -80.474712
2008.848010 -85.219591 -80.344572
2008.886324 -85.017216 -80.048182
2008.905320 -84.764748 -79.909191
2008.924450 -84.510514 -79.769228
2008.943737 -84.063122 -79.636590
2009.039317 -80.700542 -79.028999
2009.058508 -79.859871 -78.916916
2009.096925 -78.347960 -78.710557
2009.252987 -76.482877 -78.046872
2009.338067 -75.445760 -77.805793
2009.384593 -74.956131 -77.711285
2009.403640 -74.831016 -77.678359
2009.441937 -74.766522 -77.630425
2009.461178 -74.733489 -77.612565
2009.480312 -74.686316 -77.600237
2009.502274 -74.605084 -77.589613
2009.540877 -74.351772 -77.586503
2009.625656 -74.723412 -77.647814
2009.639521 -75.160446 -77.668362
2009.672295 -76.296759 -77.719725
2009.729699 -79.111266 -77.848125
2009.818156 -82.457367 -78.115865
