# x_interp smoothed_curve trend
2010.136152 -90.199108 -89.631576
2010.144365 -89.959245 -89.611640
2010.152693 -89.716025 -89.591425
2010.178645 -88.963751 -89.528376
2010.518025 -87.521247 -88.775415
2010.523501 -87.785348 -88.765376
2010.534224 -88.282421 -88.745962
2010.544833 -88.734086 -88.727241
2010.552818 -89.071784 -88.713167
2010.561146 -89.343923 -88.699065
2010.571641 -89.686873 -88.681294
2010.579740 -89.887339 -88.667963
2010.589836 -90.093384 -88.651608
2010.598050 -90.240860 -88.638423
2010.609001 -90.328422 -88.621504
2010.619610 -90.400033 -88.605212
2010.628395 -90.378580 -88.592319
2010.635923 -90.360197 -88.581270
2010.647560 -90.281495 -88.564764
2010.656116 -90.201651 -88.552879
2010.666496 -90.093544 -88.538801
2010.673512 -90.009800 -88.529609
2010.684235 -89.882016 -88.515571
2010.694958 -89.770088 -88.502388
2010.706366 -89.652631 -88.488390
2010.721994 -89.561672 -88.470448
2010.738764 -89.531787 -88.452077
2010.750571 -89.541415 -88.439542
2010.773159 -89.699911 -88.417426
2010.781258 -89.794272 -88.410117
2010.791981 -89.919206 -88.400441
2010.800423 -90.035949 -88.393377
2010.808636 -90.154052 -88.386642
2010.819702 -90.314225 -88.377903
2010.844741 -90.666659 -88.360008
2010.853297 -90.775280 -88.354388
2010.864363 -90.898587 -88.347518
2010.872120 -90.969998 -88.343052
2010.883300 -91.064620 -88.336769
2010.894822 -91.121455 -88.331058
2010.902465 -91.159156 -88.327270
2010.913644 -91.168806 -88.322551
2010.922713 -91.173751 -88.318775
2010.933322 -91.146469 -88.314999
2010.944844 -91.105882 -88.311110
2010.953400 -91.053223 -88.308711
2010.961386 -90.996495 -88.306637
2010.972337 -90.908370 -88.304045
2010.980550 -90.824372 -88.302537
2010.991502 -90.710824 -88.300569
2011.000058 -90.599648 -88.299638
2011.014831 -90.402872 -88.298177
2011.047000 -89.881064 -88.297965
2011.055556 -89.731420 -88.298295
2011.066622 -89.523672 -88.299432
2011.083790 -89.195851 -88.301684
2011.092118 -89.033483 -88.303185
2011.102841 -88.825395 -88.305275
2011.125543 -88.396488 -88.311132
2011.144708 -88.057122 -88.317221
2011.170546 -87.654855 -88.327386
2011.189369 -87.391389 -88.335882
2011.208876 -87.137340 -88.345844
2011.233288 -86.810323 -88.359831
2011.244468 -86.640983 -88.366914
2011.318789 -85.120843 -88.421566
2011.347251 -84.453589 -88.446418
2011.358773 -84.215460 -88.457005
2011.366758 -84.074934 -88.464513
2011.377824 -83.930734 -88.475270
2011.386494 -83.829663 -88.483752
2011.503537 -87.306033 -88.616578
2011.514374 -87.942023 -88.630302
2011.522930 -88.440881 -88.641401
2011.530915 -88.905115 -88.651867
2011.586870 -91.520300 -88.728545
2011.597708 -91.821219 -88.744107
2011.605921 -92.031944 -88.755950
2011.614249 -92.150182 -88.768233
2011.625086 -92.304042 -88.784217
2011.632957 -92.340466 -88.796059
2011.644023 -92.367213 -88.812782
2011.652579 -92.352915 -88.825855
2011.663188 -92.288008 -88.842255
2011.669861 -92.247182 -88.852571
2011.681041 -92.129084 -88.870208
2011.700206 -91.914023 -88.900716
2011.711271 -91.783000 -88.918532
2011.719827 -91.690751 -88.932470
2011.727813 -91.609130 -88.945559
2011.738878 -91.504141 -88.963766
2011.747092 -91.444599 -88.977446
2011.759241 -91.360029 -88.997707
2011.767226 -91.325981 -89.011196
2011.778520 -91.277823 -89.030274
2011.833790 -91.149658 -89.125519
2011.842232 -91.124127 -89.140242
2011.852841 -91.076046 -89.158834
2011.861625 -91.029690 -89.174264
2011.872348 -90.960350 -89.193141
2011.880676 -90.893753 -89.207844
2011.891513 -90.802159 -89.226988
2011.899727 -90.715543 -89.241536
2011.910792 -90.598863 -89.261134
2011.920432 -90.479893 -89.278227
2011.931383 -90.343198 -89.297645
2011.942335 -90.196043 -89.317045
2011.950548 -90.083909 -89.331590
2011.958648 -89.971643 -89.345917
2011.969257 -89.821440 -89.364649
2011.977813 -89.700254 -89.379751
2011.988650 -89.545855 -89.398771
2011.996407 -89.435339 -89.412386
2012.006275 -89.295334 -89.429608
2012.014602 -89.177384 -89.444108
2012.033539 -88.910827 -89.476853
2012.089722 -88.152094 -89.571807
2012.139232 -87.633679 -89.651558
2012.147331 -87.571264 -89.664212
2012.158397 -87.501861 -89.681230
2012.170432 -87.442022 -89.699469
2012.181612 -87.403726 -89.716053
2012.189140 -87.384621 -89.727081
2012.199977 -87.362566 -89.742758
2012.208305 -87.354206 -89.754494
2012.219257 -87.343404 -89.769872
2012.227356 -87.336975 -89.780791
2012.238764 -87.327921 -89.796172
2012.275668 -87.228987 -89.842678
2012.283882 -87.195597 -89.852643
2012.294833 -87.127863 -89.865132
2012.303047 -87.076709 -89.874487
2012.313884 -87.000945 -89.886211
2012.322554 -86.937834 -89.895403
2012.334247 -86.860355 -89.907278
2012.342346 -86.811196 -89.915194
2012.353526 -86.759012 -89.925802
2012.364363 -86.739453 -89.935452
2012.372691 -86.731311 -89.942784
2012.380333 -86.774584 -89.948897
2012.391970 -86.840478 -89.958205
2012.400069 -86.950259 -89.964081
2012.411363 -87.127315 -89.972050
2012.428303 -87.534413 -89.982766
2012.437658 -87.786741 -89.988442
2012.455567 -88.452267 -89.997531
2012.466861 -88.927481 -90.002503
2012.475075 -89.294166 -90.005831
2012.485798 -89.785770 -90.009698
2012.493897 -90.170872 -90.012111
2012.505932 -90.736204 -90.015413
2012.514717 -91.131025 -90.017096
2012.525211 -91.602509 -90.019105
2012.534224 -91.935019 -90.019840
2012.545061 -92.334820 -90.020724
2012.552932 -92.553275 -90.020727
2012.563884 -92.822000 -90.020417
2012.571755 -92.975125 -90.019890
2012.583049 -93.086524 -90.018307
2012.606149 -93.093245 -90.013354
2012.625657 -92.848146 -90.006994
2012.695187 -91.187118 -89.968857
2012.705682 -90.976151 -89.960998
2012.714466 -90.831866 -89.953938
2012.722451 -90.700704 -89.947520
2012.733745 -90.624900 -89.937254
2012.756389 -90.595729 -89.915432
2012.772816 -90.711115 -89.898157
2012.791639 -90.964781 -89.876901
2012.811032 -91.325560 -89.853388
2012.830197 -91.730993 -89.828472
2012.853183 -92.200773 -89.796731
2012.869610 -92.477594 -89.772634
2012.888547 -92.720486 -89.743802
2012.908169 -92.863510 -89.712673
2012.931155 -92.874729 -89.674663
2012.950320 -92.755924 -89.641816
2012.969713 -92.525902 -89.607620
2012.988764 -92.204184 -89.573183
2013.006617 -91.827798 -89.540226
2013.025554 -91.358557 -89.504557
2013.272588 -87.168852 -89.031056
2013.280915 -87.026225 -89.016517
2013.292552 -86.825518 -88.996214
2013.299966 -86.654934 -88.983733
2013.311260 -86.395078 -88.964722
2013.319588 -86.179953 -88.951077
2013.329968 -85.895542 -88.934328
2013.339951 -85.617276 -88.918512
2013.351130 -85.297045 -88.901332
2013.358431 -85.089010 -88.890142
2013.369953 -84.794317 -88.873400
2013.378166 -84.584256 -88.861466
2013.389004 -84.376816 -88.846527
2013.396761 -84.238433 -88.835951
2013.408054 -84.109422 -88.821147
2013.416040 -84.061060 -88.811028
2013.425451 -84.027343 -88.799269
2013.433779 -84.095990 -88.789562
2013.444730 -84.186259 -88.776799
2013.453058 -84.362141 -88.767877
2013.464123 -84.615514 -88.756168
2013.472109 -84.854739 -88.748213
2013.483288 -85.252294 -88.737631
2013.503879 -86.108016 -88.719808
2013.512093 -86.472999 -88.713062
2013.523044 -86.993044 -88.705292
2013.530915 -87.366825 -88.699707
2013.541753 -87.861949 -88.693050
2013.549852 -88.227570 -88.688308
2013.560918 -88.686660 -88.682538
2013.571755 -89.097393 -88.677568
2013.582478 -89.448610 -88.673329
2013.586870 -89.568721 -88.671885
2013.597479 -89.858852 -88.668397
2013.606378 -90.017105 -88.666420
2013.619953 -90.228150 -88.663742
2013.628280 -90.278686 -88.663055
2013.636494 -90.316307 -88.662526
2013.647445 -90.328892 -88.662417
2013.658397 -90.286452 -88.663184
2013.666610 -90.246214 -88.663987
2013.680927 -90.119508 -88.666916
2013.691764 -90.017010 -88.669797
2013.700206 -89.931005 -88.672661
2013.711271 -89.822636 -88.676753
2013.733060 -89.647360 -88.687389
2013.738422 -89.622156 -88.690640
2013.750913 -89.563441 -88.698213
2013.764374 -89.554108 -88.707932
2013.775211 -89.555830 -88.716027
2013.783425 -89.590511 -88.723153
2013.791867 -89.626155 -88.730477
2013.800080 -89.673338 -88.738068
2013.811146 -89.757936 -88.749079
2013.819245 -89.821871 -88.757249
2013.830197 -89.930145 -88.769505
2013.839722 -90.024310 -88.780164
2013.847822 -90.113246 -88.790142
2013.856264 -90.206596 -88.800609
2013.870181 -90.363834 -88.818802
2013.878052 -90.454163 -88.829482
2013.885923 -90.544479 -88.840368
2013.893909 -90.636074 -88.852106
2013.902693 -90.736821 -88.865018
2013.911021 -90.831082 -88.877800
2013.923284 -90.968656 -88.897152
2013.931269 -91.056468 -88.910097
2013.950092 -91.257414 -88.941769
2013.961043 -91.363217 -88.961252
2013.972109 -91.469517 -88.980971
2013.980322 -91.534038 -88.996346
2013.988764 -91.600359 -89.012150
2013.999601 -91.669049 -89.032949
2014.006389 -91.703502 -89.046242
2014.022588 -91.759648 -89.078530
2014.031144 -91.771131 -89.095977
2014.039357 -91.774078 -89.112859
2014.047571 -91.748951 -89.130216
2014.055442 -91.724874 -89.146848
