# x_interp smoothed_curve trend rsd2
2011.050994 -86.123126 -84.640743 1.561861
2011.070172 -86.262748 -84.662696 1.561861
2011.089350 -86.356625 -84.687029 1.561861
2011.108528 -86.382398 -84.713767 1.561861
2011.127706 -86.332097 -84.742924 1.561861
2011.146884 -86.213893 -84.774508 1.561861
2011.166062 -86.050226 -84.808518 1.561861
2011.185241 -85.872560 -84.844941 1.561861
2011.204419 -85.713836 -84.883760 1.561861
2011.223597 -85.600223 -84.924946 1.561861
2011.242775 -85.543994 -84.968461 1.561861
2011.261953 -85.539211 -85.014261 1.561861
2011.281131 -85.561298 -85.062288 1.561861
2011.300309 -85.570832 -85.112471 1.561861
2011.319487 -85.520944 -85.164737 1.561861
2011.338665 -85.366919 -85.218997 1.561861
2011.357843 -85.076118 -85.275158 1.561861
2011.377021 -84.636160 -85.333113 1.561861
2011.396199 -84.059670 -85.392750 1.561861
2011.415378 -83.384506 -85.453945 1.561861
2011.434556 -82.669337 -85.516566 1.561861
2011.453734 -81.985309 -85.580473 1.561861
2011.472912 -81.405366 -85.645519 1.561861
2011.492090 -80.993208 -85.711546 1.561861
2011.511268 -80.793916 -85.778391 1.561861
2011.530446 -80.827912 -85.845883 1.561861
2011.549624 -81.089214 -85.913846 1.561861
2011.568802 -81.548067 -85.982098 1.561861
2011.587980 -82.157192 -86.050449 1.561861
2011.607158 -82.860221 -86.118708 1.561861
2011.626336 -83.600558 -86.186677 1.561861
2011.645515 -84.328970 -86.254156 1.561861
2011.664693 -85.008617 -86.320941 1.561861
2011.683871 -85.616891 -86.386827 1.561861
2011.703049 -86.144195 -86.451608 1.561861
2011.722227 -86.590457 -86.515075 1.561861
2011.741405 -86.960608 -86.577023 1.561861
2011.760583 -87.260364 -86.637243 1.561861
2011.779761 -87.493464 -86.695533 1.561861
2011.798939 -87.660966 -86.751688 1.561861
2011.818117 -87.762647 -86.805510 1.561861
2011.837295 -87.799903 -86.856807 1.561861
2011.856473 -87.779098 -86.905384 1.561861
2011.875652 -87.714211 -86.951052 1.561861
2011.894830 -87.627747 -86.993635 1.561861
2011.914008 -87.549279 -87.032962 1.561861
2011.933186 -87.511696 -87.068868 1.561861
2011.952364 -87.545770 -87.101196 1.561861
2011.971542 -87.674197 -87.129799 1.561861
2011.990720 -87.906475 -87.154540 1.561861
2012.009898 -88.235884 -87.175291 1.561861
