# x_interp smoothed_curve trend rsd2
2005.300462 -82.316592 -82.915091 1.959070
2005.319640 -81.905611 -82.916948 1.959070
2005.338818 -81.557231 -82.919599 1.959070
2005.357997 -81.269196 -82.922961 1.959070
2005.377175 -81.019321 -82.926951 1.959070
2005.396353 -80.772187 -82.931482 1.959070
2005.415531 -80.489776 -82.936460 1.959070
2005.434709 -80.143611 -82.941796 1.959070
2005.453887 -79.725440 -82.947389 1.959070
2005.473065 -79.253820 -82.953147 1.959070
2005.492243 -78.774680 -82.958974 1.959070
2005.511421 -78.355363 -82.964769 1.959070
2005.530599 -78.073086 -82.970432 1.959070
2005.549777 -78.000018 -82.975861 1.959070
2005.568955 -78.188102 -82.980959 1.959070
2005.588134 -78.656865 -82.985625 1.959070
2005.607312 -79.386952 -82.989760 1.959070
2005.626490 -80.320962 -82.993268 1.959070
2005.645668 -81.371664 -82.996057 1.959070
2005.664846 -82.436052 -82.998027 1.959070
2005.684024 -83.412596 -82.999095 1.959070
2005.703202 -84.218135 -82.999171 1.959070
2005.722380 -84.801158 -82.998167 1.959070
2005.741558 -85.148829 -82.996009 1.959070
2005.760736 -85.286428 -82.992617 1.959070
2005.779914 -85.269595 -82.987920 1.959070
2005.799092 -85.171079 -82.981855 1.959070
2005.818271 -85.064933 -82.974353 1.959070
2005.837449 -85.011509 -82.965369 1.959070
2005.856627 -85.046238 -82.954837 1.959070
2005.875805 -85.174493 -82.942721 1.959070
2005.894983 -85.373168 -82.928985 1.959070
2005.914161 -85.598330 -82.913596 1.959070
2005.933339 -85.796950 -82.896528 1.959070
2005.952517 -85.919841 -82.877763 1.959070
2005.971695 -85.932868 -82.857285 1.959070
2005.990873 -85.823977 -82.835102 1.959070
2006.010051 -85.604577 -82.811208 1.959070
2006.029229 -85.305340 -82.785611 1.959070
2006.048408 -84.967590 -82.758337 1.959070
2006.067586 -84.632547 -82.729409 1.959070
2006.086764 -84.331163 -82.698864 1.959070
2006.105942 -84.076963 -82.666734 1.959070
2006.125120 -83.863648 -82.633070 1.959070
2006.144298 -83.667901 -82.597929 1.959070
2006.163476 -83.456654 -82.561369 1.959070
2006.182654 -83.196957 -82.523459 1.959070
2006.201832 -82.865928 -82.484281 1.959070
2006.221010 -82.458265 -82.443905 1.959070
2006.240188 -81.989437 -82.402426 1.959070
2006.259366 -81.493597 -82.359939 1.959070
2006.278545 -81.016678 -82.316541 1.959070
2006.297723 -80.606232 -82.272331 1.959070
2006.316901 -80.300492 -82.227433 1.959070
2006.336079 -80.119194 -82.181958 1.959070
2006.355257 -80.058615 -82.136016 1.959070
2006.374435 -80.092094 -82.089738 1.959070
2006.393613 -80.176075 -82.043245 1.959070
2006.412791 -80.260485 -81.996666 1.959070
2006.431969 -80.301071 -81.950137 1.959070
2006.451147 -80.270814 -81.903793 1.959070
2006.470325 -80.167683 -81.857757 1.959070
2006.489503 -80.016764 -81.812190 1.959070
2006.508682 -79.865842 -81.767206 1.959070
2006.527860 -79.775413 -81.722956 1.959070
2006.547038 -79.804872 -81.679570 1.959070
2006.566216 -79.998054 -81.637189 1.959070
2006.585394 -80.371222 -81.595946 1.959070
2006.604572 -80.906350 -81.555976 1.959070
2006.623750 -81.551385 -81.517413 1.959070
2006.642928 -82.227722 -81.480384 1.959070
2006.662106 -82.843593 -81.445013 1.959070
2006.681284 -83.310736 -81.411424 1.959070
2006.700462 -83.560962 -81.379732 1.959070
2006.719640 -83.559260 -81.350055 1.959070
2006.738818 -83.310696 -81.322500 1.959070
2006.757997 -82.859705 -81.297169 1.959070
2006.777175 -82.281931 -81.274162 1.959070
2006.796353 -81.670267 -81.253571 1.959070
2006.815531 -81.118008 -81.235480 1.959070
2006.834709 -80.702516 -81.219974 1.959070
2006.853887 -80.472571 -81.207117 1.959070
2006.873065 -80.441898 -81.196978 1.959070
2006.892243 -80.589754 -81.189614 1.959070
2006.911421 -80.868178 -81.185088 1.959070
2006.930599 -81.213903 -81.183423 1.959070
2006.949777 -81.562315 -81.184665 1.959070
2006.968955 -81.860173 -81.188838 1.959070
2006.988134 -82.074574 -81.195965 1.959070
2007.007312 -82.196430 -81.206051 1.959070
2007.026490 -82.238142 -81.219105 1.959070
2007.045668 -82.226430 -81.235118 1.959070
2007.064846 -82.192443 -81.254080 1.959070
2007.084024 -82.161742 -81.275968 1.959070
2007.103202 -82.146696 -81.300754 1.959070
2007.122380 -82.143144 -81.328402 1.959070
2007.141558 -82.132033 -81.358866 1.959070
2007.160736 -82.085503 -81.392096 1.959070
2007.179914 -81.975755 -81.428033 1.959070
2007.199092 -81.784335 -81.466610 1.959070
2007.218271 -81.509366 -81.507756 1.959070
2007.237449 -81.168727 -81.551392 1.959070
2007.256627 -80.798215 -81.597431 1.959070
2007.275805 -80.444905 -81.645784 1.959070
2007.294983 -80.157201 -81.696354 1.959070
2007.314161 -79.973876 -81.749038 1.959070
2007.333339 -79.914784 -81.803735 1.959070
2007.352517 -79.975547 -81.860324 1.959070
2007.371695 -80.127783 -81.918693 1.959070
2007.390873 -80.324950 -81.978724 1.959070
2007.410051 -80.512788 -82.040294 1.959070
2007.429229 -80.642048 -82.103278 1.959070
2007.448408 -80.680657 -82.167543 1.959070
2007.467586 -80.622473 -82.232969 1.959070
2007.486764 -80.490410 -82.299419 1.959070
2007.505942 -80.333053 -82.366758 1.959070
2007.525120 -80.215190 -82.434853 1.959070
2007.544298 -80.204156 -82.503567 1.959070
2007.563476 -80.354867 -82.572763 1.959070
2007.582654 -80.696811 -82.642312 1.959070
2007.601832 -81.225870 -82.712078 1.959070
2007.621010 -81.902961 -82.781925 1.959070
2007.640188 -82.659954 -82.851722 1.959070
2007.659366 -83.411807 -82.921339 1.959070
2007.678545 -84.072491 -82.990647 1.959070
2007.697723 -84.571448 -83.059521 1.959070
2007.716901 -84.867165 -83.127835 1.959070
2007.736079 -84.955033 -83.195470 1.959070
2007.755257 -84.867881 -83.262309 1.959070
2007.774435 -84.669092 -83.328236 1.959070
2007.793613 -84.439770 -83.393134 1.959070
2007.812791 -84.262704 -83.456908 1.959070
2007.831969 -84.206363 -83.519448 1.959070
2007.851147 -84.312311 -83.580659 1.959070
2007.870325 -84.588402 -83.640435 1.959070
2007.889503 -85.009035 -83.698696 1.959070
2007.908682 -85.522005 -83.755352 1.959070
2007.927860 -86.060322 -83.810323 1.959070
2007.947038 -86.556198 -83.863532 1.959070
2007.966216 -86.954127 -83.914905 1.959070
2007.985394 -87.220313 -83.964376 1.959070
2008.004572 -87.346608 -84.011882 1.959070
2008.023750 -87.348475 -84.057363 1.959070
2008.042928 -87.257815 -84.100766 1.959070
2008.062106 -87.112706 -84.142042 1.959070
2008.081284 -86.946642 -84.181148 1.959070
2008.100462 -86.779946 -84.218044 1.959070
2008.119640 -86.615352 -84.252694 1.959070
2008.138818 -86.438710 -84.285069 1.959070
2008.157997 -86.224429 -84.315140 1.959070
2008.177175 -85.944170 -84.342881 1.959070
2008.196353 -85.576470 -84.368275 1.959070
2008.215531 -85.114736 -84.391309 1.959070
2008.234709 -84.571525 -84.411971 1.959070
2008.253887 -83.977888 -84.430253 1.959070
2008.273065 -83.377810 -84.446149 1.959070
2008.292243 -82.819010 -84.459663 1.959070
2008.311421 -82.342272 -84.470790 1.959070
2008.330599 -81.971993 -84.479540 1.959070
2008.349777 -81.710292 -84.485914 1.959070
2008.368955 -81.536368 -84.489928 1.959070
2008.388134 -81.411457 -84.491594 1.959070
2008.407312 -81.288488 -84.490927 1.959070
2008.426490 -81.124343 -84.487943 1.959070
2008.445668 -80.891900 -84.482658 1.959070
2008.464846 -80.589013 -84.475103 1.959070
2008.484024 -80.242098 -84.465296 1.959070
2008.503202 -79.903269 -84.453255 1.959070
2008.522380 -79.641269 -84.439011 1.959070
2008.541558 -79.527915 -84.422595 1.959070
2008.560736 -79.622847 -84.404033 1.959070
2008.579914 -79.959864 -84.383354 1.959070
2008.599092 -80.537829 -84.360591 1.959070
2008.618271 -81.318270 -84.335774 1.959070
2008.637449 -82.230413 -84.308939 1.959070
2008.656627 -83.182761 -84.280120 1.959070
2008.675805 -84.078991 -84.249354 1.959070
2008.694983 -84.834940 -84.216672 1.959070
2008.714161 -85.393272 -84.182114 1.959070
2008.733339 -85.732792 -84.145719 1.959070
2008.752517 -85.870607 -84.107526 1.959070
2008.771695 -85.856769 -84.067572 1.959070
2008.790873 -85.762657 -84.025903 1.959070
2008.810051 -85.665571 -83.982552 1.959070
2008.829229 -85.632898 -83.937566 1.959070
2008.848408 -85.709035 -83.890992 1.959070
2008.867586 -85.907739 -83.842869 1.959070
2008.886764 -86.211271 -83.793240 1.959070
2008.905942 -86.576213 -83.742156 1.959070
2008.925120 -86.944359 -83.689657 1.959070
2008.944298 -87.256148 -83.635802 1.959070
2008.963476 -87.463472 -83.580631 1.959070
2008.982654 -87.539175 -83.524196 1.959070
2009.001832 -87.481172 -83.466554 1.959070
2009.021010 -87.310590 -83.407753 1.959070
2009.040188 -87.064634 -83.347846 1.959070
2009.059366 -86.786089 -83.286890 1.959070
2009.078545 -86.512059 -83.224937 1.959070
2009.097723 -86.264707 -83.162049 1.959070
2009.116901 -86.046086 -83.098286 1.959070
2009.136079 -85.838250 -83.033704 1.959070
2009.155257 -85.608473 -82.968369 1.959070
2009.174435 -85.318146 -82.902339 1.959070
2009.193613 -84.933189 -82.835687 1.959070
2009.212791 -84.433275 -82.768464 1.959070
2009.231969 -83.817752 -82.700745 1.959070
2009.251147 -83.106677 -82.632596 1.959070
2009.270325 -82.336832 -82.564086 1.959070
2009.289503 -81.553699 -82.495284 1.959070
2009.308682 -80.801417 -82.426259 1.959070
2009.327860 -80.113240 -82.357082 1.959070
2009.347038 -79.504964 -82.287829 1.959070
2009.366216 -78.973001 -82.218561 1.959070
2009.385394 -78.497805 -82.149361 1.959070
2009.404572 -78.051809 -82.080300 1.959070
2009.423750 -77.610105 -82.011450 1.959070
2009.442928 -77.161167 -81.942884 1.959070
2009.462106 -76.714851 -81.874673 1.959070
2009.481284 -76.305398 -81.806891 1.959070
2009.500462 -75.988256 -81.739599 1.959070
2009.519640 -75.830958 -81.672886 1.959070
2009.538818 -75.899587 -81.606812 1.959070
2009.557997 -76.243695 -81.541448 1.959070
2009.577175 -76.882810 -81.476859 1.959070
2009.596353 -77.797665 -81.413113 1.959070
2009.615531 -78.928330 -81.350264 1.959070
2009.634709 -80.180089 -81.288381 1.959070
2009.653887 -81.436250 -81.227526 1.959070
2009.673065 -82.575661 -81.167750 1.959070
2009.692243 -83.491671 -81.109109 1.959070
2009.711421 -84.108874 -81.051653 1.959070
2009.730599 -84.394440 -80.995430 1.959070
2009.749777 -84.361887 -80.940481 1.959070
2009.768955 -84.066678 -80.886849 1.959070
2009.788134 -83.594657 -80.834570 1.959070
2009.807312 -83.045764 -80.783674 1.959070
2009.826490 -82.516330 -80.734192 1.959070
2009.845668 -82.083425 -80.686146 1.959070
2009.864846 -81.794176 -80.639557 1.959070
2009.884024 -81.661808 -80.594439 1.959070
2009.903202 -81.668679 -80.550805 1.959070
2009.922380 -81.775070 -80.508657 1.959070
2009.939098 -81.893745 -80.470790 1.959070
