# x_interp smoothed_curve trend rsd2
2021.690282 -79.898811 -100.548697 1.436075
2021.709460 -84.157468 -100.670960 1.436075
2021.728638 -85.577499 -100.792947 1.436075
2021.747816 -85.165055 -100.914671 1.436075
2021.766994 -83.902155 -101.036114 1.436075
2021.786172 -82.551573 -101.157295 1.436075
2021.805350 -81.555982 -101.278208 1.436075
2021.824529 -81.037087 -101.398857 1.436075
2021.843707 -80.875895 -101.519235 1.436075
2021.862885 -80.838185 -101.639355 1.436075
2021.882063 -80.702524 -101.759208 1.436075
2021.901241 -80.353384 -101.878809 1.436075
2021.920419 -79.816136 -101.998150 1.436075
2021.939597 -79.230735 -102.117235 1.436075
2021.958775 -78.780136 -102.236068 1.436075
2021.977953 -78.603631 -102.354650 1.436075
2021.997131 -78.729954 -102.472983 1.436075
2022.016309 -79.059236 -102.591071 1.436075
2022.035487 -79.407986 -102.708916 1.436075
2022.054666 -79.611338 -102.826520 1.436075
2022.073844 -79.656938 -102.943887 1.436075
2022.093022 -79.810794 -103.061018 1.436075
2022.112200 -80.691205 -103.177917 1.436075
2022.131378 -83.254533 -103.294587 1.436075
2022.150556 -88.674977 -103.411030 1.436075
2022.169734 -98.125878 -103.527250 1.436075
2022.188912 -112.496584 -103.643249 1.436075
2022.208090 -132.100219 -103.759030 1.436075
2022.227268 -156.438087 -103.874597 1.436075
2022.246446 -184.082634 -103.989953 1.436075
2022.265624 -212.722634 -104.105100 1.436075
2022.284803 -239.384484 -104.220041 1.436075
2022.303981 -260.808143 -104.334779 1.436075
2022.323159 -273.922608 -104.449317 1.436075
2022.342337 -276.341269 -104.563659 1.436075
2022.361515 -266.787718 -104.677806 1.436075
2022.380693 -245.370373 -104.791762 1.436075
2022.399871 -213.648704 -104.905529 1.436075
2022.419049 -174.470437 -105.019110 1.436075
2022.438227 -131.600900 -105.132508 1.436075
2022.457405 -89.204152 -105.245725 1.436075
2022.476583 -51.263162 -105.358763 1.436075
2022.495761 -21.037330 -105.471625 1.436075
2022.514940 -0.647977 -105.584313 1.436075
2022.534118 9.142347 -105.696830 1.436075
2022.553296 8.927654 -105.809177 1.436075
2022.572474 0.445628 -105.921355 1.436075
2022.591652 -13.796253 -106.033368 1.436075
2022.610830 -30.979447 -106.145217 1.436075
2022.630008 -48.431310 -106.256903 1.436075
2022.649186 -64.000516 -106.368427 1.436075
2022.668364 -76.293136 -106.479791 1.436075
2022.687542 -84.743354 -106.590997 1.436075
2022.706720 -89.527297 -106.702045 1.436075
2022.725898 -91.358399 -106.812936 1.436075
2022.745077 -91.221990 -106.923670 1.436075
2022.764255 -90.112225 -107.034249 1.436075
2022.783433 -88.825795 -107.144673 1.436075
2022.802611 -87.847123 -107.254944 1.436075
2022.821789 -87.334324 -107.365059 1.436075
2022.840967 -87.190276 -107.475019 1.436075
2022.860145 -87.184632 -107.584825 1.436075
2022.879323 -87.084394 -107.694476 1.436075
2022.898501 -86.754054 -107.803971 1.436075
2022.917679 -86.199713 -107.913311 1.436075
2022.936857 -85.550883 -108.022495 1.436075
2022.956035 -84.993574 -108.131521 1.436075
2022.975214 -84.683327 -108.240388 1.436075
2022.994392 -84.673055 -108.349096 1.436075
2023.013570 -84.886226 -108.457644 1.436075
2023.032748 -85.152211 -108.566030 1.436075
2023.051926 -85.301008 -108.674254 1.436075
2023.071104 -85.294397 -108.782312 1.436075
2023.087441 -85.317175 -108.874345 1.436075
