# x_interp smoothed_curve trend rsd2
2004.822518 -95.741103 -92.215835 3.293845
2004.841696 -95.404397 -91.993051 3.293845
2004.860874 -95.059587 -91.770159 3.293845
2004.880052 -94.731224 -91.547470 3.293845
2004.899231 -94.432625 -91.325300 3.293845
2004.918409 -94.165337 -91.103966 3.293845
2004.937587 -93.920947 -90.883787 3.293845
2004.956765 -93.684637 -90.665084 3.293845
2004.975943 -93.439574 -90.448175 3.293845
2004.995121 -93.171076 -90.233377 3.293845
2005.014299 -92.869618 -90.021006 3.293845
2005.033477 -92.532087 -89.811371 3.293845
2005.052655 -92.161110 -89.604778 3.293845
2005.071833 -91.762774 -89.401527 3.293845
2005.091011 -91.343446 -89.201909 3.293845
2005.110189 -90.906594 -89.006210 3.293845
2005.129368 -90.450502 -88.814704 3.293845
2005.148546 -89.967560 -88.627655 3.293845
2005.167724 -89.445383 -88.445319 3.293845
2005.186902 -88.869605 -88.267935 3.293845
2005.206080 -88.227728 -88.095733 3.293845
2005.225258 -87.513160 -87.928929 3.293845
2005.244436 -86.728493 -87.767723 3.293845
2005.263614 -85.887198 -87.612300 3.293845
2005.282792 -85.013296 -87.462830 3.293845
2005.301970 -84.138961 -87.319468 3.293845
2005.321148 -83.300499 -87.182348 3.293845
2005.340326 -82.533505 -87.051592 3.293845
2005.359505 -81.868182 -86.927299 3.293845
2005.378683 -81.325748 -86.809553 3.293845
2005.397861 -80.916632 -86.698420 3.293845
2005.417039 -80.640750 -86.593945 3.293845
2005.436217 -80.489656 -86.496157 3.293845
2005.455395 -80.449999 -86.405063 3.293845
2005.474573 -80.507382 -86.320656 3.293845
2005.493751 -80.649702 -86.242910 3.293845
2005.512929 -80.869164 -86.171774 3.293845
2005.532107 -81.162531 -86.107182 3.293845
2005.551285 -81.529630 -86.049054 3.293845
2005.570463 -81.970492 -85.997285 3.293845
2005.589642 -82.482020 -85.951765 3.293845
2005.608820 -83.055021 -85.912358 3.293845
2005.627998 -83.672572 -85.878914 3.293845
2005.647176 -84.310252 -85.851267 3.293845
2005.666354 -84.938425 -85.829237 3.293845
2005.685532 -85.526210 -85.812631 3.293845
2005.704710 -86.046406 -85.801241 3.293845
2005.723888 -86.480309 -85.794849 3.293845
2005.743066 -86.821355 -85.793223 3.293845
2005.762244 -87.076723 -85.796121 3.293845
2005.781422 -87.266411 -85.803296 3.293845
2005.800600 -87.419833 -85.814480 3.293845
2005.819778 -87.570551 -85.829413 3.293845
2005.838957 -87.750068 -85.847833 3.293845
2005.858135 -87.981879 -85.869430 3.293845
2005.877313 -88.277123 -85.893944 3.293845
2005.896491 -88.632356 -85.921072 3.293845
2005.915669 -89.030231 -85.950529 3.293845
2005.934847 -89.442654 -85.982034 3.293845
2005.954025 -89.835845 -86.015279 3.293845
2005.973203 -90.176344 -86.049988 3.293845
2005.992381 -90.436573 -86.085862 3.293845
2006.011559 -90.599051 -86.122609 3.293845
2006.030737 -90.658428 -86.159956 3.293845
2006.049915 -90.621003 -86.197614 3.293845
2006.069094 -90.502133 -86.235326 3.293845
2006.088272 -90.322024 -86.272808 3.293845
2006.107450 -90.101131 -86.309814 3.293845
2006.126628 -89.855969 -86.346088 3.293845
2006.145806 -89.596378 -86.381379 3.293845
2006.164984 -89.324688 -86.415467 3.293845
2006.184162 -89.036779 -86.448137 3.293845
2006.203340 -88.724678 -86.479156 3.293845
2006.222518 -88.380034 -86.508336 3.293845
2006.241696 -87.997402 -86.535496 3.293845
2006.260874 -87.576635 -86.560452 3.293845
2006.280052 -87.123826 -86.583056 3.293845
2006.299231 -86.650515 -86.603134 3.293845
2006.318409 -86.171609 -86.620572 3.293845
2006.337587 -85.702379 -86.635253 3.293845
2006.356765 -85.255481 -86.647045 3.293845
2006.375943 -84.838880 -86.655884 3.293845
2006.395121 -84.454981 -86.661675 3.293845
2006.414299 -84.101543 -86.664362 3.293845
2006.433477 -83.773934 -86.663893 3.293845
2006.452655 -83.468290 -86.660238 3.293845
2006.471833 -83.184688 -86.653370 3.293845
2006.491011 -82.929493 -86.643271 3.293845
2006.510189 -82.716190 -86.629972 3.293845
2006.529368 -82.564157 -86.613469 3.293845
2006.548546 -82.495762 -86.593814 3.293845
2006.567724 -82.531983 -86.571041 3.293845
2006.586902 -82.687697 -86.545207 3.293845
2006.606080 -82.967544 -86.516385 3.293845
2006.625258 -83.363368 -86.484658 3.293845
2006.644436 -83.853923 -86.450107 3.293845
2006.663614 -84.407087 -86.412836 3.293845
2006.682792 -84.984220 -86.372963 3.293845
2006.701970 -85.545908 -86.330604 3.293845
2006.721148 -86.057996 -86.285882 3.293845
2006.740326 -86.496725 -86.238926 3.293845
2006.759505 -86.851937 -86.189900 3.293845
2006.778683 -87.127621 -86.138932 3.293845
2006.797861 -87.339869 -86.086179 3.293845
2006.817039 -87.512511 -86.031806 3.293845
2006.836217 -87.671395 -85.975975 3.293845
2006.855395 -87.838486 -85.918854 3.293845
2006.874573 -88.026988 -85.860610 3.293845
2006.893751 -88.238437 -85.801417 3.293845
2006.912929 -88.462298 -85.741446 3.293845
2006.932107 -88.678086 -85.680871 3.293845
2006.951285 -88.859460 -85.619867 3.293845
2006.970463 -88.979376 -85.558609 3.293845
2006.989642 -89.015168 -85.497270 3.293845
2007.008820 -88.952506 -85.436017 3.293845
2007.027998 -88.787457 -85.375021 3.293845
2007.047176 -88.526314 -85.314460 3.293845
2007.066354 -88.183342 -85.254489 3.293845
2007.085532 -87.777139 -85.195270 3.293845
2007.104710 -87.326469 -85.136958 3.293845
2007.123888 -86.846590 -85.079706 3.293845
2007.143066 -86.346905 -85.023659 3.293845
2007.162244 -85.830464 -84.968960 3.293845
2007.181422 -85.295327 -84.915743 3.293845
2007.200600 -84.737409 -84.864140 3.293845
2007.219778 -84.154056 -84.814271 3.293845
2007.238957 -83.547418 -84.766256 3.293845
2007.258135 -82.926775 -84.720205 3.293845
2007.277313 -82.309202 -84.676225 3.293845
2007.296491 -81.718359 -84.634410 3.293845
2007.315669 -81.181674 -84.594849 3.293845
2007.334847 -80.726505 -84.557623 3.293845
2007.354025 -80.376153 -84.522810 3.293845
2007.373203 -80.146605 -84.490472 3.293845
2007.392381 -80.044743 -84.460669 3.293845
2007.411559 -80.068336 -84.433465 3.293845
2007.430737 -80.207732 -84.408889 3.293845
2007.449915 -80.448870 -84.386985 3.293845
2007.469094 -80.776676 -84.367785 3.293845
2007.488272 -81.178066 -84.351308 3.293845
2007.507450 -81.643732 -84.337572 3.293845
2007.526628 -82.168257 -84.326584 3.293845
2007.545806 -82.748489 -84.318348 3.293845
2007.564984 -83.380604 -84.312857 3.293845
2007.584162 -84.056601 -84.310098 3.293845
2007.603340 -84.761224 -84.310048 3.293845
2007.622518 -85.470221 -84.312683 3.293845
2007.641696 -86.150617 -84.317971 3.293845
2007.660874 -86.763245 -84.325882 3.293845
2007.680052 -87.267254 -84.336367 3.293845
2007.699231 -87.625903 -84.349379 3.293845
2007.718409 -87.812498 -84.364860 3.293845
2007.737587 -87.815348 -84.382750 3.293845
2007.756765 -87.640650 -84.402986 3.293845
2007.775943 -87.312657 -84.425494 3.293845
2007.795121 -86.870978 -84.450204 3.293845
2007.814299 -86.365391 -84.477036 3.293845
2007.833477 -85.849106 -84.505905 3.293845
2007.852655 -85.371661 -84.536725 3.293845
2007.871833 -84.972723 -84.569404 3.293845
2007.891011 -84.677849 -84.603847 3.293845
2007.910189 -84.496880 -84.639956 3.293845
2007.929368 -84.425055 -84.677629 3.293845
2007.948546 -84.446442 -84.716766 3.293845
2007.967724 -84.538787 -84.757246 3.293845
2007.986902 -84.678752 -84.798976 3.293845
2008.006080 -84.846309 -84.841836 3.293845
2008.025258 -85.027567 -84.885703 3.293845
2008.044436 -85.215565 -84.930476 3.293845
2008.063614 -85.408989 -84.976027 3.293845
2008.082792 -85.609477 -85.022238 3.293845
2008.101970 -85.818231 -85.068984 3.293845
2008.121148 -86.032961 -85.116152 3.293845
2008.140326 -86.245901 -85.163609 3.293845
2008.159505 -86.443550 -85.211232 3.293845
2008.178683 -86.608127 -85.258904 3.293845
2008.197861 -86.720421 -85.306490 3.293845
2008.217039 -86.763417 -85.353868 3.293845
2008.236217 -86.725729 -85.400918 3.293845
2008.255395 -86.604049 -85.447509 3.293845
2008.274573 -86.404017 -85.493511 3.293845
2008.293751 -86.139305 -85.538811 3.293845
2008.312929 -85.829037 -85.583282 3.293845
2008.332107 -85.494279 -85.626807 3.293845
