# x_interp smoothed_curve trend rsd2
2012.539700 -86.971294 -88.350502 3.643738
2012.558878 -87.176183 -88.342489 3.643738
2012.578056 -87.371589 -88.336869 3.643738
2012.597234 -87.509132 -88.333698 3.643738
2012.616412 -87.559249 -88.333025 3.643738
2012.635590 -87.521822 -88.334894 3.643738
2012.654768 -87.429343 -88.339341 3.643738
2012.673947 -87.341396 -88.346395 3.643738
2012.693125 -87.331331 -88.356077 3.643738
2012.712303 -87.467999 -88.368400 3.643738
2012.731481 -87.796771 -88.383371 3.643738
2012.750659 -88.324440 -88.400988 3.643738
2012.769837 -89.011946 -88.421242 3.643738
2012.789015 -89.777172 -88.444116 3.643738
2012.808193 -90.507896 -88.469584 3.643738
2012.827371 -91.082579 -88.497614 3.643738
2012.846549 -91.394849 -88.528166 3.643738
2012.865727 -91.376476 -88.561192 3.643738
2012.884905 -91.013794 -88.596635 3.643738
2012.904084 -90.353739 -88.634434 3.643738
2012.923262 -89.497827 -88.674519 3.643738
2012.942440 -88.584933 -88.716813 3.643738
2012.961618 -87.766134 -88.761233 3.643738
2012.980796 -87.176633 -88.807689 3.643738
2012.999974 -86.910474 -88.856087 3.643738
2013.019152 -87.003203 -88.906325 3.643738
2013.038330 -87.426026 -88.958296 3.643738
2013.057508 -88.092584 -89.011891 3.643738
2013.076686 -88.876851 -89.066992 3.643738
2013.095864 -89.638343 -89.123483 3.643738
2013.115042 -90.249356 -89.181238 3.643738
2013.134221 -90.618630 -89.240127 3.643738
2013.153399 -90.706688 -89.300025 3.643738
2013.172577 -90.529965 -89.360800 3.643738
2013.191755 -90.153336 -89.422319 3.643738
2013.210933 -89.673084 -89.484444 3.643738
2013.230111 -89.194374 -89.547042 3.643738
2013.249289 -88.808312 -89.609987 3.643738
2013.268467 -88.573540 -89.673126 3.643738
2013.287645 -88.506287 -89.736333 3.643738
2013.306823 -88.580508 -89.799474 3.643738
2013.326001 -88.737690 -89.862421 3.643738
2013.345179 -88.903562 -89.925040 3.643738
2013.364358 -89.007616 -89.987204 3.643738
2013.383536 -89.000733 -90.048792 3.643738
2013.402714 -88.866910 -90.109683 3.643738
2013.421892 -88.626551 -90.169754 3.643738
2013.441070 -88.330897 -90.228898 3.643738
2013.460248 -88.049176 -90.287007 3.643738
2013.479426 -87.851879 -90.343981 3.643738
2013.498604 -87.794289 -90.399709 3.643738
2013.517782 -87.904368 -90.454112 3.643738
2013.536960 -88.177741 -90.507101 3.643738
2013.556138 -88.581003 -90.558593 3.643738
2013.575316 -89.062281 -90.608515 3.643738
2013.594495 -89.566266 -90.656799 3.643738
2013.613673 -90.049802 -90.703384 3.643738
2013.632851 -90.493937 -90.748215 3.643738
2013.652029 -90.909175 -90.791245 3.643738
2013.671207 -91.332353 -90.832434 3.643738
2013.690385 -91.815596 -90.871744 3.643738
