# x_interp smoothed_curve trend rsd2
2005.249222 -86.259683 -87.625963 2.599946
2005.268400 -85.971986 -87.592259 2.599946
2005.287578 -85.754195 -87.558857 2.599946
2005.306756 -85.586760 -87.525704 2.599946
2005.325934 -85.441687 -87.492746 2.599946
2005.345112 -85.289946 -87.459919 2.599946
2005.364290 -85.109202 -87.427165 2.599946
2005.383468 -84.890178 -87.394422 2.599946
2005.402646 -84.640323 -87.361618 2.599946
2005.421825 -84.384044 -87.328712 2.599946
2005.441003 -84.159259 -87.295632 2.599946
2005.460181 -84.011123 -87.262316 2.599946
2005.479359 -83.983993 -87.228696 2.599946
2005.498537 -84.113278 -87.194708 2.599946
2005.517715 -84.418690 -87.160294 2.599946
2005.536893 -84.900136 -87.125388 2.599946
2005.556071 -85.536971 -87.089925 2.599946
2005.575249 -86.290599 -87.053839 2.599946
2005.594427 -87.109798 -87.017064 2.599946
2005.613605 -87.937662 -86.979539 2.599946
2005.632783 -88.718805 -86.941203 2.599946
2005.651962 -89.405554 -86.901995 2.599946
2005.671140 -89.962198 -86.861858 2.599946
2005.690318 -90.366808 -86.820728 2.599946
2005.709496 -90.610761 -86.778543 2.599946
2005.728674 -90.696516 -86.735251 2.599946
2005.747852 -90.634503 -86.690797 2.599946
2005.767030 -90.440054 -86.645128 2.599946
2005.786208 -90.131115 -86.598190 2.599946
2005.805386 -89.727130 -86.549926 2.599946
2005.824564 -89.249073 -86.500294 2.599946
2005.843742 -88.720134 -86.449250 2.599946
2005.862920 -88.166441 -86.396749 2.599946
2005.882099 -87.617089 -86.342751 2.599946
2005.901277 -87.102925 -86.287216 2.599946
2005.920455 -86.653937 -86.230112 2.599946
2005.939633 -86.295501 -86.171406 2.599946
2005.958811 -86.044198 -86.111071 2.599946
2005.977989 -85.904107 -86.049077 2.599946
2005.997167 -85.864636 -85.985405 2.599946
2006.016345 -85.900598 -85.920036 2.599946
2006.035523 -85.974956 -85.852949 2.599946
2006.054701 -86.044030 -85.784147 2.599946
2006.073879 -86.064321 -85.713616 2.599946
2006.093057 -85.999894 -85.641356 2.599946
2006.112236 -85.828765 -85.567368 2.599946
2006.131414 -85.547074 -85.491658 2.599946
2006.150592 -85.170045 -85.414240 2.599946
2006.169770 -84.729427 -85.335128 2.599946
2006.188948 -84.267772 -85.254343 2.599946
2006.208126 -83.830588 -85.171911 2.599946
2006.227304 -83.457834 -85.087863 2.599946
2006.246482 -83.176444 -85.002235 2.599946
2006.265660 -82.995348 -84.915067 2.599946
2006.284838 -82.904024 -84.826406 2.599946
2006.304016 -82.874885 -84.736303 2.599946
2006.323194 -82.869062 -84.644814 2.599946
2006.342373 -82.844454 -84.552000 2.599946
2006.361551 -82.764454 -84.457930 2.599946
2006.380729 -82.605646 -84.362674 2.599946
2006.399907 -82.362970 -84.266310 2.599946
2006.419085 -82.051364 -84.168921 2.599946
2006.438263 -81.703617 -84.070593 2.599946
2006.457441 -81.364905 -83.971420 2.599946
2006.476619 -81.085101 -83.871498 2.599946
2006.495797 -80.910377 -83.770927 2.599946
2006.514975 -80.875684 -83.669816 2.599946
2006.534153 -80.999411 -83.568277 2.599946
2006.553331 -81.281096 -83.466424 2.599946
2006.572510 -81.702377 -83.364377 2.599946
2006.591688 -82.230708 -83.262258 2.599946
2006.610866 -82.824923 -83.160194 2.599946
2006.630044 -83.441387 -83.058318 2.599946
2006.649222 -84.039536 -82.956763 2.599946
2006.668400 -84.585872 -82.855671 2.599946
2006.687578 -85.055887 -82.755168 2.599946
2006.706756 -85.434039 -82.655403 2.599946
2006.725934 -85.712153 -82.556520 2.599946
2006.745112 -85.887152 -82.458676 2.599946
2006.764290 -85.958858 -82.361990 2.599946
2006.783468 -85.928771 -82.266633 2.599946
2006.802646 -85.799870 -82.172747 2.599946
2006.821825 -85.577649 -82.080483 2.599946
2006.841003 -85.271749 -81.989987 2.599946
2006.860181 -84.897516 -81.901408 2.599946
2006.879359 -84.476704 -81.814890 2.599946
2006.898537 -84.036720 -81.730584 2.599946
2006.917715 -83.608155 -81.648633 2.599946
2006.936893 -83.220873 -81.569177 2.599946
2006.956071 -82.899294 -81.492357 2.599946
2006.975249 -82.657856 -81.418310 2.599946
2006.994427 -82.497747 -81.347170 2.599946
2007.013605 -82.405790 -81.279065 2.599946
2007.032783 -82.355995 -81.214121 2.599946
2007.051962 -82.313714 -81.152459 2.599946
2007.071140 -82.241771 -81.094194 2.599946
2007.090318 -82.107446 -81.039438 2.599946
2007.109496 -81.888923 -80.988293 2.599946
2007.128674 -81.579868 -80.940860 2.599946
2007.147852 -81.191100 -80.897230 2.599946
2007.167030 -80.748902 -80.857488 2.599946
2007.186208 -80.290188 -80.821713 2.599946
2007.205386 -79.855435 -80.789976 2.599946
2007.224564 -79.480752 -80.762339 2.599946
2007.243742 -79.190704 -80.738859 2.599946
2007.262920 -78.993380 -80.719582 2.599946
2007.282099 -78.878773 -80.704546 2.599946
2007.301277 -78.820856 -80.693783 2.599946
2007.320455 -78.783018 -80.687313 2.599946
2007.339633 -78.725806 -80.685150 2.599946
2007.358811 -78.615439 -80.687296 2.599946
2007.377989 -78.431404 -80.693747 2.599946
2007.397167 -78.171611 -80.704488 2.599946
2007.416345 -77.854067 -80.719496 2.599946
2007.435523 -77.514722 -80.738737 2.599946
2007.454701 -77.201906 -80.762170 2.599946
2007.473879 -76.968421 -80.789744 2.599946
2007.493057 -76.862789 -80.821399 2.599946
2007.512236 -76.921279 -80.857068 2.599946
2007.531414 -77.162126 -80.896672 2.599946
2007.550592 -77.582878 -80.940126 2.599946
2007.569770 -78.161160 -80.987335 2.599946
2007.588948 -78.858483 -81.038199 2.599946
2007.608126 -79.626182 -81.092607 2.599946
2007.627304 -80.412242 -81.150442 2.599946
2007.646482 -81.167728 -81.211579 2.599946
2007.665660 -81.851785 -81.275887 2.599946
2007.684838 -82.434576 -81.343228 2.599946
2007.704016 -82.898063 -81.413459 2.599946
2007.723194 -83.235010 -81.486429 2.599946
2007.742373 -83.446937 -81.561985 2.599946
2007.761551 -83.541822 -81.639965 2.599946
2007.780729 -83.532307 -81.720205 2.599946
2007.799907 -83.434781 -81.802539 2.599946
2007.819085 -83.269388 -81.886793 2.599946
2007.838263 -83.060553 -81.972794 2.599946
2007.857441 -82.837425 -82.060365 2.599946
2007.876619 -82.633519 -82.149326 2.599946
2007.895797 -82.485022 -82.239497 2.599946
2007.914975 -82.427570 -82.330696 2.599946
2007.934153 -82.491745 -82.422742 2.599946
2007.953331 -82.697994 -82.515452 2.599946
2007.972510 -83.051966 -82.608647 2.599946
2007.991688 -83.541381 -82.702144 2.599946
2008.010866 -84.135357 -82.795767 2.599946
2008.030044 -84.786725 -82.889338 2.599946
2008.049222 -85.437290 -82.982685 2.599946
2008.068400 -86.025363 -83.075635 2.599946
2008.087578 -86.494389 -83.168021 2.599946
2008.106756 -86.801165 -83.259680 2.599946
2008.125934 -86.922133 -83.350452 2.599946
2008.145112 -86.856544 -83.440179 2.599946
2008.164290 -86.625868 -83.528720 2.599946
2008.183468 -86.269445 -83.615926 2.599946
2008.202646 -85.837258 -83.701659 2.599946
2008.221825 -85.381135 -83.785789 2.599946
2008.241003 -84.946047 -83.868191 2.599946
2008.260181 -84.563174 -83.948745 2.599946
2008.279359 -84.246003 -84.027339 2.599946
2008.298537 -83.990131 -84.103869 2.599946
2008.317715 -83.776662 -84.178239 2.599946
2008.336893 -83.578418 -84.250359 2.599946
2008.356071 -83.367586 -84.320149 2.599946
2008.375249 -83.123189 -84.387534 2.599946
2008.394427 -82.836839 -84.452453 2.599946
2008.413605 -82.515617 -84.514833 2.599946
2008.432783 -82.181643 -84.574637 2.599946
2008.451962 -81.868354 -84.631823 2.599946
2008.471140 -81.614517 -84.686357 2.599946
2008.490318 -81.457136 -84.738204 2.599946
2008.509496 -81.424816 -84.787352 2.599946
2008.528674 -81.532779 -84.833791 2.599946
2008.547852 -81.780523 -84.877520 2.599946
2008.567030 -82.152363 -84.918538 2.599946
2008.586208 -82.620602 -84.956862 2.599946
2008.605386 -83.150437 -84.992516 2.599946
2008.624564 -83.705484 -85.025510 2.599946
2008.643742 -84.252830 -85.055891 2.599946
2008.662920 -84.766504 -85.083695 2.599946
2008.682099 -85.229019 -85.108966 2.599946
2008.701277 -85.630885 -85.131757 2.599946
2008.720455 -85.968607 -85.152123 2.599946
2008.739633 -86.241962 -85.170128 2.599946
2008.758811 -86.451485 -85.185839 2.599946
2008.777989 -86.596918 -85.199328 2.599946
2008.797167 -86.677083 -85.210672 2.599946
2008.816345 -86.691159 -85.219948 2.599946
2008.835523 -86.640928 -85.227245 2.599946
2008.854701 -86.533199 -85.232649 2.599946
2008.873879 -86.381565 -85.236251 2.599946
2008.893057 -86.206698 -85.238144 2.599946
2008.912236 -86.034781 -85.238423 2.599946
2008.931414 -85.894119 -85.237182 2.599946
2008.950592 -85.810479 -85.234524 2.599946
2008.969770 -85.802085 -85.230549 2.599946
2008.988948 -85.875391 -85.225359 2.599946
2009.008126 -86.022697 -85.219058 2.599946
2009.027304 -86.222283 -85.211742 2.599946
2009.046482 -86.441348 -85.203518 2.599946
2009.065660 -86.641246 -85.194486 2.599946
2009.084838 -86.784163 -85.184752 2.599946
2009.104016 -86.839893 -85.174414 2.599946
2009.123194 -86.791347 -85.163570 2.599946
2009.142373 -86.637613 -85.152316 2.599946
2009.161551 -86.393878 -85.140758 2.599946
2009.180729 -86.088132 -85.128985 2.599946
2009.199907 -85.755348 -85.117088 2.599946
2009.219085 -85.430260 -85.105160 2.599946
2009.238263 -85.140265 -85.093290 2.599946
2009.257441 -84.899954 -85.081565 2.599946
2009.276619 -84.708430 -85.070066 2.599946
2009.295797 -84.550054 -85.058873 2.599946
2009.314975 -84.398467 -85.048064 2.599946
2009.334153 -84.223103 -85.037714 2.599946
