# x_interp smoothed_curve trend rsd2
2023.084932 -77.664137 -79.839710 1.170254
2023.104110 -77.693965 -79.781711 1.170254
2023.123288 -77.856120 -79.723661 1.170254
2023.142466 -78.097143 -79.665557 1.170254
2023.161644 -78.347652 -79.607400 1.170254
2023.180822 -78.538812 -79.549189 1.170254
2023.200000 -78.618935 -79.490926 1.170254
2023.219179 -78.566230 -79.432609 1.170254
2023.238357 -78.394597 -79.374242 1.170254
2023.257535 -78.150917 -79.315822 1.170254
2023.276713 -77.904356 -79.257348 1.170254
2023.295891 -77.730026 -79.198820 1.170254
2023.315069 -77.690749 -79.140239 1.170254
2023.334247 -77.821184 -79.081606 1.170254
2023.353425 -78.118105 -79.022921 1.170254
2023.372603 -78.539279 -78.964184 1.170254
2023.391781 -79.011429 -78.905396 1.170254
2023.410959 -79.445695 -78.846556 1.170254
2023.430137 -79.757252 -78.787660 1.170254
2023.449316 -79.884724 -78.728715 1.170254
2023.468494 -79.804939 -78.669716 1.170254
2023.487672 -79.539626 -78.610668 1.170254
2023.506850 -79.152299 -78.551568 1.170254
2023.526028 -78.735814 -78.492418 1.170254
2023.545206 -78.393124 -78.433215 1.170254
2023.564384 -78.215338 -78.373961 1.170254
2023.583562 -78.261804 -78.314656 1.170254
2023.602740 -78.546571 -78.255301 1.170254
2023.621918 -79.034233 -78.195894 1.170254
2023.641096 -79.646095 -78.136438 1.170254
2023.660274 -80.275418 -78.076931 1.170254
2023.679453 -80.808485 -78.017374 1.170254
2023.698631 -81.147017 -77.957766 1.170254
2023.717809 -81.227172 -77.898107 1.170254
2023.736987 -81.031170 -77.838399 1.170254
2023.756165 -80.589196 -77.778640 1.170254
2023.775343 -79.971403 -77.718831 1.170254
2023.794521 -79.271950 -77.658973 1.170254
2023.813699 -78.588734 -77.599064 1.170254
2023.832877 -78.003317 -77.539105 1.170254
2023.852055 -77.565405 -77.479095 1.170254
2023.871233 -77.285099 -77.419036 1.170254
2023.890411 -77.134337 -77.358926 1.170254
2023.909590 -77.056855 -77.298766 1.170254
2023.928768 -76.984052 -77.238556 1.170254
2023.947946 -76.852924 -77.178295 1.170254
2023.967124 -76.621817 -77.117983 1.170254
2023.986302 -76.280387 -77.057620 1.170254
2024.005480 -75.851579 -76.997207 1.170254
2024.024658 -75.385352 -76.936744 1.170254
2024.043836 -74.945845 -76.876230 1.170254
2024.063014 -74.595186 -76.815663 1.170254
2024.082192 -74.377945 -76.755045 1.170254
2024.101370 -74.309998 -76.694375 1.170254
2024.120548 -74.374533 -76.633655 1.170254
2024.139727 -74.526185 -76.572883 1.170254
2024.158905 -74.702323 -76.512059 1.170254
2024.178083 -74.838808 -76.451183 1.170254
2024.197261 -74.886401 -76.390254 1.170254
2024.218579 -74.808213 -76.322464 1.170254
