# x_interp smoothed_curve trend rsd2
2005.274081 -65.898305 -68.409400 1.632795
2005.293259 -66.081551 -68.415885 1.632795
2005.312437 -66.491909 -68.421386 1.632795
2005.331615 -67.140690 -68.425947 1.632795
2005.350793 -67.992562 -68.429616 1.632795
2005.369971 -68.968775 -68.432443 1.632795
2005.389150 -69.960250 -68.434481 1.632795
2005.408328 -70.847933 -68.435788 1.632795
2005.427506 -71.526117 -68.436423 1.632795
2005.446684 -71.923644 -68.436448 1.632795
2005.465862 -72.018286 -68.435927 1.632795
2005.485040 -71.841021 -68.434928 1.632795
2005.504218 -71.469127 -68.433519 1.632795
2005.523396 -71.009476 -68.431774 1.632795
2005.542574 -70.575566 -68.429764 1.632795
2005.561752 -70.263281 -68.427566 1.632795
2005.580930 -70.130634 -68.425254 1.632795
2005.600108 -70.185941 -68.422909 1.632795
2005.619287 -70.386988 -68.420608 1.632795
2005.638465 -70.651380 -68.418432 1.632795
2005.657643 -70.875773 -68.416460 1.632795
2005.676821 -70.959740 -68.414774 1.632795
2005.695999 -70.829024 -68.413454 1.632795
2005.715177 -70.453064 -68.412581 1.632795
2005.734355 -69.852964 -68.412235 1.632795
2005.753533 -69.098198 -68.412495 1.632795
2005.772711 -68.292818 -68.413439 1.632795
2005.791889 -67.554234 -68.415143 1.632795
2005.811067 -66.989238 -68.417684 1.632795
2005.830245 -66.672471 -68.421132 1.632795
2005.849424 -66.631968 -68.425561 1.632795
2005.868602 -66.844744 -68.431038 1.632795
2005.887780 -67.243158 -68.437630 1.632795
2005.906958 -67.730406 -68.445400 1.632795
2005.926136 -68.201495 -68.454406 1.632795
2005.945314 -68.564956 -68.464702 1.632795
2005.964492 -68.760508 -68.476350 1.632795
2005.983670 -68.768886 -68.489385 1.632795
2006.002848 -68.612063 -68.503861 1.632795
2006.022026 -68.344119 -68.519813 1.632795
2006.041204 -68.035405 -68.537277 1.632795
2006.060382 -67.753929 -68.556283 1.632795
2006.079561 -67.548541 -68.576858 1.632795
2006.098739 -67.437947 -68.599021 1.632795
2006.117917 -67.408056 -68.622787 1.632795
2006.137095 -67.418160 -68.648166 1.632795
2006.156273 -67.414248 -68.675167 1.632795
2006.175451 -67.346004 -68.703784 1.632795
2006.194629 -67.183181 -68.734007 1.632795
2006.213807 -66.927105 -68.765830 1.632795
2006.232985 -66.614187 -68.799234 1.632795
2006.252163 -66.310315 -68.834195 1.632795
2006.271341 -66.097122 -68.870684 1.632795
2006.290519 -66.053160 -68.908667 1.632795
2006.309697 -66.234324 -68.948102 1.632795
2006.328876 -66.658237 -68.988946 1.632795
2006.348054 -67.296455 -69.031148 1.632795
2006.367232 -68.076733 -69.074653 1.632795
2006.386410 -68.895279 -69.119401 1.632795
2006.405588 -69.636658 -69.165325 1.632795
2006.424766 -70.197174 -69.212355 1.632795
2006.443944 -70.506676 -69.260418 1.632795
2006.463122 -70.543916 -69.309434 1.632795
2006.482300 -70.341957 -69.359320 1.632795
2006.501478 -69.982212 -69.409992 1.632795
2006.520656 -69.578195 -69.461358 1.632795
2006.539834 -69.252323 -69.513326 1.632795
2006.559013 -69.110667 -69.565801 1.632795
2006.578191 -69.221027 -69.618683 1.632795
2006.597369 -69.599020 -69.671872 1.632795
2006.616547 -70.205141 -69.725265 1.632795
2006.635725 -70.953374 -69.778761 1.632795
2006.654903 -71.729420 -69.832249 1.632795
2006.674081 -72.414574 -69.885627 1.632795
2006.693259 -72.910000 -69.938787 1.632795
2006.712437 -73.156241 -69.991619 1.632795
2006.731615 -73.143797 -70.044020 1.632795
2006.750793 -72.912666 -70.095880 1.632795
2006.769971 -72.541214 -70.147093 1.632795
2006.789150 -72.127031 -70.197556 1.632795
2006.808328 -71.764214 -70.247165 1.632795
2006.827506 -71.522194 -70.295818 1.632795
2006.846684 -71.430812 -70.343416 1.632795
2006.865862 -71.474856 -70.389861 1.632795
2006.885040 -71.599087 -70.435060 1.632795
2006.904218 -71.722422 -70.478920 1.632795
2006.923396 -71.757858 -70.521354 1.632795
2006.942574 -71.633527 -70.562278 1.632795
2006.961752 -71.310049 -70.601611 1.632795
2006.980930 -70.790303 -70.639276 1.632795
2007.000108 -70.119517 -70.675202 1.632795
2007.019287 -69.375819 -70.709320 1.632795
2007.038465 -68.653598 -70.741567 1.632795
2007.057643 -68.043600 -70.771886 1.632795
2007.076821 -67.614406 -70.800223 1.632795
2007.095999 -67.399514 -70.826530 1.632795
2007.115177 -67.392873 -70.850764 1.632795
2007.134355 -67.553699 -70.872888 1.632795
