# x_interp smoothed_curve trend rsd2
2006.938552 -75.334202 -74.572012 3.721757
2006.957730 -75.050566 -74.649689 3.721757
2006.976908 -74.596223 -74.728336 3.721757
2006.996086 -74.025013 -74.807914 3.721757
2007.015264 -73.414070 -74.888372 3.721757
2007.034442 -72.848773 -74.969654 3.721757
2007.053620 -72.406312 -75.051701 3.721757
2007.072799 -72.141463 -75.134451 3.721757
2007.091977 -72.077565 -75.217828 3.721757
2007.111155 -72.204563 -75.301772 3.721757
2007.130333 -72.484166 -75.386202 3.721757
2007.149511 -72.860823 -75.471047 3.721757
2007.168689 -73.275680 -75.556228 3.721757
2007.187867 -73.680242 -75.641667 3.721757
2007.207045 -74.046527 -75.727293 3.721757
2007.226223 -74.371378 -75.813011 3.721757
2007.245401 -74.674173 -75.898748 3.721757
2007.264579 -74.988507 -75.984426 3.721757
2007.283757 -75.350120 -76.069962 3.721757
2007.302936 -75.784120 -76.155287 3.721757
2007.322114 -76.294701 -76.240321 3.721757
2007.341292 -76.860119 -76.324991 3.721757
2007.360470 -77.434272 -76.409225 3.721757
2007.379648 -77.954820 -76.492957 3.721757
2007.398826 -78.356076 -76.576122 3.721757
2007.418004 -78.583832 -76.658659 3.721757
2007.437182 -78.608653 -76.740510 3.721757
2007.456360 -78.434513 -76.821626 3.721757
2007.475538 -78.100558 -76.901949 3.721757
2007.494716 -77.675405 -76.981438 3.721757
2007.513894 -77.244928 -77.060054 3.721757
2007.533073 -76.896098 -77.137759 3.721757
2007.552251 -76.700272 -77.214523 3.721757
2007.571429 -76.699558 -77.290320 3.721757
2007.590607 -76.899204 -77.365130 3.721757
2007.609785 -77.267648 -77.438931 3.721757
2007.628963 -77.744238 -77.511714 3.721757
2007.648141 -78.252845 -77.583471 3.721757
2007.667319 -78.718390 -77.654200 3.721757
2007.686497 -79.082614 -77.723902 3.721757
2007.705675 -79.315634 -77.792584 3.721757
2007.724853 -79.420770 -77.860255 3.721757
2007.744031 -79.431700 -77.926928 3.721757
2007.763210 -79.402663 -77.992621 3.721757
2007.782388 -79.394056 -78.057355 3.721757
2007.801566 -79.456748 -78.121145 3.721757
2007.820744 -79.618796 -78.184024 3.721757
2007.839922 -79.877544 -78.246019 3.721757
2007.859100 -80.199010 -78.307172 3.721757
2007.878278 -80.524661 -78.367495 3.721757
2007.897456 -80.784183 -78.427029 3.721757
2007.916634 -80.911206 -78.485809 3.721757
2007.935812 -80.858555 -78.543873 3.721757
2007.954990 -80.609502 -78.601245 3.721757
2007.974168 -80.182533 -78.657964 3.721757
2007.993347 -79.628454 -78.714063 3.721757
2008.012525 -79.020519 -78.769573 3.721757
2008.031703 -78.439749 -78.824525 3.721757
2008.050881 -77.958707 -78.878952 3.721757
2008.070059 -77.627270 -78.932868 3.721757
2008.089237 -77.463611 -78.986302 3.721757
2008.108415 -77.452189 -79.039273 3.721757
2008.127593 -77.549165 -79.091801 3.721757
2008.146771 -77.693857 -79.143894 3.721757
2008.165949 -77.823584 -79.195563 3.721757
2008.185127 -77.888439 -79.246812 3.721757
2008.204305 -77.862663 -79.297638 3.721757
2008.223484 -77.750082 -79.348043 3.721757
2008.242662 -77.582435 -79.398014 3.721757
2008.261840 -77.411125 -79.447538 3.721757
2008.281018 -77.294402 -79.496601 3.721757
2008.300196 -77.282988 -79.545168 3.721757
2008.319374 -77.407632 -79.593214 3.721757
2008.338552 -77.671381 -79.640706 3.721757
2008.357730 -78.048468 -79.687604 3.721757
2008.376908 -78.490002 -79.733862 3.721757
2008.396086 -78.935124 -79.779437 3.721757
2008.415264 -79.324956 -79.824262 3.721757
2008.434442 -79.616107 -79.868286 3.721757
2008.453620 -79.790428 -79.911453 3.721757
2008.472799 -79.858722 -79.953683 3.721757
2008.491977 -79.857511 -79.994910 3.721757
2008.511155 -79.839459 -80.035061 3.721757
2008.530333 -79.859729 -80.074056 3.721757
2008.549511 -79.961424 -80.111822 3.721757
2008.568689 -80.163545 -80.148263 3.721757
2008.587867 -80.454491 -80.183301 3.721757
2008.607045 -80.792658 -80.216849 3.721757
2008.626223 -81.114339 -80.248825 3.721757
2008.645401 -81.347242 -80.279128 3.721757
2008.664579 -81.426804 -80.307677 3.721757
2008.683757 -81.311560 -80.334385 3.721757
2008.702936 -80.994163 -80.359163 3.721757
2008.722114 -80.505457 -80.381932 3.721757
2008.741292 -79.910480 -80.402599 3.721757
