# x_interp smoothed_curve trend rsd2
2018.001598 -71.630341 -72.734857 1.309236
2018.020776 -71.249920 -72.717089 1.309236
2018.039954 -70.849896 -72.699569 1.309236
2018.059132 -70.453374 -72.682274 1.309236
2018.078310 -70.091550 -72.665182 1.309236
2018.097488 -69.798432 -72.648270 1.309236
2018.116666 -69.604553 -72.631514 1.309236
2018.135845 -69.530987 -72.614890 1.309236
2018.155023 -69.584952 -72.598376 1.309236
2018.174201 -69.757938 -72.581943 1.309236
2018.193379 -70.026821 -72.565568 1.309236
2018.212557 -70.357723 -72.549227 1.309236
2018.231735 -70.711848 -72.532896 1.309236
2018.250913 -71.052113 -72.516548 1.309236
2018.270091 -71.349217 -72.500158 1.309236
2018.289269 -71.585952 -72.483704 1.309236
2018.308447 -71.758933 -72.467161 1.309236
2018.327625 -71.877539 -72.450506 1.309236
2018.346803 -71.960397 -72.433715 1.309236
2018.365982 -72.030307 -72.416765 1.309236
2018.385160 -72.108770 -72.399635 1.309236
2018.404338 -72.211351 -72.382307 1.309236
2018.423516 -72.344829 -72.364758 1.309236
2018.442694 -72.506690 -72.346971 1.309236
2018.461872 -72.686903 -72.328928 1.309236
2018.481050 -72.871427 -72.310611 1.309236
2018.500228 -73.046502 -72.292006 1.309236
2018.519406 -73.202599 -72.273099 1.309236
2018.538584 -73.337027 -72.253876 1.309236
2018.557762 -73.454570 -72.234329 1.309236
2018.576940 -73.565957 -72.214447 1.309236
2018.596119 -73.684578 -72.194220 1.309236
2018.615297 -73.822251 -72.173642 1.309236
2018.634475 -73.985100 -72.152710 1.309236
2018.653653 -74.170593 -72.131418 1.309236
2018.672831 -74.366561 -72.109768 1.309236
2018.692009 -74.552489 -72.087757 1.309236
2018.711187 -74.702911 -72.065389 1.309236
2018.730365 -74.792178 -72.042665 1.309236
2018.749543 -74.799571 -72.019594 1.309236
2018.768721 -74.713561 -71.996181 1.309236
2018.787899 -74.534286 -71.972435 1.309236
2018.807077 -74.273595 -71.948368 1.309236
2018.826256 -73.952633 -71.923989 1.309236
2018.845434 -73.597490 -71.899314 1.309236
2018.864612 -73.233826 -71.874360 1.309236
2018.883790 -72.881722 -71.849144 1.309236
2018.902968 -72.551896 -71.823684 1.309236
2018.922146 -72.244159 -71.798000 1.309236
2018.941324 -71.948494 -71.772115 1.309236
2018.960502 -71.648499 -71.746051 1.309236
2018.979680 -71.326471 -71.719833 1.309236
2018.998858 -70.968943 -71.693488 1.309236
2019.018036 -70.571408 -71.667042 1.309236
2019.037214 -70.141144 -71.640524 1.309236
2019.056393 -69.697402 -71.613964 1.309236
2019.075571 -69.268860 -71.587390 1.309236
2019.094749 -68.888835 -71.560836 1.309236
2019.113927 -68.589213 -71.534333 1.309236
2019.133105 -68.394428 -71.507913 1.309236
2019.152283 -68.316737 -71.481609 1.309236
2019.171461 -68.353838 -71.455454 1.309236
2019.190639 -68.489337 -71.429484 1.309236
2019.209817 -68.695961 -71.403733 1.309236
2019.228995 -68.940840 -71.378236 1.309236
2019.248173 -69.191733 -71.353026 1.309236
2019.267351 -69.422885 -71.328140 1.309236
2019.286530 -69.619290 -71.303611 1.309236
2019.305708 -69.778533 -71.279474 1.309236
2019.324886 -69.909884 -71.255764 1.309236
2019.344064 -70.030957 -71.232513 1.309236
2019.363242 -70.162749 -71.209756 1.309236
2019.382420 -70.324219 -71.187524 1.309236
2019.401598 -70.527623 -71.165850 1.309236
2019.420776 -70.775623 -71.144765 1.309236
2019.439954 -71.060763 -71.124298 1.309236
2019.459132 -71.367312 -71.104479 1.309236
2019.478310 -71.674994 -71.085338 1.309236
2019.497488 -71.963620 -71.066901 1.309236
2019.516666 -72.217535 -71.049192 1.309236
2019.535845 -72.428794 -71.032239 1.309236
2019.555023 -72.598337 -71.016064 1.309236
2019.574201 -72.734919 -71.000690 1.309236
2019.593379 -72.852082 -70.986135 1.309236
2019.612557 -72.963941 -70.972421 1.309236
2019.631735 -73.080821 -70.959564 1.309236
2019.650913 -73.205830 -70.947580 1.309236
2019.670091 -73.333242 -70.936484 1.309236
2019.689269 -73.449099 -70.926289 1.309236
2019.708447 -73.533956 -70.917006 1.309236
2019.727625 -73.567140 -70.908645 1.309236
2019.746803 -73.531532 -70.901215 1.309236
2019.765982 -73.417761 -70.894720 1.309236
2019.785160 -73.226771 -70.889165 1.309236
2019.804338 -72.970138 -70.884553 1.309236
2019.823516 -72.667991 -70.880886 1.309236
2019.842694 -72.344970 -70.878163 1.309236
2019.861872 -72.025112 -70.876383 1.309236
2019.881050 -71.726835 -70.875540 1.309236
2019.900228 -71.459180 -70.875630 1.309236
2019.919406 -71.220221 -70.876650 1.309236
2019.938584 -70.998024 -70.878586 1.309236
2019.957762 -70.774067 -70.881428 1.309236
2019.976940 -70.528327 -70.885169 1.309236
2019.996119 -70.244942 -70.889795 1.309236
2020.015297 -69.917168 -70.895293 1.309236
2020.034475 -69.550482 -70.901647 1.309236
2020.053653 -69.163061 -70.908841 1.309236
2020.072831 -68.783443 -70.916858 1.309236
2020.092009 -68.445804 -70.925680 1.309236
2020.111187 -68.183801 -70.935286 1.309236
2020.130365 -68.024247 -70.945658 1.309236
2020.149543 -67.981982 -70.956775 1.309236
2020.168721 -68.056985 -70.968614 1.309236
2020.187899 -68.234376 -70.981150 1.309236
2020.207077 -68.487286 -70.994365 1.309236
2020.226256 -68.781963 -71.008232 1.309236
2020.245434 -69.084078 -71.022729 1.309236
2020.264612 -69.364872 -71.037832 1.309236
2020.283790 -69.605888 -71.053512 1.309236
2020.302968 -69.801383 -71.069747 1.309236
2020.322146 -69.957966 -71.086513 1.309236
2020.341324 -70.091692 -71.103783 1.309236
2020.360502 -70.223349 -71.121532 1.309236
2020.379680 -70.373045 -71.139735 1.309236
2020.398858 -70.555343 -71.158367 1.309236
2020.418036 -70.775980 -71.177403 1.309236
2020.437214 -71.030870 -71.196818 1.309236
2020.456393 -71.307480 -71.216587 1.309236
2020.475571 -71.588182 -71.236688 1.309236
2020.494749 -71.854675 -71.257098 1.309236
2020.513927 -72.092393 -71.277792 1.309236
2020.533105 -72.293825 -71.298748 1.309236
2020.552283 -72.459961 -71.319944 1.309236
2020.571461 -72.599514 -71.341357 1.309236
2020.590639 -72.726189 -71.362969 1.309236
2020.609817 -72.854638 -71.384758 1.309236
2020.628995 -72.996136 -71.406706 1.309236
2020.648173 -73.155069 -71.428792 1.309236
2020.667351 -73.327098 -71.451001 1.309236
2020.686530 -73.499502 -71.473315 1.309236
2020.705708 -73.653659 -71.495719 1.309236
2020.724886 -73.769125 -71.518193 1.309236
2020.744064 -73.828348 -71.540727 1.309236
2020.763242 -73.820886 -71.563306 1.309236
2020.782420 -73.746131 -71.585916 1.309236
2020.801598 -73.613807 -71.608544 1.309236
2020.820776 -73.442078 -71.631181 1.309236
2020.839954 -73.253615 -71.653816 1.309236
2020.859132 -73.070506 -71.676437 1.309236
2020.878310 -72.909148 -71.699036 1.309236
2020.897488 -72.776322 -71.721605 1.309236
2020.916666 -72.667396 -71.744139 1.309236
2020.935845 -72.567157 -71.766629 1.309236
2020.955023 -72.453182 -71.789069 1.309236
2020.974201 -72.301065 -71.811450 1.309236
2020.993379 -72.090417 -71.833776 1.309236
