# x_interp smoothed_curve trend rsd2
2014.762207 -87.950143 -86.294773 1.924097
2014.781385 -88.195149 -86.316659 1.924097
2014.800563 -88.409178 -86.339009 1.924097
2014.819741 -88.567005 -86.361815 1.924097
2014.838919 -88.648520 -86.385070 1.924097
2014.858097 -88.643738 -86.408774 1.924097
2014.877275 -88.555531 -86.432914 1.924097
2014.896454 -88.399562 -86.457494 1.924097
2014.915632 -88.201385 -86.482502 1.924097
2014.934810 -87.991477 -86.507927 1.924097
2014.953988 -87.799307 -86.533767 1.924097
2014.973166 -87.647743 -86.560014 1.924097
2014.992344 -87.549053 -86.586658 1.924097
2015.011522 -87.503320 -86.613693 1.924097
2015.030700 -87.499528 -86.641110 1.924097
2015.049878 -87.518973 -86.668897 1.924097
2015.069056 -87.540152 -86.697051 1.924097
2015.088234 -87.543893 -86.725550 1.924097
2015.107412 -87.517615 -86.754392 1.924097
2015.126591 -87.457653 -86.783566 1.924097
2015.145769 -87.369251 -86.813060 1.924097
2015.164947 -87.264273 -86.842861 1.924097
2015.184125 -87.157313 -86.872957 1.924097
2015.203303 -87.061200 -86.903335 1.924097
2015.222481 -86.983087 -86.933981 1.924097
2015.241659 -86.922140 -86.964882 1.924097
2015.260837 -86.869448 -86.996024 1.924097
2015.280015 -86.810223 -87.027392 1.924097
2015.299193 -86.727804 -87.058969 1.924097
2015.318371 -86.608487 -87.090742 1.924097
2015.337549 -86.445989 -87.122690 1.924097
2015.356728 -86.244415 -87.154798 1.924097
2015.375906 -86.018874 -87.187048 1.924097
2015.395084 -85.793478 -87.219421 1.924097
2015.414262 -85.597034 -87.251897 1.924097
2015.433440 -85.457330 -87.284456 1.924097
2015.452618 -85.395243 -87.317077 1.924097
2015.471796 -85.420026 -87.349741 1.924097
2015.490974 -85.526899 -87.382425 1.924097
2015.510152 -85.697572 -87.415105 1.924097
2015.529330 -85.903722 -87.447761 1.924097
2015.548508 -86.112746 -87.480366 1.924097
2015.567686 -86.294630 -87.512898 1.924097
2015.586865 -86.428445 -87.545332 1.924097
2015.606043 -86.507073 -87.577641 1.924097
2015.625221 -86.539093 -87.609800 1.924097
2015.644399 -86.547349 -87.641783 1.924097
2015.663577 -86.564443 -87.673562 1.924097
2015.682755 -86.626051 -87.705111 1.924097
2015.701933 -86.763432 -87.736401 1.924097
2015.721111 -86.996691 -87.767411 1.924097
2015.740289 -87.330153 -87.798098 1.924097
2015.759467 -87.750929 -87.828446 1.924097
2015.778645 -88.230765 -87.858422 1.924097
2015.797823 -88.730956 -87.887998 1.924097
2015.817002 -89.209165 -87.917147 1.924097
2015.836180 -89.626785 -87.945838 1.924097
2015.855358 -89.955323 -87.974050 1.924097
2015.874536 -90.180534 -88.001746 1.924097
2015.893714 -90.303615 -88.028901 1.924097
2015.912892 -90.339285 -88.055488 1.924097
2015.932070 -90.311362 -88.081477 1.924097
2015.951248 -90.246918 -88.106850 1.924097
2015.970426 -90.170280 -88.131576 1.924097
2015.989604 -90.098256 -88.155630 1.924097
2016.008782 -90.037479 -88.178990 1.924097
2016.027960 -89.984319 -88.201631 1.924097
2016.047139 -89.927195 -88.223536 1.924097
2016.066317 -89.850541 -88.244675 1.924097
2016.085495 -89.739403 -88.265031 1.924097
2016.104673 -89.583457 -88.284588 1.924097
