# x_interp smoothed_curve trend rsd2
2005.281495 -84.200651 -88.544018 2.335323
2005.300674 -83.851206 -88.481714 2.335323
2005.319852 -83.648511 -88.420533 2.335323
2005.339030 -83.588590 -88.360433 2.335323
2005.358208 -83.653885 -88.301371 2.335323
2005.377386 -83.818144 -88.243293 2.335323
2005.396564 -84.053370 -88.186152 2.335323
2005.415742 -84.337034 -88.129897 2.335323
2005.434920 -84.657707 -88.074475 2.335323
2005.454098 -85.017518 -88.019834 2.335323
2005.473276 -85.430602 -87.965920 2.335323
2005.492454 -85.917656 -87.912674 2.335323
2005.511632 -86.497729 -87.860042 2.335323
2005.530811 -87.179113 -87.807966 2.335323
2005.549989 -87.951594 -87.756389 2.335323
2005.569167 -88.782170 -87.705256 2.335323
2005.588345 -89.615657 -87.654525 2.335323
2005.607523 -90.380565 -87.604116 2.335323
2005.626701 -90.999642 -87.553995 2.335323
2005.645879 -91.402993 -87.504104 2.335323
2005.665057 -91.541450 -87.454394 2.335323
2005.684235 -91.397310 -87.404818 2.335323
2005.703413 -90.990112 -87.355331 2.335323
2005.722591 -90.375999 -87.305889 2.335323
2005.741769 -89.640443 -87.256444 2.335323
2005.760947 -88.885493 -87.206973 2.335323
2005.780126 -88.213681 -87.157437 2.335323
2005.799304 -87.711654 -87.107806 2.335323
2005.818482 -87.436460 -87.058052 2.335323
2005.837660 -87.407047 -87.008154 2.335323
2005.856838 -87.602446 -86.958093 2.335323
2005.876016 -87.966858 -86.907856 2.335323
2005.895194 -88.420471 -86.857433 2.335323
2005.914372 -88.873822 -86.806814 2.335323
2005.933550 -89.242912 -86.756009 2.335323
2005.952728 -89.462191 -86.705022 2.335323
2005.971906 -89.493226 -86.653853 2.335323
2005.991084 -89.327793 -86.602526 2.335323
2006.010263 -88.985226 -86.551057 2.335323
2006.029441 -88.505219 -86.499466 2.335323
2006.048619 -87.937967 -86.447791 2.335323
2006.067797 -87.333899 -86.396061 2.335323
2006.086975 -86.735277 -86.344316 2.335323
2006.106153 -86.171106 -86.292594 2.335323
2006.125331 -85.656091 -86.240954 2.335323
2006.144509 -85.193155 -86.189445 2.335323
2006.163687 -84.778463 -86.138116 2.335323
2006.182865 -84.407184 -86.087037 2.335323
2006.202043 -84.078232 -86.036270 2.335323
