# x_interp smoothed_curve trend rsd2
2005.201142 -84.102681 -83.321494 2.348162
2005.220320 -84.285496 -83.289271 2.348162
2005.239498 -84.273183 -83.258546 2.348162
2005.258676 -84.049328 -83.229257 2.348162
2005.277854 -83.628584 -83.201346 2.348162
2005.297032 -83.049656 -83.174756 2.348162
2005.316210 -82.364749 -83.149426 2.348162
2005.335388 -81.628254 -83.125294 2.348162
2005.354566 -80.887397 -83.102295 2.348162
2005.373744 -80.176855 -83.080364 2.348162
2005.392922 -79.518207 -83.059434 2.348162
2005.412100 -78.923725 -83.039434 2.348162
2005.431279 -78.402889 -83.020295 2.348162
2005.450457 -77.969279 -83.001945 2.348162
2005.469635 -77.645445 -82.984314 2.348162
2005.488813 -77.463878 -82.967329 2.348162
2005.507991 -77.463312 -82.950918 2.348162
2005.527169 -77.680873 -82.935007 2.348162
2005.546347 -78.141787 -82.919525 2.348162
2005.565525 -78.849242 -82.904398 2.348162
2005.584703 -79.777146 -82.889556 2.348162
2005.603881 -80.868110 -82.874928 2.348162
2005.623059 -82.037855 -82.860443 2.348162
2005.642237 -83.185852 -82.846033 2.348162
2005.661416 -84.210470 -82.831631 2.348162
2005.680594 -85.025793 -82.817170 2.348162
2005.699772 -85.576645 -82.802588 2.348162
2005.718950 -85.848577 -82.787823 2.348162
2005.738128 -85.870455 -82.772816 2.348162
2005.757306 -85.708801 -82.757511 2.348162
2005.776484 -85.454728 -82.741844 2.348162
2005.795662 -85.205973 -82.725778 2.348162
2005.814840 -85.047477 -82.709259 2.348162
2005.834018 -85.034603 -82.692240 2.348162
2005.853196 -85.182351 -82.674682 2.348162
2005.872374 -85.462860 -82.656545 2.348162
2005.891553 -85.811762 -82.637797 2.348162
2005.910731 -86.142080 -82.618409 2.348162
2005.929909 -86.362769 -82.598350 2.348162
2005.949087 -86.398116 -82.577595 2.348162
2005.968265 -86.203931 -82.556136 2.348162
2005.987443 -85.777191 -82.533952 2.348162
2006.006621 -85.157269 -82.511035 2.348162
2006.025799 -84.418520 -82.487381 2.348162
2006.044977 -83.655906 -82.462988 2.348162
2006.064155 -82.966693 -82.437861 2.348162
2006.083333 -82.432057 -82.412007 2.348162
2006.102511 -82.102325 -82.385439 2.348162
2006.121689 -81.988740 -82.358175 2.348162
2006.140868 -82.063176 -82.330236 2.348162
2006.160046 -82.265528 -82.301648 2.348162
2006.179224 -82.516896 -82.272443 2.348162
2006.198402 -82.735564 -82.242645 2.348162
2006.217580 -82.852363 -82.212310 2.348162
2006.236758 -82.822202 -82.181474 2.348162
2006.255936 -82.629800 -82.150183 2.348162
2006.275114 -82.288809 -82.118485 2.348162
2006.294292 -81.835184 -82.086437 2.348162
2006.313470 -81.316831 -82.054100 2.348162
2006.332648 -80.782266 -82.021523 2.348162
2006.351826 -80.271153 -81.988784 2.348162
2006.371005 -79.808694 -81.955943 2.348162
2006.390183 -79.405037 -81.923070 2.348162
2006.409361 -79.059279 -81.890236 2.348162
2006.428539 -78.766550 -81.857516 2.348162
2006.447717 -78.525856 -81.824986 2.348162
2006.466895 -78.346170 -81.792723 2.348162
2006.486073 -78.248754 -81.760807 2.348162
2006.505251 -78.264694 -81.729319 2.348162
2006.524429 -78.427936 -81.698339 2.348162
2006.543607 -78.765383 -81.667949 2.348162
2006.562785 -79.286511 -81.638230 2.348162
2006.581963 -79.975301 -81.609265 2.348162
2006.601142 -80.786916 -81.581134 2.348162
2006.620320 -81.650576 -81.553921 2.348162
2006.639498 -82.478650 -81.527709 2.348162
2006.658676 -83.180547 -81.502568 2.348162
2006.677854 -83.678755 -81.478582 2.348162
2006.697032 -83.923625 -81.455826 2.348162
2006.716210 -83.903671 -81.434375 2.348162
2006.735388 -83.648891 -81.414302 2.348162
2006.754566 -83.226049 -81.395675 2.348162
2006.773744 -82.726540 -81.378563 2.348162
2006.792922 -82.249080 -81.363023 2.348162
2006.812100 -81.880667 -81.349119 2.348162
2006.831279 -81.679688 -81.336907 2.348162
2006.850457 -81.664715 -81.326441 2.348162
2006.869635 -81.811404 -81.317770 2.348162
2006.888813 -82.058245 -81.310938 2.348162
2006.907991 -82.320036 -81.305986 2.348162
2006.927169 -82.506368 -81.302952 2.348162
2006.946347 -82.541295 -81.301866 2.348162
2006.965525 -82.380133 -81.302755 2.348162
2006.984703 -82.019895 -81.305640 2.348162
2007.003881 -81.501217 -81.310537 2.348162
2007.023059 -80.901380 -81.317461 2.348162
2007.042237 -80.319890 -81.326414 2.348162
2007.061416 -79.859594 -81.337399 2.348162
2007.080594 -79.607169 -81.350411 2.348162
2007.099772 -79.616872 -81.365442 2.348162
2007.118950 -79.900701 -81.382475 2.348162
2007.138128 -80.426695 -81.401491 2.348162
2007.157306 -81.125395 -81.422464 2.348162
2007.176484 -81.902815 -81.445363 2.348162
2007.195662 -82.657053 -81.470151 2.348162
2007.214840 -83.295049 -81.496786 2.348162
2007.234018 -83.746237 -81.525223 2.348162
2007.253196 -83.970678 -81.555408 2.348162
2007.272374 -83.960647 -81.587286 2.348162
2007.291553 -83.736153 -81.620795 2.348162
2007.310731 -83.336142 -81.655869 2.348162
2007.329909 -82.807973 -81.692437 2.348162
2007.349087 -82.197894 -81.730423 2.348162
2007.368265 -81.544713 -81.769750 2.348162
2007.387443 -80.877854 -81.810334 2.348162
2007.406621 -80.219684 -81.852087 2.348162
2007.425799 -79.590793 -81.894920 2.348162
2007.444977 -79.016104 -81.938738 2.348162
2007.464155 -78.529419 -81.983445 2.348162
2007.483333 -78.174444 -82.028942 2.348162
2007.502511 -78.001258 -82.075125 2.348162
2007.521689 -78.058467 -82.121890 2.348162
2007.540868 -78.382566 -82.169131 2.348162
