# x_interp smoothed_curve trend rsd2
2005.262595 -76.913275 -76.715981 2.730727
2005.281773 -76.652618 -76.662423 2.730727
2005.300951 -76.439385 -76.610375 2.730727
2005.320129 -76.296371 -76.559734 2.730727
2005.339307 -76.234999 -76.510398 2.730727
2005.358486 -76.249877 -76.462271 2.730727
2005.377664 -76.316593 -76.415243 2.730727
2005.396842 -76.393815 -76.369211 2.730727
2005.416020 -76.429724 -76.324077 2.730727
2005.435198 -76.371824 -76.279744 2.730727
2005.454376 -76.178308 -76.236115 2.730727
2005.473554 -75.828593 -76.193096 2.730727
2005.492732 -75.330644 -76.150597 2.730727
2005.511910 -74.723219 -76.108535 2.730727
2005.531088 -74.072125 -76.066822 2.730727
2005.550266 -73.460817 -76.025384 2.730727
2005.569444 -72.976840 -75.984148 2.730727
2005.588623 -72.696574 -75.943043 2.730727
2005.607801 -72.671210 -75.902003 2.730727
2005.626979 -72.916744 -75.860974 2.730727
2005.646157 -73.410001 -75.819907 2.730727
2005.665335 -74.091642 -75.778754 2.730727
2005.684513 -74.875673 -75.737475 2.730727
2005.703691 -75.663696 -75.696036 2.730727
2005.722869 -76.361227 -75.654405 2.730727
2005.742047 -76.893023 -75.612572 2.730727
2005.761225 -77.214497 -75.570517 2.730727
2005.780403 -77.317271 -75.528231 2.730727
2005.799581 -77.227955 -75.485711 2.730727
2005.818760 -77.000676 -75.442961 2.730727
2005.837938 -76.705083 -75.399995 2.730727
2005.857116 -76.412342 -75.356824 2.730727
2005.876294 -76.181983 -75.313472 2.730727
2005.895472 -76.052061 -75.269963 2.730727
2005.914650 -76.034361 -75.226333 2.730727
2005.933828 -76.115176 -75.182625 2.730727
2005.953006 -76.261028 -75.138865 2.730727
2005.972184 -76.427819 -75.095111 2.730727
2005.991362 -76.571031 -75.051417 2.730727
2006.010540 -76.654862 -75.007827 2.730727
2006.029718 -76.658401 -74.964403 2.730727
2006.048896 -76.577791 -74.921212 2.730727
2006.068075 -76.424332 -74.878306 2.730727
2006.087253 -76.219498 -74.835757 2.730727
2006.106431 -75.988309 -74.793633 2.730727
2006.125609 -75.752938 -74.752004 2.730727
2006.144787 -75.528118 -74.710932 2.730727
2006.163965 -75.319393 -74.670495 2.730727
2006.183143 -75.124351 -74.630761 2.730727
2006.202321 -74.936250 -74.591801 2.730727
2006.221499 -74.748740 -74.553683 2.730727
2006.240677 -74.560145 -74.516478 2.730727
2006.259855 -74.375867 -74.480253 2.730727
2006.279033 -74.208046 -74.445074 2.730727
2006.298212 -74.072375 -74.411009 2.730727
2006.317390 -73.982783 -74.378115 2.730727
2006.336568 -73.945426 -74.346448 2.730727
2006.355746 -73.953718 -74.316068 2.730727
2006.374924 -73.986013 -74.287025 2.730727
2006.394102 -74.007083 -74.259374 2.730727
2006.413280 -73.973550 -74.233157 2.730727
2006.432458 -73.842573 -74.208409 2.730727
2006.451636 -73.582117 -74.185183 2.730727
2006.470814 -73.180502 -74.163503 2.730727
2006.489992 -72.653100 -74.143392 2.730727
2006.509170 -72.044234 -74.124884 2.730727
2006.528349 -71.423321 -74.108003 2.730727
2006.547527 -70.875523 -74.092748 2.730727
2006.566705 -70.488388 -74.079142 2.730727
2006.585883 -70.336689 -74.067187 2.730727
2006.605061 -70.468499 -74.056888 2.730727
2006.624239 -70.895158 -74.048238 2.730727
2006.643417 -71.587335 -74.041236 2.730727
2006.662595 -72.478064 -74.035866 2.730727
2006.681773 -73.472467 -74.032115 2.730727
2006.700951 -74.462390 -74.029960 2.730727
2006.720129 -75.343341 -74.029379 2.730727
2006.739307 -76.030564 -74.030346 2.730727
2006.758486 -76.471321 -74.032839 2.730727
2006.777664 -76.651169 -74.036824 2.730727
2006.796842 -76.593277 -74.042242 2.730727
2006.816020 -76.351245 -74.049081 2.730727
2006.835198 -75.996864 -74.057289 2.730727
2006.854376 -75.605638 -74.066823 2.730727
2006.873554 -75.242825 -74.077643 2.730727
2006.892732 -74.952696 -74.089699 2.730727
2006.911910 -74.752917 -74.102946 2.730727
2006.931088 -74.634773 -74.117336 2.730727
2006.950266 -74.568752 -74.132819 2.730727
2006.969444 -74.513938 -74.149343 2.730727
2006.988623 -74.428959 -74.166866 2.730727
2007.007801 -74.282064 -74.185335 2.730727
2007.026979 -74.058321 -74.204704 2.730727
2007.046157 -73.762621 -74.224925 2.730727
2007.065335 -73.418240 -74.245952 2.730727
2007.084513 -73.061679 -74.267742 2.730727
2007.103691 -72.735284 -74.290251 2.730727
2007.122869 -72.479466 -74.313438 2.730727
2007.142047 -72.326299 -74.337264 2.730727
2007.161225 -72.295729 -74.361692 2.730727
2007.180403 -72.394869 -74.386688 2.730727
2007.199581 -72.620026 -74.412220 2.730727
2007.218760 -72.960407 -74.438258 2.730727
2007.237938 -73.402091 -74.464771 2.730727
2007.257116 -73.930908 -74.491739 2.730727
2007.276294 -74.533232 -74.519145 2.730727
2007.295472 -75.194471 -74.546968 2.730727
2007.314650 -75.895783 -74.575189 2.730727
2007.333828 -76.610195 -74.603789 2.730727
2007.353006 -77.299701 -74.632763 2.730727
2007.372184 -77.914768 -74.662103 2.730727
2007.391362 -78.397308 -74.691803 2.730727
2007.410540 -78.687268 -74.721859 2.730727
2007.429718 -78.732069 -74.752270 2.730727
2007.448896 -78.497257 -74.783037 2.730727
2007.468075 -77.976170 -74.814162 2.730727
2007.487253 -77.196326 -74.845647 2.730727
2007.506431 -76.220685 -74.877498 2.730727
2007.525609 -75.142805 -74.909724 2.730727
2007.544787 -74.076113 -74.942330 2.730727
2007.563965 -73.138756 -74.975322 2.730727
2007.583143 -72.436450 -75.008709 2.730727
2007.602321 -72.046356 -75.042496 2.730727
2007.621499 -72.004941 -75.076692 2.730727
2007.640677 -72.302178 -75.111302 2.730727
2007.659855 -72.883262 -75.146331 2.730727
2007.679033 -73.657688 -75.181784 2.730727
2007.698212 -74.514088 -75.217663 2.730727
2007.717390 -75.338179 -75.253967 2.730727
2007.736568 -76.030571 -75.290694 2.730727
2007.755746 -76.521283 -75.327840 2.730727
2007.774924 -76.778471 -75.365396 2.730727
2007.794102 -76.810047 -75.403352 2.730727
2007.813280 -76.658261 -75.441692 2.730727
2007.832458 -76.388655 -75.480399 2.730727
2007.851636 -76.075808 -75.519451 2.730727
2007.870814 -75.788784 -75.558822 2.730727
2007.889992 -75.579059 -75.598481 2.730727
2007.909170 -75.473071 -75.638391 2.730727
2007.928349 -75.470414 -75.678515 2.730727
2007.947527 -75.547516 -75.718805 2.730727
2007.966705 -75.665525 -75.759212 2.730727
2007.985883 -75.780357 -75.799684 2.730727
2008.005061 -75.852601 -75.840159 2.730727
2008.024239 -75.855213 -75.880573 2.730727
2008.043417 -75.777623 -75.920858 2.730727
2008.062595 -75.625809 -75.960938 2.730727
2008.081773 -75.418854 -76.000733 2.730727
2008.100951 -75.183265 -76.040161 2.730727
2008.120129 -74.946738 -76.079134 2.730727
2008.139307 -74.732969 -76.117557 2.730727
2008.158486 -74.558730 -76.155333 2.730727
2008.177664 -74.433623 -76.192361 2.730727
2008.196842 -74.362164 -76.228528 2.730727
2008.216020 -74.347221 -76.263740 2.730727
2008.235198 -74.393286 -76.297880 2.730727
2008.254376 -74.508378 -76.330827 2.730727
2008.273554 -74.703556 -76.362468 2.730727
2008.292732 -74.989828 -76.392695 2.730727
2008.311910 -75.373027 -76.421369 2.730727
2008.331088 -75.848084 -76.448382 2.730727
2008.350266 -76.394192 -76.473616 2.730727
2008.369444 -76.972675 -76.496941 2.730727
2008.388623 -77.528733 -76.518222 2.730727
2008.407801 -77.997463 -76.537359 2.730727
2008.426979 -78.313369 -76.554224 2.730727
2008.446157 -78.422021 -76.568703 2.730727
2008.465335 -78.291412 -76.580677 2.730727
2008.484513 -77.920683 -76.590029 2.730727
2008.503691 -77.344059 -76.596654 2.730727
2008.522869 -76.628691 -76.600441 2.730727
2008.542047 -75.866348 -76.601293 2.730727
2008.561225 -75.160035 -76.599114 2.730727
2008.580403 -74.607820 -76.593811 2.730727
2008.599581 -74.286761 -76.585292 2.730727
2008.618760 -74.239991 -76.573494 2.730727
2008.637938 -74.469353 -76.558332 2.730727
2008.657116 -74.935214 -76.539735 2.730727
2008.676294 -75.563483 -76.517651 2.730727
2008.695472 -76.258565 -76.492034 2.730727
2008.714650 -76.919863 -76.462837 2.730727
2008.733828 -77.458752 -76.430019 2.730727
2008.753006 -77.812872 -76.393562 2.730727
2008.772184 -77.955152 -76.353444 2.730727
2008.791362 -77.896151 -76.309672 2.730727
2008.810540 -77.679446 -76.262238 2.730727
2008.829718 -77.371408 -76.211139 2.730727
2008.848896 -77.047545 -76.156413 2.730727
2008.868075 -76.778126 -76.098093 2.730727
2008.887253 -76.615995 -76.036205 2.730727
2008.906431 -76.588725 -75.970806 2.730727
2008.925609 -76.696198 -75.901956 2.730727
2008.944787 -76.913666 -75.829722 2.730727
2008.963965 -77.199117 -75.754178 2.730727
2008.983143 -77.503031 -75.675412 2.730727
2009.002321 -77.778233 -75.593523 2.730727
2009.021499 -77.987769 -75.508615 2.730727
2009.040677 -78.109391 -75.420794 2.730727
2009.059855 -78.136126 -75.330186 2.730727
2009.079033 -78.073325 -75.236914 2.730727
2009.098212 -77.933476 -75.141117 2.730727
2009.117390 -77.730403 -75.042936 2.730727
2009.136568 -77.474525 -74.942518 2.730727
2009.155746 -77.170402 -74.840017 2.730727
2009.174924 -76.817090 -74.735604 2.730727
2009.194102 -76.410915 -74.629419 2.730727
2009.213280 -75.949816 -74.521640 2.730727
2009.232458 -75.437583 -74.412449 2.730727
2009.251636 -74.886625 -74.302015 2.730727
2009.270814 -74.318214 -74.190515 2.730727
2009.289992 -73.759713 -74.078120 2.730727
2009.309170 -73.239350 -73.965024 2.730727
2009.328349 -72.779596 -73.851401 2.730727
2009.347527 -72.391001 -73.737433 2.730727
2009.366705 -72.068136 -73.623302 2.730727
2009.385883 -71.789069 -73.509185 2.730727
2009.405061 -71.518979 -73.395260 2.730727
2009.424239 -71.217541 -73.281702 2.730727
2009.443417 -70.848771 -73.168683 2.730727
2009.462595 -70.391246 -73.056371 2.730727
2009.481773 -69.846386 -72.944929 2.730727
2009.500951 -69.242668 -72.834516 2.730727
2009.520129 -68.634396 -72.725286 2.730727
2009.539307 -68.094743 -72.617387 2.730727
2009.558486 -67.704017 -72.510965 2.730727
2009.577664 -67.535149 -72.406149 2.730727
2009.596842 -67.639210 -72.303069 2.730727
2009.616020 -68.033796 -72.201835 2.730727
